t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
194,S,1,34,35,-0.0,0.0,2,0,2,2,0,0.00
194,S,1,48,42,-0.0,0.0,2,0,2,2,0,0.00
326,S,1,71,61,0.3,0.9,3,0,3,3,0,0.00
327,S,1,15,13,0.3,0.9,4,0,4,4,0,0.00
347,S,1,7,6,0.3,0.9,4,0,4,4,0,0.00
367,S,1,8,7,0.3,0.9,5,0,5,5,0,0.00
410,S,1,30,27,0.6,2.5,6,0,6,6,0,0.00
581,S,1,83,69,1.7,5.2,7,0,7,7,0,0.00
581,S,1,49,43,1.7,5.2,8,-1,7,9,0,0.00
601,S,1,8,8,1.7,5.2,9,-1,8,10,0,0.00
732,S,1,92,85,2.5,5.7,10,-1,9,11,0,0.00
736,S,1,15,15,2.5,5.7,10,-2,8,12,0,0.00
756,S,1,10,9,2.5,5.7,11,-2,9,13,0,0.00
776,S,1,9,10,2.5,5.7,11,-2,9,13,0,0.00
851,S,1,73,77,3.4,9.9,10,-2,8,12,0,0.00
968,S,1,110,125,3.3,6.1,9,-3,6,12,0,0.00
977,S,1,1,1,3.3,6.1,10,-2,8,12,0,0.00
997,S,1,11,12,3.3,6.1,10,-2,8,12,0,0.00
1017,S,1,10,12,3.3,6.1,10,-2,8,12,0,0.00
1052,S,1,43,51,3.2,3.2,10,-2,8,12,0,0.00
1222,S,1,109,127,1.2,-4.7,9,-2,7,11,0,0.00
1222,S,1,64,73,1.2,-4.7,9,0,9,9,0,0.00
1242,S,1,10,10,1.2,-4.7,10,0,10,10,0,0.00
1373,S,1,111,115,0.1,-5.9,9,0,9,9,0,0.00
1377,S,1,16,16,0.1,-5.9,9,0,9,9,0,0.00
1397,S,1,10,11,0.1,-5.9,10,0,10,10,0,0.00
1417,S,1,10,10,0.1,-5.9,10,0,10,10,0,0.00
1492,S,1,76,76,-0.8,-9.5,10,0,10,10,0,0.00
1614,S,1,114,116,-0.9,-6.7,9,1,10,8,0,0.00
1618,S,1,18,18,-0.9,-6.7,9,0,9,9,0,0.00
1638,S,1,11,10,-0.9,-6.7,10,0,10,10,0,0.00
1658,S,1,11,12,-0.9,-6.7,10,1,11,9,0,0.00
1698,S,1,44,42,-1.0,-4.9,10,0,10,10,0,0.00
1830,S,1,120,117,-1.1,-3.5,9,1,10,8,0,0.00
1830,S,1,28,26,-1.1,-3.5,9,0,9,9,0,0.00
1850,S,1,11,10,-1.1,-3.5,10,0,10,10,0,0.00
1870,S,1,10,11,-1.1,-3.5,10,1,11,9,0,0.00
1914,S,1,37,36,-1.0,-1.7,10,0,10,10,0,0.00
2090,S,1,115,117,-0.8,-0.3,9,0,9,9,0,0.00
2091,S,1,75,74,-0.8,-0.3,9,0,9,9,0,0.00
2111,S,1,10,11,-0.8,-0.3,10,0,10,10,0,0.00
2236,S,1,119,114,-0.7,-0.1,9,0,9,9,0,0.00
2240,S,1,4,4,-0.7,-0.1,10,0,10,10,0,0.00
2260,S,1,11,10,-0.7,-0.1,10,0,10,10,0,0.00
2280,S,1,11,10,-0.7,-0.1,10,0,10,10,0,0.00
2325,S,1,49,47,-0.7,0.2,10,0,10,10,0,0.00
2457,S,1,114,110,-0.5,0.8,9,0,9,9,0,0.00
2457,S,1,28,27,-0.5,0.8,9,0,9,9,0,0.00
2477,S,1,11,10,-0.5,0.8,10,0,10,10,0,0.00
2497,S,1,11,10,-0.5,0.8,10,0,10,10,0,0.00
2545,S,1,51,48,-0.2,2.1,10,0,10,10,0,0.00
2678,S,1,120,115,0.1,2.4,9,0,9,9,0,0.00
2678,S,1,30,27,0.1,2.4,9,0,9,9,0,0.00
2698,S,1,11,11,0.1,2.4,10,0,10,10,0,0.00
2718,S,1,11,11,0.1,2.4,10,0,10,10,0,0.00
2766,S,1,52,50,0.2,2.7,10,0,10,10,0,0.00
2898,S,1,117,114,0.5,2.8,9,0,9,9,0,0.00
2899,S,1,25,26,0.5,2.8,9,0,9,9,0,0.00
2918,S,1,9,10,0.5,2.8,10,0,10,10,0,0.00
2938,S,1,10,10,0.5,2.8,10,0,10,10,0,0.00
2986,S,1,51,49,0.8,3.3,10,0,10,10,0,0.00
3118,S,1,117,114,1.0,2.9,9,0,9,9,0,0.00
3119,S,1,28,26,1.0,2.9,9,0,9,9,0,0.00
3138,S,1,11,10,1.0,2.9,10,0,10,10,0,0.00
3158,S,1,11,11,1.0,2.9,10,0,10,10,0,0.00
3231,S,1,81,76,1.2,3.6,10,-1,9,11,0,0.00
3354,S,1,118,119,1.5,3.2,9,-1,8,10,0,0.00
3358,S,1,18,18,1.5,3.2,9,-1,8,10,0,0.00
3378,S,1,10,10,1.5,3.2,10,-1,9,11,0,0.00
3398,S,1,10,10,1.5,3.2,10,-1,9,11,0,0.00
3438,S,1,41,40,1.6,3.0,10,-1,9,11,0,0.00
3609,S,1,114,113,1.9,2.9,9,-1,8,10,0,0.00
3610,S,1,67,68,1.9,2.9,9,-1,8,10,0,0.00
3629,S,1,10,10,1.9,2.9,10,-1,9,11,0,0.00
3755,S,1,120,124,1.8,1.6,9,-1,8,10,0,0.00
3763,S,1,4,4,1.8,1.6,10,-1,9,11,0,0.00
3783,S,1,10,12,1.8,1.6,10,-1,9,11,0,0.00
3803,S,1,10,10,1.8,1.6,10,-1,9,11,0,0.00
3873,S,1,76,81,1.5,-1.5,10,-1,9,11,0,0.00
3996,S,1,110,117,1.1,-2.2,9,-1,8,10,0,0.00
4000,S,1,3,3,1.1,-2.2,10,0,10,10,0,0.00
4020,S,1,11,10,1.1,-2.2,10,0,10,10,0,0.00
4040,S,1,10,11,1.1,-2.2,10,0,10,10,0,0.00
4080,S,1,42,44,0.9,-2.7,10,0,10,10,0,0.00
4251,S,1,116,121,0.1,-4.3,9,0,9,9,0,0.00
4251,S,1,70,71,0.1,-4.3,9,0,9,9,0,0.00
4271,S,1,10,11,0.1,-4.3,10,0,10,10,0,0.00
4402,S,1,110,108,-0.1,-3.4,9,0,9,9,0,0.00
4406,S,1,17,16,-0.1,-3.4,9,0,9,9,0,0.00
4426,S,1,11,10,-0.1,-3.4,10,0,10,10,0,0.00
4446,S,1,10,10,-0.1,-3.4,10,0,10,10,0,0.00
4521,S,1,75,74,-0.0,-1.8,10,0,10,10,0,0.00
4638,S,1,116,116,-0.0,-1.1,9,0,9,9,0,0.00
4647,S,1,1,1,-0.0,-1.1,10,0,10,10,0,0.00
4667,S,1,11,11,-0.0,-1.1,10,0,10,10,0,0.00
4687,S,1,11,11,-0.0,-1.1,10,0,10,10,0,0.00
4722,S,1,48,48,-0.0,-0.7,10,0,10,10,0,0.00
4893,S,1,121,116,0.1,-0.2,9,0,9,9,0,0.00
4893,S,1,67,68,0.1,-0.2,9,0,9,9,0,0.00
4913,S,1,10,10,0.1,-0.2,10,0,10,10,0,0.00
5044,S,1,113,113,0.1,0.0,9,0,9,9,0,0.00
5047,S,1,17,18,0.1,0.0,9,0,9,9,0,0.00
5067,S,1,10,11,0.1,0.0,10,0,10,10,0,0.00
5087,S,1,11,11,0.1,0.0,10,0,10,10,0,0.00
5132,S,1,47,47,0.1,0.2,10,0,10,10,0,0.00
5325,S,1,122,117,0.4,0.9,9,0,9,9,0,0.00
