t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
122,S,1,0,68,0.0,0.0,2,0,2,2,0,0.00
126,S,1,1,11,0.0,0.0,2,0,2,2,0,0.00
146,S,1,0,5,0.0,0.0,2,0,2,2,0,0.00
166,S,1,2,4,0.0,0.0,3,0,3,3,0,0.00
206,S,1,14,12,-1.0,-7.3,4,0,4,4,0,0.00
373,S,1,54,39,-5.9,-20.7,5,0,5,5,0,0.00
373,S,1,37,29,-5.9,-20.7,6,2,8,4,0,0.00
393,S,1,7,4,-5.9,-20.7,7,3,10,4,0,0.00
528,S,1,94,65,-4.9,-11.0,7,4,11,3,0,0.00
531,S,1,2,2,-4.9,-11.0,8,2,10,6,0,0.00
551,S,1,10,7,-4.9,-11.0,9,2,11,7,0,0.00
571,S,1,10,7,-4.9,-11.0,9,2,11,7,0,0.00
621,S,1,55,37,-4.6,-4.8,11,2,13,9,0,0.00
757,S,1,133,88,-2.3,4.3,10,2,12,8,0,0.00
757,S,1,42,28,-2.3,4.3,10,1,11,9,0,0.00
777,S,1,14,9,-2.3,4.3,10,1,11,9,0,0.00
797,S,1,14,10,-2.3,4.3,10,1,11,9,0,0.00
841,S,1,54,37,-0.3,16.8,10,0,10,10,0,0.00
977,S,1,134,103,2.8,21.1,9,0,9,9,0,0.00
977,S,1,35,29,2.8,21.1,9,-1,8,10,0,0.00
997,S,1,11,11,2.8,21.1,10,-1,9,11,0,0.00
1017,S,1,11,11,2.8,21.1,10,-1,9,11,0,0.00
1061,S,1,45,43,5.4,31.8,10,-2,8,12,0,0.00
1197,S,1,111,124,7.3,26.9,9,-4,5,13,0,0.00
1197,S,1,31,38,7.3,26.9,9,-3,6,12,0,0.00
1217,S,1,10,12,7.3,26.9,10,-3,7,13,0,0.00
1237,S,1,10,13,7.3,26.9,10,-4,6,14,0,0.00
1281,S,1,41,53,7.8,21.5,10,-3,7,13,0,0.00
1416,S,1,111,147,7.3,12.2,9,-5,4,14,0,0.00
1417,S,1,29,43,7.3,12.2,9,-3,6,12,0,0.00
1437,S,1,9,15,7.3,12.2,10,-3,7,13,0,0.00
1457,S,1,9,15,7.3,12.2,10,-3,7,13,0,0.00
1500,S,1,37,57,6.0,-1.4,10,-2,8,12,0,0.00
1636,S,1,100,144,2.9,-11.0,9,-2,7,11,0,0.00
1636,S,1,28,40,2.9,-11.0,9,-1,8,10,0,0.00
1656,S,1,10,13,2.9,-11.0,10,-1,9,11,0,0.00
1676,S,1,9,13,2.9,-11.0,10,-1,9,11,0,0.00
1720,S,1,37,51,-0.1,-28.2,10,0,10,10,0,0.00
1890,S,1,107,133,-5.2,-35.1,9,1,10,8,0,0.00
1890,S,1,62,70,-5.2,-35.1,9,2,11,7,0,0.00
1910,S,1,9,10,-5.2,-35.1,10,2,12,8,0,0.00
2084,S,1,110,121,-7.9,-29.8,9,4,13,5,0,0.00
2085,S,1,63,59,-7.9,-29.8,9,3,12,6,0,0.00
2105,S,1,11,10,-7.9,-29.8,10,4,14,6,0,0.00
2241,S,1,145,109,-8.5,-20.7,9,6,15,3,0,0.00
2244,S,1,24,16,-8.5,-20.7,9,4,13,5,0,0.00
2264,S,1,14,10,-8.5,-20.7,9,4,13,5,0,0.00
2284,S,1,15,10,-8.5,-20.7,10,4,14,6,0,0.00
2360,S,1,103,66,-5.4,7.9,9,2,11,7,0,0.00
2483,S,1,149,100,-3.1,12.9,8,2,10,6,0,0.00
2486,S,1,21,16,-3.1,12.9,9,1,10,8,0,0.00
2506,S,1,13,10,-3.1,12.9,9,1,10,8,0,0.00
2526,S,1,13,9,-3.1,12.9,10,1,11,9,0,0.00
2567,S,1,47,31,-1.7,18.1,10,0,10,10,0,0.00
2699,S,1,134,95,1.8,23.1,9,0,9,9,0,0.00
2699,S,1,32,23,1.8,23.1,9,0,9,9,0,0.00
2719,S,1,12,9,1.8,23.1,10,-1,9,11,0,0.00
2739,S,1,12,9,1.8,23.1,10,-1,9,11,0,0.00
2813,S,1,81,72,6.7,49.2,10,-3,7,13,0,0.00
2931,S,1,109,123,7.5,34.9,9,-5,4,14,0,0.00
2939,S,1,12,15,7.5,34.9,9,-3,6,12,0,0.00
2959,S,1,10,13,7.5,34.9,10,-4,6,14,0,0.00
2979,S,1,10,13,7.5,34.9,10,-4,6,14,0,0.00
3016,S,1,36,49,7.6,23.3,10,-3,7,13,0,0.00
3148,S,1,107,149,6.8,12.4,9,-5,4,14,0,0.00
3148,S,1,26,36,6.8,12.4,9,-3,6,12,0,0.00
3168,S,1,11,14,6.8,12.4,10,-3,7,13,0,0.00
3188,S,1,10,14,6.8,12.4,10,-3,7,13,0,0.00
3236,S,1,47,64,5.3,-2.2,10,-2,8,12,0,0.00
3408,S,1,104,142,0.4,-17.6,9,-2,7,11,0,0.00
3408,S,1,59,81,0.4,-17.6,9,0,9,9,0,0.00
3428,S,1,9,12,0.4,-17.6,10,0,10,10,0,0.00
3597,S,1,106,130,-3.6,-21.8,9,0,9,9,0,0.00
3597,S,1,52,63,-3.6,-21.8,9,1,10,8,0,0.00
3617,S,1,9,11,-3.6,-21.8,10,1,11,9,0,0.00
3758,S,1,118,114,-5.8,-19.4,9,3,12,6,0,0.00
3761,S,1,2,2,-5.8,-19.4,10,2,12,8,0,0.00
3781,S,1,12,10,-5.8,-19.4,10,3,13,7,0,0.00
3801,S,1,11,10,-5.8,-19.4,10,3,13,7,0,0.00
3856,S,1,63,54,-6.3,-16.7,10,3,13,7,0,0.00
3988,S,1,127,105,-6.8,-12.5,9,4,13,5,0,0.00
3988,S,1,31,26,-6.8,-12.5,9,3,12,6,0,0.00
4008,S,1,12,10,-6.8,-12.5,10,3,13,7,0,0.00
4028,S,1,12,10,-6.8,-12.5,10,3,13,7,0,0.00
4102,S,1,93,67,-4.5,7.8,10,2,12,8,0,0.00
4225,S,1,144,99,-3.0,10.2,8,1,9,7,0,0.00
4228,S,1,21,14,-3.0,10.2,9,1,10,8,0,0.00
4248,S,1,12,8,-3.0,10.2,10,1,11,9,0,0.00
4268,S,1,13,9,-3.0,10.2,10,1,11,9,0,0.00
4309,S,1,47,32,-2.0,13.7,10,1,11,9,0,0.00
4479,S,1,131,89,3.2,26.0,9,0,9,9,0,0.00
4480,S,1,73,55,3.2,26.0,9,-1,8,10,0,0.00
4500,S,1,11,8,3.2,26.0,10,-1,9,11,0,0.00
4630,S,1,127,106,6.3,24.8,9,-3,6,12,0,0.00
4634,S,1,17,16,6.3,24.8,9,-3,6,12,0,0.00
4654,S,1,10,10,6.3,24.8,10,-3,7,13,0,0.00
4674,S,1,10,11,6.3,24.8,10,-3,7,13,0,0.00
4749,S,1,79,89,8.5,31.6,9,-4,5,13,0,0.00
4867,S,1,103,132,8.1,19.2,9,-5,4,14,0,0.00
4875,S,1,4,5,8.1,19.2,9,-4,5,13,0,0.00
4895,S,1,10,13,8.1,19.2,10,-4,6,14,0,0.00
4915,S,1,10,14,8.1,19.2,10,-4,6,14,0,0.00
4951,S,1,39,58,7.8,10.9,10,-3,7,13,0,0.00
5083,S,1,104,154,5.9,0.7,8,-4,4,12,0,0.00
5083,S,1,26,36,5.9,0.7,9,-2,7,11,0,0.00
5103,S,1,10,14,5.9,0.7,9,-2,7,11,0,0.00
5123,S,1,9,13,5.9,0.7,10,-2,8,12,0,0.00
5197,S,1,62,85,0.2,-39.5,9,0,9,9,0,0.00
5315,S,1,98,121,-1.6,-31.6,9,1,10,8,0,0.00
5323,S,1,5,5,-1.6,-31.6,10,0,10,10,0,0.00
5343,S,1,10,11,-1.6,-31.6,10,1,11,9,0,0.00
5363,S,1,9,11,-1.6,-31.6,10,1,11,9,0,0.00
5399,S,1,36,40,-2.0,-23.4,10,1,11,9,0,0.00
5535,S,1,107,112,-3.7,-20.8,9,2,11,7,0,0.00
5535,S,1,31,31,-3.7,-20.8,9,1,10,8,0,0.00
5555,S,1,10,11,-3.7,-20.8,10,1,11,9,0,0.00
5575,S,1,10,10,-3.7,-20.8,10,2,12,8,0,0.00
5619,S,1,43,38,-4.4,-18.7,10,2,12,8,0,0.00
5754,S,1,125,107,-5.0,-14.1,9,3,12,6,0,0.00
5755,S,1,35,29,-5.0,-14.1,9,2,11,7,0,0.00
5775,S,1,12,9,-5.0,-14.1,10,2,12,8,0,0.00
5795,S,1,11,10,-5.0,-14.1,10,2,12,8,0,0.00
5838,S,1,44,36,-5.2,-10.1,10,2,12,8,0,0.00
5974,S,1,126,103,-3.9,-2.4,9,3,12,6,0,0.00
5974,S,1,35,28,-3.9,-2.4,9,1,10,8,0,0.00
5994,S,1,12,9,-3.9,-2.4,10,1,11,9,0,0.00
6014,S,1,12,11,-3.9,-2.4,10,2,12,8,0,0.00
6088,S,1,84,63,-0.9,19.4,9,0,9,9,0,0.00
6206,S,1,123,98,0.7,18.0,9,0,9,9,0,0.00
6215,S,1,5,4,0.7,18.0,10,0,10,10,0,0.00
6235,S,1,11,9,0.7,18.0,10,0,10,10,0,0.00
6255,S,1,10,8,0.7,18.0,10,0,10,10,0,0.00
6290,S,1,44,35,1.1,14.5,10,0,10,10,0,0.00
6460,S,1,123,95,4.2,19.6,9,-1,8,10,0,0.00
6461,S,1,69,58,4.2,19.6,9,-2,7,11,0,0.00
6481,S,1,10,9,4.2,19.6,10,-2,8,12,0,0.00
6612,S,1,115,117,6.3,18.1,9,-3,6,12,0,0.00
6615,S,1,17,18,6.3,18.1,9,-3,6,12,0,0.00
6635,S,1,10,11,6.3,18.1,10,-3,7,13,0,0.00
6655,S,1,11,11,6.3,18.1,10,-3,7,13,0,0.00
6731,S,1,71,85,6.7,14.7,9,-3,6,12,0,0.00
6849,S,1,108,132,5.8,6.6,8,-4,4,12,0,0.00
6857,S,1,1,1,5.8,6.6,10,-2,8,12,0,0.00
6877,S,1,10,12,5.8,6.6,10,-2,8,12,0,0.00
6897,S,1,10,13,5.8,6.6,10,-3,7,13,0,0.00
6933,S,1,41,54,5.6,2.5,10,-2,8,12,0,0.00
7104,S,1,103,140,2.5,-8.4,9,-2,7,11,0,0.00
7105,S,1,61,82,2.5,-8.4,9,-1,8,10,0,0.00
7125,S,1,9,12,2.5,-8.4,9,-1,8,10,0,0.00
7255,S,1,97,122,-0.3,-12.7,9,0,9,9,0,0.00
7258,S,1,14,17,-0.3,-12.7,9,0,9,9,0,0.00
7278,S,1,9,10,-0.3,-12.7,10,0,10,10,0,0.00
7298,S,1,9,10,-0.3,-12.7,10,0,10,10,0,0.00
7344,S,1,39,44,-1.0,-13.2,10,0,10,10,0,0.00
7520,S,1,103,115,-3.9,-18.2,9,1,10,8,0,0.00
7520,S,1,68,70,-3.9,-18.2,9,1,10,8,0,0.00
7540,S,1,10,10,-3.9,-18.2,10,2,12,8,0,0.00
7666,S,1,120,113,-5.0,-14.7,9,3,12,6,0,0.00
7670,S,1,20,16,-5.0,-14.7,9,2,11,7,0,0.00
7690,S,1,12,10,-5.0,-14.7,10,2,12,8,0,0.00
7710,S,1,12,10,-5.0,-14.7,10,2,12,8,0,0.00
7754,S,1,55,43,-5.3,-12.0,10,2,12,8,0,0.00
7886,S,1,131,101,-4.9,-6.2,9,3,12,6,0,0.00
7887,S,1,31,24,-4.9,-6.2,9,2,11,7,0,0.00
7906,S,1,12,9,-4.9,-6.2,10,2,12,8,0,0.00
7926,S,1,12,9,-4.9,-6.2,10,2,12,8,0,0.00
7974,S,1,54,42,-3.6,4.7,10,1,11,9,0,0.00
