HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=107,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=126,m=S,run=1,el=1,er=1,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=146,m=S,run=1,el=1,er=4,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=166,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=393,m=S,run=1,el=106,er=99,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=579,m=S,run=1,el=80,er=72,yaw=-0.0,yr=-0.0,pc=1,hd=0,OL=1,OR=1
HB:t=579,m=S,run=1,el=55,er=50,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=599,m=S,run=1,el=7,er=7,yaw=-0.0,yr=-0.0,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=88,er=80,yaw=-0.0,yr=-0.0,pc=3,hd=0,OL=3,OR=3
HB:t=726,m=S,run=1,el=8,er=7,yaw=-0.0,yr=-0.0,pc=3,hd=0,OL=3,OR=3
HB:t=746,m=S,run=1,el=8,er=8,yaw=-0.0,yr=-0.0,pc=4,hd=0,OL=4,OR=4
HB:t=766,m=S,run=1,el=8,er=7,yaw=-0.0,yr=-0.0,pc=4,hd=0,OL=4,OR=4
HB:t=800,m=S,run=1,el=20,er=18,yaw=0.9,yr=1.6,pc=5,hd=0,OL=5,OR=5
HB:t=906,m=S,run=1,el=81,er=71,yaw=0.9,yr=1.6,pc=5,hd=0,OL=5,OR=5
HB:t=926,m=S,run=1,el=7,er=7,yaw=0.9,yr=1.6,pc=6,hd=0,OL=6,OR=6
HB:t=946,m=S,run=1,el=7,er=6,yaw=0.9,yr=1.6,pc=6,hd=0,OL=6,OR=6
HB:t=966,m=S,run=1,el=7,er=6,yaw=0.9,yr=1.6,pc=7,hd=0,OL=7,OR=7
HB:t=986,m=S,run=1,el=7,er=6,yaw=0.9,yr=1.6,pc=7,hd=0,OL=7,OR=7
HB:t=1193,m=S,run=1,el=144,er=125,yaw=2.3,yr=3.4,pc=6,hd=0,OL=6,OR=6
HB:t=1322,m=S,run=1,el=82,er=73,yaw=3.7,yr=4.6,pc=8,hd=0,OL=8,OR=8
HB:t=1325,m=S,run=1,el=2,er=1,yaw=3.7,yr=4.6,pc=9,hd=0,OL=9,OR=9
HB:t=1345,m=S,run=1,el=8,er=7,yaw=3.7,yr=4.6,pc=9,hd=0,OL=9,OR=9
HB:t=1365,m=S,run=1,el=8,er=8,yaw=3.7,yr=4.6,pc=10,hd=0,OL=10,OR=10
HB:t=1385,m=S,run=1,el=7,er=8,yaw=3.7,yr=4.6,pc=10,hd=0,OL=10,OR=10
HB:t=1506,m=S,run=1,el=102,er=97,yaw=3.7,yr=4.6,pc=9,hd=0,OL=9,OR=9
HB:t=1609,m=S,run=1,el=92,er=86,yaw=5.1,yr=5.4,pc=9,hd=0,OL=9,OR=9
HB:t=1715,m=S,run=1,el=102,er=94,yaw=5.1,yr=5.4,pc=8,hd=0,OL=8,OR=8
HB:t=1735,m=S,run=1,el=10,er=8,yaw=5.1,yr=5.4,pc=9,hd=0,OL=9,OR=9
HB:t=1755,m=S,run=1,el=10,er=9,yaw=5.1,yr=5.4,pc=9,hd=0,OL=9,OR=9
HB:t=1775,m=S,run=1,el=10,er=9,yaw=5.1,yr=5.4,pc=10,hd=0,OL=10,OR=10
HB:t=1795,m=S,run=1,el=10,er=9,yaw=5.1,yr=5.4,pc=10,hd=0,OL=10,OR=10
HB:t=1984,m=S,run=1,el=192,er=177,yaw=6.0,yr=5.1,pc=7,hd=0,OL=7,OR=7
HB:t=2004,m=S,run=1,el=11,er=10,yaw=6.0,yr=5.1,pc=8,hd=0,OL=8,OR=8
HB:t=2222,m=S,run=1,el=104,er=96,yaw=8.5,yr=6.9,pc=8,hd=0,OL=8,OR=8
HB:t=2222,m=S,run=1,el=88,er=83,yaw=8.5,yr=6.9,pc=8,hd=0,OL=8,OR=8
HB:t=2329,m=S,run=1,el=84,er=74,yaw=8.5,yr=6.9,pc=8,hd=0,OL=8,OR=8
HB:t=2349,m=S,run=1,el=8,er=7,yaw=8.5,yr=6.9,pc=9,hd=0,OL=9,OR=9
HB:t=2369,m=S,run=1,el=8,er=7,yaw=8.5,yr=6.9,pc=10,hd=0,OL=10,OR=10
HB:t=2389,m=S,run=1,el=9,er=7,yaw=8.5,yr=6.9,pc=10,hd=0,OL=10,OR=10
HB:t=2409,m=S,run=1,el=9,er=8,yaw=8.5,yr=6.9,pc=10,hd=0,OL=10,OR=10
HB:t=2539,m=S,run=1,el=117,er=109,yaw=8.6,yr=4.8,pc=9,hd=0,OL=9,OR=9
HB:t=2559,m=S,run=1,el=10,er=9,yaw=8.6,yr=4.8,pc=9,hd=0,OL=9,OR=9
HB:t=2579,m=S,run=1,el=10,er=9,yaw=8.6,yr=4.8,pc=9,hd=0,OL=9,OR=9
HB:t=2599,m=S,run=1,el=10,er=9,yaw=8.6,yr=4.8,pc=10,hd=0,OL=10,OR=10
HB:t=2619,m=S,run=1,el=10,er=10,yaw=8.6,yr=4.8,pc=10,hd=0,OL=10,OR=10
HB:t=2815,m=S,run=1,el=118,er=114,yaw=9.6,yr=4.3,pc=8,hd=0,OL=8,OR=8
HB:t=2815,m=S,run=1,el=88,er=83,yaw=9.6,yr=4.3,pc=8,hd=-1,OL=7,OR=9
HB:t=2928,m=S,run=1,el=104,er=103,yaw=9.6,yr=4.3,pc=8,hd=-1,OL=7,OR=9
HB:t=2948,m=S,run=1,el=9,er=9,yaw=9.6,yr=4.3,pc=9,hd=-1,OL=8,OR=10
HB:t=2968,m=S,run=1,el=9,er=9,yaw=9.6,yr=4.3,pc=9,hd=-1,OL=8,OR=10
HB:t=2988,m=S,run=1,el=9,er=9,yaw=9.6,yr=4.3,pc=10,hd=-1,OL=9,OR=11
HB:t=3008,m=S,run=1,el=10,er=10,yaw=9.6,yr=4.3,pc=10,hd=-1,OL=9,OR=11
HB:t=3100,m=S,run=1,el=83,er=85,yaw=10.8,yr=4.9,pc=9,hd=-1,OL=8,OR=10
HB:t=3206,m=S,run=1,el=101,er=105,yaw=10.8,yr=4.9,pc=8,hd=-1,OL=7,OR=9
HB:t=3226,m=S,run=1,el=9,er=10,yaw=10.8,yr=4.9,pc=9,hd=-1,OL=8,OR=10
HB:t=3246,m=S,run=1,el=9,er=10,yaw=10.8,yr=4.9,pc=9,hd=-1,OL=8,OR=10
HB:t=3266,m=S,run=1,el=9,er=9,yaw=10.8,yr=4.9,pc=10,hd=-1,OL=9,OR=11
HB:t=3286,m=S,run=1,el=9,er=9,yaw=10.8,yr=4.9,pc=10,hd=-1,OL=9,OR=11
HB:t=3417,m=S,run=1,el=119,er=128,yaw=10.8,yr=3.2,pc=8,hd=-1,OL=7,OR=9
HB:t=3437,m=S,run=1,el=10,er=10,yaw=10.8,yr=3.2,pc=9,hd=-1,OL=8,OR=10
HB:t=3457,m=S,run=1,el=10,er=10,yaw=10.8,yr=3.2,pc=9,hd=-1,OL=8,OR=10
HB:t=3477,m=S,run=1,el=9,er=10,yaw=10.8,yr=3.2,pc=9,hd=-1,OL=8,OR=10
HB:t=3497,m=S,run=1,el=9,er=10,yaw=10.8,yr=3.2,pc=10,hd=-1,OL=9,OR=11
HB:t=3663,m=S,run=1,el=103,er=111,yaw=10.8,yr=2.0,pc=9,hd=-1,OL=8,OR=10
HB:t=3664,m=S,run=1,el=51,er=56,yaw=10.8,yr=2.0,pc=9,hd=-1,OL=8,OR=10
HB:t=3684,m=S,run=1,el=9,er=9,yaw=10.8,yr=2.0,pc=9,hd=-1,OL=8,OR=10
HB:t=3806,m=S,run=1,el=94,er=110,yaw=10.8,yr=2.0,pc=8,hd=-1,OL=7,OR=9
HB:t=3825,m=S,run=1,el=8,er=9,yaw=10.8,yr=2.0,pc=9,hd=-1,OL=8,OR=10
HB:t=3845,m=S,run=1,el=8,er=10,yaw=10.8,yr=2.0,pc=10,hd=-1,OL=9,OR=11
HB:t=3949,m=S,run=1,el=86,er=102,yaw=8.8,yr=-2.1,pc=9,hd=0,OL=9,OR=9
HB:t=4055,m=S,run=1,el=100,er=113,yaw=8.8,yr=-2.1,pc=8,hd=0,OL=8,OR=8
HB:t=4075,m=S,run=1,el=9,er=10,yaw=8.8,yr=-2.1,pc=9,hd=0,OL=9,OR=9
HB:t=4095,m=S,run=1,el=10,er=10,yaw=8.8,yr=-2.1,pc=9,hd=0,OL=9,OR=9
HB:t=4115,m=S,run=1,el=9,er=10,yaw=8.8,yr=-2.1,pc=9,hd=0,OL=9,OR=9
HB:t=4135,m=S,run=1,el=9,er=10,yaw=8.8,yr=-2.1,pc=10,hd=-1,OL=9,OR=11
HB:t=4354,m=S,run=1,el=195,er=229,yaw=4.5,yr=-9.0,pc=7,hd=0,OL=7,OR=7
HB:t=4472,m=S,run=1,el=92,er=104,yaw=4.0,yr=-6.7,pc=7,hd=0,OL=7,OR=7
HB:t=4480,m=S,run=1,el=1,er=0,yaw=4.0,yr=-6.7,pc=9,hd=0,OL=9,OR=9
HB:t=4500,m=S,run=1,el=7,er=9,yaw=4.0,yr=-6.7,pc=10,hd=0,OL=10,OR=10
HB:t=4520,m=S,run=1,el=8,er=9,yaw=4.0,yr=-6.7,pc=10,hd=0,OL=10,OR=10
HB:t=4540,m=S,run=1,el=8,er=8,yaw=4.0,yr=-6.7,pc=10,hd=0,OL=10,OR=10
HB:t=4660,m=S,run=1,el=94,er=104,yaw=4.0,yr=-6.7,pc=9,hd=0,OL=9,OR=9
HB:t=4759,m=S,run=1,el=84,er=92,yaw=1.9,yr=-7.9,pc=9,hd=0,OL=9,OR=9
HB:t=4865,m=S,run=1,el=90,er=102,yaw=1.9,yr=-7.9,pc=8,hd=0,OL=8,OR=8
HB:t=4885,m=S,run=1,el=8,er=9,yaw=1.9,yr=-7.9,pc=9,hd=0,OL=9,OR=9
HB:t=4905,m=S,run=1,el=8,er=9,yaw=1.9,yr=-7.9,pc=9,hd=0,OL=9,OR=9
HB:t=4925,m=S,run=1,el=8,er=9,yaw=1.9,yr=-7.9,pc=10,hd=0,OL=10,OR=10
HB:t=4945,m=S,run=1,el=8,er=10,yaw=1.9,yr=-7.9,pc=10,hd=0,OL=10,OR=10
HB:t=5076,m=S,run=1,el=109,er=122,yaw=0.3,yr=-8.0,pc=9,hd=0,OL=9,OR=9
HB:t=5096,m=S,run=1,el=9,er=11,yaw=0.3,yr=-8.0,pc=9,hd=0,OL=9,OR=9
HB:t=5116,m=S,run=1,el=9,er=10,yaw=0.3,yr=-8.0,pc=9,hd=0,OL=9,OR=9
HB:t=5136,m=S,run=1,el=9,er=10,yaw=0.3,yr=-8.0,pc=10,hd=0,OL=10,OR=10
HB:t=5156,m=S,run=1,el=9,er=10,yaw=0.3,yr=-8.0,pc=9,hd=0,OL=9,OR=9
HB:t=5322,m=S,run=1,el=100,er=112,yaw=0.2,yr=-5.4,pc=8,hd=0,OL=8,OR=8
HB:t=5322,m=S,run=1,el=48,er=54,yaw=0.2,yr=-5.4,pc=9,hd=0,OL=9,OR=9
HB:t=5342,m=S,run=1,el=9,er=8,yaw=0.2,yr=-5.4,pc=10,hd=0,OL=10,OR=10
HB:t=5465,m=S,run=1,el=100,er=107,yaw=0.2,yr=-5.4,pc=9,hd=0,OL=9,OR=9
HB:t=5484,m=S,run=1,el=9,er=9,yaw=0.2,yr=-5.4,pc=9,hd=0,OL=9,OR=9
HB:t=5504,m=S,run=1,el=9,er=9,yaw=0.2,yr=-5.4,pc=10,hd=0,OL=10,OR=10
HB:t=5551,m=S,run=1,el=34,er=35,yaw=-1.4,yr=-6.2,pc=10,hd=0,OL=10,OR=10
HB:t=5665,m=S,run=1,el=101,er=106,yaw=-1.4,yr=-6.2,pc=9,hd=0,OL=9,OR=9
HB:t=5684,m=S,run=1,el=9,er=9,yaw=-1.4,yr=-6.2,pc=9,hd=0,OL=9,OR=9
HB:t=5704,m=S,run=1,el=9,er=10,yaw=-1.4,yr=-6.2,pc=9,hd=0,OL=9,OR=9
HB:t=5724,m=S,run=1,el=9,er=9,yaw=-1.4,yr=-6.2,pc=10,hd=0,OL=10,OR=10
HB:t=5744,m=S,run=1,el=9,er=10,yaw=-1.4,yr=-6.2,pc=10,hd=0,OL=10,OR=10
HB:t=5838,m=S,run=1,el=90,er=93,yaw=-4.7,yr=-9.8,pc=9,hd=0,OL=9,OR=9
HB:t=5944,m=S,run=1,el=103,er=106,yaw=-4.7,yr=-9.8,pc=8,hd=0,OL=8,OR=8
HB:t=5964,m=S,run=1,el=10,er=10,yaw=-4.7,yr=-9.8,pc=9,hd=0,OL=9,OR=9
HB:t=5984,m=S,run=1,el=9,er=9,yaw=-4.7,yr=-9.8,pc=9,hd=0,OL=9,OR=9
HB:t=6004,m=S,run=1,el=9,er=10,yaw=-4.7,yr=-9.8,pc=10,hd=0,OL=10,OR=10
HB:t=6024,m=S,run=1,el=9,er=10,yaw=-4.7,yr=-9.8,pc=10,hd=0,OL=10,OR=10
HB:t=6155,m=S,run=1,el=112,er=119,yaw=-5.5,yr=-7.8,pc=8,hd=0,OL=8,OR=8
HB:t=6175,m=S,run=1,el=9,er=10,yaw=-5.5,yr=-7.8,pc=9,hd=0,OL=9,OR=9
HB:t=6195,m=S,run=1,el=9,er=9,yaw=-5.5,yr=-7.8,pc=9,hd=0,OL=9,OR=9
HB:t=6215,m=S,run=1,el=10,er=9,yaw=-5.5,yr=-7.8,pc=10,hd=0,OL=10,OR=10
HB:t=6235,m=S,run=1,el=8,er=9,yaw=-5.5,yr=-7.8,pc=10,hd=0,OL=10,OR=10
HB:t=6401,m=S,run=1,el=106,er=111,yaw=-5.5,yr=-5.1,pc=9,hd=0,OL=9,OR=9
HB:t=6401,m=S,run=1,el=57,er=58,yaw=-5.5,yr=-5.1,pc=9,hd=0,OL=9,OR=9
HB:t=6421,m=S,run=1,el=10,er=10,yaw=-5.5,yr=-5.1,pc=10,hd=0,OL=10,OR=10
HB:t=6544,m=S,run=1,el=105,er=103,yaw=-5.5,yr=-5.1,pc=8,hd=0,OL=8,OR=8
HB:t=6563,m=S,run=1,el=8,er=9,yaw=-5.5,yr=-5.1,pc=10,hd=0,OL=10,OR=10
HB:t=6583,m=S,run=1,el=9,er=9,yaw=-5.5,yr=-5.1,pc=10,hd=0,OL=10,OR=10
HB:t=6687,m=S,run=1,el=91,er=91,yaw=-7.2,yr=-6.2,pc=9,hd=0,OL=9,OR=9
HB:t=6794,m=S,run=1,el=99,er=99,yaw=-7.2,yr=-6.2,pc=8,hd=0,OL=8,OR=8
HB:t=6814,m=S,run=1,el=9,er=9,yaw=-7.2,yr=-6.2,pc=9,hd=0,OL=9,OR=9
HB:t=6834,m=S,run=1,el=9,er=9,yaw=-7.2,yr=-6.2,pc=9,hd=0,OL=9,OR=9
HB:t=6854,m=S,run=1,el=9,er=9,yaw=-7.2,yr=-6.2,pc=10,hd=0,OL=10,OR=10
HB:t=6874,m=S,run=1,el=9,er=8,yaw=-7.2,yr=-6.2,pc=10,hd=0,OL=10,OR=10
HB:t=7071,m=S,run=1,el=195,er=188,yaw=-7.2,yr=-4.1,pc=7,hd=0,OL=7,OR=7
HB:t=7297,m=S,run=1,el=106,er=106,yaw=-6.9,yr=-2.1,pc=8,hd=0,OL=8,OR=8
HB:t=7297,m=S,run=1,el=90,er=89,yaw=-6.9,yr=-2.1,pc=8,hd=0,OL=8,OR=8
HB:t=7404,m=S,run=1,el=85,er=85,yaw=-6.9,yr=-2.1,pc=8,hd=0,OL=8,OR=8
HB:t=7424,m=S,run=1,el=8,er=8,yaw=-6.9,yr=-2.1,pc=9,hd=0,OL=9,OR=9
HB:t=7444,m=S,run=1,el=8,er=8,yaw=-6.9,yr=-2.1,pc=9,hd=0,OL=9,OR=9
HB:t=7464,m=S,run=1,el=9,er=7,yaw=-6.9,yr=-2.1,pc=10,hd=0,OL=10,OR=10
HB:t=7484,m=S,run=1,el=8,er=8,yaw=-6.9,yr=-2.1,pc=10,hd=0,OL=10,OR=10
HB:t=7614,m=S,run=1,el=119,er=117,yaw=-6.9,yr=-1.4,pc=9,hd=0,OL=9,OR=9
HB:t=7634,m=S,run=1,el=10,er=10,yaw=-6.9,yr=-1.4,pc=9,hd=0,OL=9,OR=9
HB:t=7654,m=S,run=1,el=10,er=11,yaw=-6.9,yr=-1.4,pc=9,hd=0,OL=9,OR=9
HB:t=7674,m=S,run=1,el=10,er=11,yaw=-6.9,yr=-1.4,pc=9,hd=0,OL=9,OR=9
HB:t=7694,m=S,run=1,el=9,er=9,yaw=-6.9,yr=-1.4,pc=9,hd=0,OL=9,OR=9
