t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,0,1,1,0,0.00
118,S,1,38,36,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,1,0,0.0,0.0,2,0,0,2,2,0,0.00
228,S,1,65,63,0.0,0.7,3,0,0,3,3,0,0.00
416,S,1,85,83,0.2,1.0,3,0,0,3,3,0,0.00
417,S,1,69,68,0.2,0.3,4,0,0,4,4,0,0.00
545,S,1,97,96,0.2,-0.3,5,0,0,5,5,0,0.00
554,S,1,4,3,0.2,-0.4,6,0,0,6,6,0,0.00
663,S,1,88,87,0.4,0.1,7,0,0,7,7,0,0.00
786,S,1,89,89,0.4,0.4,8,0,0,8,8,0,0.00
790,S,1,3,3,0.4,-0.7,10,0,0,10,10,0,0.00
891,S,1,92,90,0.4,0.3,10,0,0,10,10,0,0.00
1010,S,1,120,119,0.4,0.8,9,0,0,9,9,0,0.00
1018,S,1,14,14,0.4,1.1,9,-1,0,8,10,0,0.00
1104,S,1,85,87,0.7,0.0,10,0,0,10,10,0,0.00
1302,S,1,126,123,0.6,-0.6,8,0,0,8,8,0,0.00
1302,S,1,100,97,0.6,-0.6,8,0,0,8,8,0,0.00
1492,S,1,105,107,0.7,-0.6,8,0,0,8,8,0,0.00
1492,S,1,76,75,0.7,0.6,8,-1,0,7,9,0,0.00
1622,S,1,102,103,0.8,1.4,9,-1,0,8,10,0,0.00
1630,S,1,7,7,0.8,1.6,10,-1,-1,9,11,0,0.00
1724,S,1,85,89,0.6,-0.4,10,0,0,10,10,0,0.00
1913,S,1,115,117,0.4,-1.4,9,0,0,9,9,0,0.00
1913,S,1,88,88,0.4,-0.5,8,0,0,8,8,0,0.00
2120,S,1,113,110,0.6,0.2,8,0,0,8,8,0,0.00
2120,S,1,85,83,0.6,-0.1,8,0,0,8,8,0,0.00
2312,S,1,95,94,0.7,-0.2,8,0,0,8,8,0,0.00
2313,S,1,70,70,0.7,0.0,9,0,0,9,9,0,0.00
2520,S,1,99,100,0.6,0.2,9,-1,0,8,10,0,0.00
2520,S,1,88,90,0.6,-1.5,9,0,0,9,9,0,0.00
2712,S,1,108,108,0.4,-2.3,8,0,1,8,8,0,0.00
2712,S,1,75,74,0.4,-1.2,8,0,0,8,8,0,0.00
2845,S,1,95,97,0.4,-0.3,9,0,0,9,9,0,0.00
2850,S,1,4,4,0.4,0.1,10,0,0,10,10,0,0.00
2944,S,1,80,83,0.2,-0.9,10,0,0,10,10,0,0.00
3141,S,1,112,114,-0.2,-1.5,9,0,0,9,9,0,0.00
3142,S,1,93,93,-0.2,-0.8,9,0,0,9,9,0,0.00
3332,S,1,102,104,-0.3,-0.5,8,0,0,8,8,0,0.00
3332,S,1,72,73,-0.3,-0.1,8,0,0,8,8,0,0.00
3461,S,1,96,98,-0.3,0.2,9,0,0,9,9,0,0.00
3470,S,1,7,7,-0.3,0.3,10,0,0,10,10,0,0.00
3564,S,1,81,81,-0.6,-1.3,10,1,0,11,9,0,0.00
3752,S,1,115,110,-0.4,-2.1,9,1,1,10,8,0,0.00
3753,S,1,87,83,-0.4,0.6,9,0,0,9,9,0,0.00
3965,S,1,114,119,-0.4,2.7,8,-1,-1,7,9,0,0.00
3965,S,1,92,93,-0.4,0.1,8,0,0,8,8,0,0.00
4083,S,1,94,93,-0.4,-1.3,8,1,0,9,7,0,0.00
4092,S,1,6,5,-0.4,-2.2,9,1,1,10,8,0,0.00
4197,S,1,96,91,-0.3,-0.1,9,0,0,9,9,0,0.00
4381,S,1,111,108,0.1,1.1,8,0,0,8,8,0,0.00
4382,S,1,76,74,0.1,1.0,9,0,0,9,9,0,0.00
4518,S,1,110,105,0.2,0.9,9,0,0,9,9,0,0.00
4523,S,1,2,2,0.2,2.2,10,-1,-1,9,11,0,0.00
4638,S,1,112,113,0.5,0.8,9,-1,0,8,10,0,0.00
4756,S,1,115,123,0.5,0.1,8,-1,0,7,9,0,0.00
4764,S,1,4,4,0.5,-0.5,10,0,0,10,10,0,0.00
4862,S,1,107,103,0.3,1.1,9,-1,0,8,10,0,0.00
5050,S,1,114,118,0.1,1.9,8,-1,-1,7,9,0,0.00
5050,S,1,81,84,0.1,-0.3,8,0,0,8,8,0,0.00
5179,S,1,104,108,0.0,-1.9,8,0,1,8,8,0,0.00
5187,S,1,1,1,0.0,-2.3,10,1,1,11,9,0,0.00
5298,S,1,120,115,-0.2,0.0,9,0,0,9,9,0,0.00
5487,S,1,121,119,0.2,1.2,8,0,0,8,8,0,0.00
5487,S,1,92,88,0.2,1.4,8,-1,0,7,9,0,0.00
5615,S,1,125,129,0.2,1.5,8,-1,0,7,9,0,0.00
5624,S,1,4,5,0.2,1.6,9,-1,0,8,10,0,0.00
5729,S,1,116,117,0.0,-0.9,8,0,0,8,8,0,0.00
5847,S,1,119,116,-0.0,-2.1,8,1,1,9,7,0,0.00
5855,S,1,2,2,-0.0,-3.0,10,1,1,11,9,0,0.00
5961,S,1,114,112,0.1,0.7,9,0,0,9,9,0,0.00
6080,S,1,119,116,0.2,2.6,8,-1,-1,7,9,0,0.00
6087,S,1,14,13,0.2,3.6,9,-1,-1,8,10,0,0.00
6195,S,1,101,114,0.3,-1.0,9,0,0,9,9,0,0.00
6313,S,1,127,128,0.1,-3.6,8,1,1,9,7,0,0.00
6321,S,1,9,7,0.1,-5.6,9,2,2,11,7,0,0.00
6418,S,1,106,96,-0.4,-2.7,9,1,1,10,8,0,0.00
6607,S,1,129,116,0.6,-1.1,8,1,0,9,7,0,0.00
6607,S,1,94,90,0.6,1.3,8,-1,0,7,9,0,0.00
6735,S,1,122,132,0.7,3.1,8,-1,-1,7,9,0,0.00
6744,S,1,4,4,0.7,3.5,9,-2,-1,7,11,0,0.00
6855,S,1,113,128,0.4,-0.0,8,0,0,8,8,0,0.00
7042,S,1,119,115,0.2,-1.9,8,0,1,8,8,0,0.00
7043,S,1,82,77,0.2,-0.2,8,0,0,8,8,0,0.00
7172,S,1,109,110,0.2,1.0,8,0,0,8,8,0,0.00
7181,S,1,8,7,0.2,1.4,9,-1,0,8,10,0,0.00
7285,S,1,103,111,0.1,-0.5,9,0,0,9,9,0,0.00
7404,S,1,120,121,-0.0,-1.4,8,0,0,8,8,0,0.00
7412,S,1,6,5,-0.0,-2.1,9,1,1,10,8,0,0.00
