t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
194,S,1,0,0,-0.0,0.0,2,0,0,2,2,0,0.00
195,S,1,20,28,-0.0,0.0,3,0,0,3,3,0,0.00
406,S,1,52,48,0.3,0.0,3,0,0,3,3,0,0.00
406,S,1,63,60,0.3,0.2,4,0,0,4,4,0,0.00
590,S,1,74,71,0.5,0.3,5,0,0,5,5,0,0.00
591,S,1,57,54,0.5,0.4,6,0,0,6,6,0,0.00
807,S,1,84,82,0.8,0.4,7,0,0,7,7,0,0.00
807,S,1,72,73,0.8,-0.0,9,0,0,9,9,0,0.00
991,S,1,89,88,0.8,-0.2,9,0,0,9,9,0,0.00
991,S,1,70,67,0.8,0.9,10,-1,0,9,11,0,0.00
1128,S,1,115,113,0.9,1.8,10,-1,-1,9,11,0,0.00
1133,S,1,2,2,0.9,1.4,11,-1,0,10,12,0,0.00
1247,S,1,120,126,0.9,0.4,10,-1,0,9,11,0,0.00
1431,S,1,120,129,0.2,-0.1,9,-1,0,8,10,0,0.00
1431,S,1,84,89,0.2,-2.8,9,1,1,10,8,0,0.00
1647,S,1,126,119,0.2,-4.9,9,1,2,10,8,0,0.00
1648,S,1,102,98,0.2,-0.7,9,0,0,9,9,0,0.00
1766,S,1,108,110,0.3,1.5,8,-1,0,7,9,0,0.00
1774,S,1,3,3,0.3,3.1,10,-1,-1,9,11,0,0.00
1880,S,1,108,117,0.1,-1.9,10,0,1,10,10,0,0.00
1998,S,1,127,128,0.0,-4.5,9,1,1,10,8,0,0.00
2006,S,1,1,1,0.0,-6.4,11,2,2,13,9,0,0.00
2103,S,1,119,109,-0.0,-0.3,10,0,0,10,10,0,0.00
2291,S,1,130,131,0.4,2.9,9,-1,-1,8,10,0,0.00
2292,S,1,91,93,0.4,-0.4,9,0,0,9,9,0,0.00
2420,S,1,116,116,0.3,-2.9,9,1,1,10,8,0,0.00
2429,S,1,13,12,0.3,-3.3,9,1,1,10,8,0,0.00
2539,S,1,112,105,0.4,0.6,9,0,0,9,9,0,0.00
2661,S,1,115,108,0.5,2.6,9,-1,-1,8,10,0,0.00
2665,S,1,18,16,0.5,5.0,10,-2,-2,8,12,0,0.00
2767,S,1,94,102,1.0,2.6,10,-1,-1,9,11,0,0.00
2951,S,1,129,137,0.3,0.5,8,-1,0,7,9,0,0.00
2951,S,1,92,96,0.3,-1.5,8,0,0,8,8,0,0.00
3087,S,1,126,123,0.3,-3.0,8,1,1,9,7,0,0.00
3092,S,1,3,3,0.3,-2.3,10,0,1,10,10,0,0.00
3206,S,1,125,125,-0.1,-2.1,9,1,1,10,8,0,0.00
3324,S,1,128,118,-0.1,-2.1,8,1,1,9,7,0,0.00
3333,S,1,7,6,-0.1,-2.1,9,1,1,10,8,0,0.00
3438,S,1,112,106,0.6,2.9,9,-1,-1,8,10,0,0.00
3557,S,1,119,125,0.7,5.4,8,-2,-2,6,10,0,0.00
3565,S,1,3,3,0.7,7.3,10,-3,-2,7,13,0,0.00
3662,S,1,103,116,0.5,2.2,9,-1,-1,8,10,0,0.00
3850,S,1,124,134,-0.5,-0.5,8,0,0,8,8,0,0.00
3851,S,1,91,90,-0.5,-2.3,8,1,1,9,7,0,0.00
4054,S,1,120,110,-0.7,-3.6,9,1,1,10,8,0,0.00
4054,S,1,94,92,-0.7,-1.4,8,1,0,9,7,0,0.00
4259,S,1,111,119,-0.6,0.2,9,0,0,9,9,0,0.00
4260,S,1,96,96,-0.6,-0.2,8,0,0,8,8,0,0.00
4449,S,1,110,108,-0.6,-0.4,8,0,0,8,8,0,0.00
4450,S,1,79,79,-0.6,-0.6,8,0,0,8,8,0,0.00
4580,S,1,106,107,-0.6,-0.7,9,0,0,9,9,0,0.00
4588,S,1,13,13,-0.6,-0.8,9,0,0,9,9,0,0.00
4699,S,1,108,109,-0.6,-0.2,9,0,0,9,9,0,0.00
4822,S,1,123,119,-0.6,0.1,9,0,0,9,9,0,0.00
4826,S,1,17,17,-0.6,-0.7,9,0,0,9,9,0,0.00
4928,S,1,105,100,-0.5,0.3,9,0,0,9,9,0,0.00
5046,S,1,119,123,-0.5,1.1,8,0,0,8,8,0,0.00
5054,S,1,4,4,-0.5,1.7,10,0,-1,10,10,0,0.00
5112,S,1,57,58,-0.5,1.2,10,0,0,10,10,0,0.00
5262,S,1,136,132,-0.5,0.8,9,0,0,9,9,0,0.00
5262,S,1,35,34,-0.5,-0.1,9,0,0,9,9,0,0.00
5380,S,1,12,11,-0.4,-0.8,10,0,0,10,10,0,0.00
5381,S,1,121,122,-0.4,-0.2,9,0,0,9,9,0,0.00
5569,S,1,122,122,-0.3,0.1,8,0,0,8,8,0,0.00
5569,S,1,87,84,-0.3,0.5,8,0,0,8,8,0,0.00
5699,S,1,123,120,-0.3,0.8,9,0,0,9,9,0,0.00
5707,S,1,1,0,-0.3,0.9,11,0,0,11,11,0,0.00
5818,S,1,137,136,-0.1,0.9,9,0,0,9,9,0,0.00
6006,S,1,129,129,-0.0,1.0,8,0,0,8,8,0,0.00
6006,S,1,88,86,-0.0,0.9,8,0,0,8,8,0,0.00
6210,S,1,118,116,0.2,0.9,9,0,0,9,9,0,0.00
6210,S,1,92,90,0.2,1.4,9,-1,0,8,10,0,0.00
6336,S,1,115,120,0.2,1.7,8,-1,-1,7,9,0,0.00
6344,S,1,3,4,0.2,1.8,10,-1,-1,9,11,0,0.00
