t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
12,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
148,S,1,8,15,0.0,0.0,-1,0,-1,-1,0,0.00
188,S,1,2,3,-0.0,-0.0,4,0,4,4,0,0.00
205,S,1,0,0,-0.1,-1.0,6,0,6,6,0,0.00
334,S,1,13,15,-0.1,-0.7,-1,0,-1,-1,0,0.00
388,S,1,4,6,-0.3,-2.4,4,0,4,4,0,0.00
411,S,1,2,1,-0.3,-1.2,6,0,6,6,0,0.00
530,S,1,22,22,-0.3,-0.5,-4,0,-4,-4,0,0.00
576,S,1,-1,-1,-0.3,-0.9,9,0,9,9,0,0.00
589,S,1,3,3,-0.3,-0.5,7,0,7,7,0,0.00
614,S,1,1,1,-0.3,-0.1,8,0,8,8,0,0.00
732,S,1,30,27,-0.3,-0.0,-7,0,-7,-7,0,0.00
778,S,1,1,0,-0.2,1.4,9,0,9,9,0,0.00
790,S,1,5,5,-0.2,0.9,7,0,7,7,0,0.00
814,S,1,3,5,-0.2,-0.0,8,0,8,8,0,0.00
932,S,1,42,41,-0.2,-0.0,-13,0,-13,-13,0,0.00
978,S,1,-3,-2,-0.3,-0.8,12,0,12,12,0,0.00
990,S,1,6,6,-0.3,-0.7,8,0,8,8,0,0.00
1014,S,1,2,3,-0.3,-1.1,10,0,10,10,0,0.00
1132,S,1,53,52,-0.3,-0.6,-19,0,-19,-19,0,0.00
1178,S,1,-3,-2,-0.2,0.7,14,0,14,14,0,0.00
1190,S,1,7,5,-0.3,-0.5,9,0,9,9,0,0.00
1214,S,1,5,5,-0.4,-2.3,10,0,10,10,0,0.00
1332,S,1,59,58,-0.4,-1.4,-21,0,-21,-21,0,0.00
1378,S,1,-4,-2,-0.3,0.4,15,0,15,15,0,0.00
1390,S,1,7,6,-0.4,-1.5,10,0,10,10,0,0.00
1414,S,1,6,5,-0.5,-3.2,11,0,11,11,0,0.00
1532,S,1,63,64,-0.5,-1.9,-22,0,-22,-22,0,0.00
1578,S,1,-2,-2,-0.5,0.1,16,0,16,16,0,0.00
1590,S,1,7,8,-0.6,-1.8,11,0,11,11,0,0.00
1614,S,1,6,6,-0.7,-2.1,12,0,12,12,0,0.00
1732,S,1,69,71,-0.6,-1.1,-25,0,-25,-25,0,0.00
1777,S,1,-1,-3,-0.6,-0.0,18,0,18,18,0,0.00
1790,S,1,8,9,-0.6,-1.0,12,0,12,12,0,0.00
1814,S,1,6,7,-0.7,-1.4,13,0,13,13,0,0.00
1932,S,1,79,78,-0.6,-0.7,-29,0,-29,-29,0,0.00
1978,S,1,-6,0,-0.6,0.1,19,0,19,19,0,0.00
1990,S,1,8,8,-0.6,0.1,13,0,13,13,0,0.00
2014,S,1,9,8,-0.7,-2.1,12,0,12,12,0,0.00
2132,S,1,78,76,-0.8,-1.5,-28,0,-28,-28,0,0.00
2163,S,1,-6,-7,-0.8,-0.6,21,0,21,21,0,0.00
2200,S,1,13,13,-0.8,-0.4,10,0,10,10,0,0.00
2212,S,1,9,8,-0.9,-2.5,12,0,12,12,0,0.00
2331,S,1,98,96,-0.9,-1.0,-40,0,-40,-40,0,0.00
2377,S,1,-7,-2,-0.8,0.8,20,0,20,20,0,0.00
2390,S,1,9,9,-1.0,-2.2,12,0,12,12,0,0.00
2426,S,1,9,8,-1.0,-1.7,12,0,12,12,0,0.00
2543,S,1,84,81,-1.0,-1.2,-31,0,-31,-31,0,0.00
2585,S,1,-8,-8,-0.9,1.3,22,0,22,22,0,0.00
2609,S,1,8,7,-1.4,-10.9,13,1,14,12,0,0.00
2731,S,1,86,92,-1.5,-3.4,-35,0,-35,-35,0,0.00
2777,S,1,-5,-1,-1.5,0.0,19,0,19,19,0,0.00
2790,S,1,9,9,-1.7,-2.9,12,0,12,12,0,0.00
2825,S,1,8,9,-1.8,-3.5,12,0,12,12,0,0.00
2943,S,1,88,91,-1.7,-2.1,-36,0,-36,-36,0,0.00
2985,S,1,-11,-6,-2.0,-3.4,22,0,22,22,0,0.00
3009,S,1,7,8,-2.4,-12.2,13,1,14,12,0,0.00
3131,S,1,86,92,-2.5,-3.7,-35,0,-35,-35,0,0.00
3177,S,1,-5,-4,-2.6,-3.0,20,0,20,20,0,0.00
3189,S,1,9,8,-2.9,-5.6,12,0,12,12,0,0.00
3225,S,1,8,9,-3.2,-8.3,12,0,12,12,0,0.00
3343,S,1,84,88,-3.1,-5.2,-33,0,-33,-33,0,0.00
3385,S,1,-10,-8,-3.4,-4.7,23,1,24,22,0,0.00
3409,S,1,7,6,-3.7,-9.4,13,1,14,12,0,0.00
3531,S,1,86,88,-3.7,-2.8,-34,0,-34,-34,0,0.00
3577,S,1,-7,-8,-3.8,-0.7,22,1,23,21,0,0.00
3589,S,1,9,8,-4.1,-4.5,12,0,12,12,0,0.00
3625,S,1,9,9,-4.3,-6.8,12,0,12,12,0,0.00
3743,S,1,91,93,-4.1,-3.6,-37,0,-37,-37,0,0.00
3785,S,1,-12,-10,-4.2,-2.4,24,1,25,23,0,0.00
3809,S,1,8,8,-4.5,-10.0,12,2,14,10,0,0.00
3931,S,1,94,92,-4.6,-3.0,-38,1,-37,-39,0,0.00
3977,S,1,-6,-10,-4.4,0.7,22,0,22,22,0,0.00
3989,S,1,9,7,-4.6,-1.9,12,1,13,11,0,0.00
4025,S,1,8,6,-4.7,-2.6,13,0,13,13,0,0.00
4143,S,1,71,74,-4.6,-1.5,-26,1,-25,-27,0,0.00
4185,S,1,-6,-5,-4.8,-1.8,20,1,21,19,0,0.00
4209,S,1,7,7,-5.1,-9.8,13,2,15,11,0,0.00
4331,S,1,56,61,-5.3,-3.3,-17,1,-16,-18,0,0.00
4377,S,1,-6,-6,-5.9,-9.1,21,2,23,19,0,0.00
4389,S,1,7,6,-6.3,-9.6,13,1,14,12,0,0.00
4425,S,1,14,11,-7.4,-32.8,9,4,13,5,0,0.00
4543,S,1,162,49,-8.3,-24.7,-45,2,-43,-47,0,0.00
4589,S,1,-13,-37,-13.9,-82.7,32,11,43,21,0,0.00
4593,S,1,-1,-3,-13.9,-34.9,18,3,21,15,0,0.00
4626,S,1,8,0,-17.9,-118.7,15,13,28,2,0,0.00
4744,S,1,328,19,-21.4,-89.4,-86,6,-60,-60,0,0.00
4791,S,1,19,-58,-28.7,-141.7,28,15,43,13,0,0.00
4794,S,1,0,-3,-32.0,-163.8,18,16,34,2,0,0.00
4826,S,1,14,-15,-35.9,-173.2,17,17,34,0,0,0.00
4974,S,1,418,-18,-53.9,-175.6,-100,20,-60,-60,0,0.00
4985,S,1,182,0,-61.5,-177.1,-37,20,-17,-57,0,0.00
5009,S,1,16,-26,-65.8,-178.8,20,20,40,0,0,0.00
5131,S,1,394,-52,-86.3,-179.7,-85,20,-60,-60,0,0.00
5162,S,1,50,-54,-93.9,-179.9,18,20,38,0,0,0.00
5190,S,1,15,-22,-98.9,-180.0,19,20,39,0,0,0.00
5225,S,1,32,-10,-103.3,-180.0,10,20,30,0,0,0.00
5343,S,1,434,-14,-121.3,-180.0,-100,20,-60,-60,0,0.00
5374,S,1,29,-56,-128.8,-180.0,24,20,44,4,0,0.00
5410,S,1,12,-33,-133.3,-180.0,23,20,43,3,0,0.00
5531,S,1,420,-15,-153.7,-180.0,-100,20,-60,-60,0,0.00
5577,S,1,45,-52,-161.0,-180.0,18,20,38,0,0,0.00
5589,S,1,-2,-23,-166.1,-180.0,24,20,44,4,0,0.00
5614,S,1,25,-10,-170.6,-180.0,12,20,32,0,0,0.00
5732,S,1,356,-13,171.4,-180.0,-86,-20,-60,-60,0,0.00
5778,S,1,11,-53,164.6,-174.0,29,-20,9,49,0,0.00
5790,S,1,-1,4,166.0,-53.5,15,-20,0,35,0,0.00
5826,S,1,-2,19,166.5,-4.3,11,-20,0,31,0,0.00
5944,S,1,1,246,166.3,-3.2,-57,-20,-60,-37,0,0.00
5986,S,1,-35,13,160.4,-70.5,22,-20,2,42,0,0.00
6010,S,1,-7,16,156.3,-133.7,13,-20,0,33,0,0.00
6131,S,1,-13,252,153.5,-51.9,-55,-20,-60,-35,0,0.00
6179,S,1,0,84,147.8,-118.2,-8,-20,-28,0,0,0.00
6206,S,1,0,33,142.2,-163.0,6,-20,0,26,0,0.00
