HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=107,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=127,m=S,run=1,el=2,er=1,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=147,m=S,run=1,el=2,er=1,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=167,m=S,run=1,el=2,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=187,m=S,run=1,el=3,er=3,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=393,m=S,run=1,el=93,er=98,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=517,m=S,run=1,el=69,er=69,yaw=-0.1,yr=-0.1,pc=2,hd=0,OL=2,OR=2
HB:t=525,m=S,run=1,el=9,er=9,yaw=-0.1,yr=-0.1,pc=2,hd=0,OL=2,OR=2
HB:t=545,m=S,run=1,el=7,er=8,yaw=-0.1,yr=-0.1,pc=2,hd=0,OL=2,OR=2
HB:t=565,m=S,run=1,el=7,er=7,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=585,m=S,run=1,el=7,er=7,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=77,er=78,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=803,m=S,run=1,el=58,er=59,yaw=-0.3,yr=-0.5,pc=5,hd=0,OL=5,OR=5
HB:t=910,m=S,run=1,el=69,er=69,yaw=-0.3,yr=-0.5,pc=5,hd=0,OL=5,OR=5
HB:t=930,m=S,run=1,el=6,er=7,yaw=-0.3,yr=-0.5,pc=6,hd=0,OL=6,OR=6
HB:t=950,m=S,run=1,el=6,er=7,yaw=-0.3,yr=-0.5,pc=6,hd=0,OL=6,OR=6
HB:t=970,m=S,run=1,el=7,er=6,yaw=-0.3,yr=-0.5,pc=7,hd=0,OL=7,OR=7
HB:t=990,m=S,run=1,el=7,er=7,yaw=-0.3,yr=-0.5,pc=7,hd=0,OL=7,OR=7
HB:t=1199,m=S,run=1,el=140,er=146,yaw=-0.8,yr=-1.2,pc=6,hd=1,OL=7,OR=5
HB:t=1320,m=S,run=1,el=80,er=81,yaw=-0.9,yr=-1.0,pc=6,hd=1,OL=7,OR=5
HB:t=1329,m=S,run=1,el=4,er=4,yaw=-0.9,yr=-1.0,pc=7,hd=1,OL=8,OR=6
HB:t=1349,m=S,run=1,el=7,er=7,yaw=-0.9,yr=-1.0,pc=7,hd=1,OL=8,OR=6
HB:t=1369,m=S,run=1,el=8,er=7,yaw=-0.9,yr=-1.0,pc=7,hd=1,OL=8,OR=6
HB:t=1389,m=S,run=1,el=8,er=8,yaw=-0.9,yr=-1.0,pc=8,hd=1,OL=9,OR=7
HB:t=1509,m=S,run=1,el=89,er=80,yaw=-0.9,yr=-1.0,pc=7,hd=1,OL=8,OR=6
HB:t=1606,m=S,run=1,el=69,er=63,yaw=-1.1,yr=-1.0,pc=7,hd=1,OL=8,OR=6
HB:t=1713,m=S,run=1,el=76,er=71,yaw=-1.1,yr=-1.0,pc=6,hd=1,OL=7,OR=5
HB:t=1733,m=S,run=1,el=7,er=7,yaw=-1.1,yr=-1.0,pc=7,hd=1,OL=8,OR=6
HB:t=1753,m=S,run=1,el=7,er=6,yaw=-1.1,yr=-1.0,pc=8,hd=1,OL=9,OR=7
HB:t=1773,m=S,run=1,el=7,er=6,yaw=-1.1,yr=-1.0,pc=8,hd=1,OL=9,OR=7
HB:t=1793,m=S,run=1,el=7,er=7,yaw=-1.1,yr=-1.0,pc=8,hd=1,OL=9,OR=7
HB:t=1923,m=S,run=1,el=88,er=84,yaw=-0.4,yr=0.6,pc=7,hd=0,OL=7,OR=7
HB:t=1943,m=S,run=1,el=7,er=7,yaw=-0.4,yr=0.6,pc=8,hd=0,OL=8,OR=8
HB:t=1963,m=S,run=1,el=8,er=7,yaw=-0.4,yr=0.6,pc=8,hd=0,OL=8,OR=8
HB:t=1983,m=S,run=1,el=7,er=7,yaw=-0.4,yr=0.6,pc=8,hd=0,OL=8,OR=8
HB:t=2003,m=S,run=1,el=8,er=7,yaw=-0.4,yr=0.6,pc=8,hd=0,OL=8,OR=8
HB:t=2169,m=S,run=1,el=83,er=79,yaw=-0.4,yr=0.4,pc=7,hd=0,OL=7,OR=7
HB:t=2169,m=S,run=1,el=45,er=41,yaw=-0.4,yr=0.4,pc=7,hd=0,OL=7,OR=7
HB:t=2189,m=S,run=1,el=8,er=7,yaw=-0.4,yr=0.4,pc=7,hd=0,OL=7,OR=7
HB:t=2312,m=S,run=1,el=79,er=74,yaw=-0.4,yr=0.4,pc=7,hd=0,OL=7,OR=7
HB:t=2332,m=S,run=1,el=8,er=6,yaw=-0.4,yr=0.4,pc=7,hd=0,OL=7,OR=7
HB:t=2352,m=S,run=1,el=7,er=7,yaw=-0.4,yr=0.4,pc=8,hd=0,OL=8,OR=8
HB:t=2455,m=S,run=1,el=64,er=61,yaw=1.2,yr=3.0,pc=7,hd=-3,OL=4,OR=10
HB:t=2561,m=S,run=1,el=81,er=82,yaw=1.2,yr=3.0,pc=7,hd=-3,OL=4,OR=10
HB:t=2581,m=S,run=1,el=8,er=8,yaw=1.2,yr=3.0,pc=7,hd=-3,OL=4,OR=10
HB:t=2601,m=S,run=1,el=9,er=9,yaw=1.2,yr=3.0,pc=7,hd=-3,OL=4,OR=10
HB:t=2621,m=S,run=1,el=9,er=9,yaw=1.2,yr=3.0,pc=7,hd=-3,OL=4,OR=10
HB:t=2641,m=S,run=1,el=8,er=8,yaw=1.2,yr=3.0,pc=7,hd=-3,OL=4,OR=10
HB:t=2839,m=S,run=1,el=171,er=172,yaw=1.9,yr=3.3,pc=5,hd=-3,OL=2,OR=8
HB:t=2982,m=S,run=1,el=97,er=96,yaw=1.8,yr=2.0,pc=5,hd=-3,OL=2,OR=8
HB:t=2982,m=S,run=1,el=17,er=17,yaw=1.8,yr=2.0,pc=6,hd=-2,OL=4,OR=8
HB:t=3002,m=S,run=1,el=8,er=8,yaw=1.8,yr=2.0,pc=7,hd=-2,OL=5,OR=9
HB:t=3022,m=S,run=1,el=8,er=7,yaw=1.8,yr=2.0,pc=7,hd=-2,OL=5,OR=9
HB:t=3042,m=S,run=1,el=8,er=7,yaw=1.8,yr=2.0,pc=7,hd=-2,OL=5,OR=9
HB:t=3161,m=S,run=1,el=89,er=84,yaw=1.8,yr=2.0,pc=7,hd=-2,OL=5,OR=9
HB:t=3180,m=S,run=1,el=7,er=8,yaw=1.8,yr=2.0,pc=7,hd=-2,OL=5,OR=9
HB:t=3269,m=S,run=1,el=72,er=69,yaw=1.9,yr=1.5,pc=7,hd=-2,OL=5,OR=9
HB:t=3376,m=S,run=1,el=87,er=83,yaw=1.9,yr=1.5,pc=6,hd=-2,OL=4,OR=8
HB:t=3396,m=S,run=1,el=8,er=8,yaw=1.9,yr=1.5,pc=7,hd=-2,OL=5,OR=9
HB:t=3416,m=S,run=1,el=8,er=8,yaw=1.9,yr=1.5,pc=7,hd=-2,OL=5,OR=9
HB:t=3436,m=S,run=1,el=8,er=8,yaw=1.9,yr=1.5,pc=7,hd=-2,OL=5,OR=9
HB:t=3456,m=S,run=1,el=9,er=8,yaw=1.9,yr=1.5,pc=7,hd=-2,OL=5,OR=9
HB:t=3643,m=S,run=1,el=142,er=145,yaw=2.5,yr=1.9,pc=6,hd=-2,OL=4,OR=8
HB:t=3663,m=S,run=1,el=9,er=8,yaw=2.5,yr=1.9,pc=7,hd=-2,OL=5,OR=9
HB:t=3861,m=S,run=1,el=87,er=87,yaw=2.5,yr=1.2,pc=6,hd=-2,OL=4,OR=8
HB:t=3862,m=S,run=1,el=70,er=67,yaw=2.5,yr=1.2,pc=6,hd=-1,OL=5,OR=7
HB:t=3975,m=S,run=1,el=86,er=83,yaw=2.5,yr=1.2,pc=6,hd=-1,OL=5,OR=7
HB:t=3995,m=S,run=1,el=8,er=8,yaw=2.5,yr=1.2,pc=7,hd=-1,OL=6,OR=8
HB:t=4015,m=S,run=1,el=8,er=8,yaw=2.5,yr=1.2,pc=7,hd=-1,OL=6,OR=8
HB:t=4035,m=S,run=1,el=8,er=7,yaw=2.5,yr=1.2,pc=7,hd=-1,OL=6,OR=8
HB:t=4055,m=S,run=1,el=8,er=8,yaw=2.5,yr=1.2,pc=8,hd=-1,OL=7,OR=9
HB:t=4160,m=S,run=1,el=84,er=84,yaw=2.8,yr=1.3,pc=7,hd=-2,OL=5,OR=9
HB:t=4266,m=S,run=1,el=86,er=85,yaw=2.8,yr=1.3,pc=6,hd=-2,OL=4,OR=8
HB:t=4286,m=S,run=1,el=8,er=8,yaw=2.8,yr=1.3,pc=7,hd=-2,OL=5,OR=9
HB:t=4306,m=S,run=1,el=8,er=8,yaw=2.8,yr=1.3,pc=7,hd=-2,OL=5,OR=9
HB:t=4326,m=S,run=1,el=8,er=8,yaw=2.8,yr=1.3,pc=7,hd=-2,OL=5,OR=9
HB:t=4346,m=S,run=1,el=9,er=8,yaw=2.8,yr=1.3,pc=7,hd=-2,OL=5,OR=9
HB:t=4477,m=S,run=1,el=98,er=92,yaw=2.8,yr=0.9,pc=6,hd=-1,OL=5,OR=7
HB:t=4497,m=S,run=1,el=8,er=7,yaw=2.8,yr=0.9,pc=7,hd=-1,OL=6,OR=8
HB:t=4517,m=S,run=1,el=8,er=7,yaw=2.8,yr=0.9,pc=7,hd=-1,OL=6,OR=8
HB:t=4537,m=S,run=1,el=7,er=7,yaw=2.8,yr=0.9,pc=8,hd=-1,OL=7,OR=9
HB:t=4557,m=S,run=1,el=8,er=7,yaw=2.8,yr=0.9,pc=8,hd=-1,OL=7,OR=9
HB:t=4753,m=S,run=1,el=86,er=85,yaw=3.2,yr=1.1,pc=7,hd=-1,OL=6,OR=8
HB:t=4753,m=S,run=1,el=68,er=67,yaw=3.2,yr=1.1,pc=7,hd=-2,OL=5,OR=9
HB:t=4866,m=S,run=1,el=87,er=90,yaw=3.2,yr=1.1,pc=6,hd=-2,OL=4,OR=8
HB:t=4886,m=S,run=1,el=8,er=8,yaw=3.2,yr=1.1,pc=7,hd=-2,OL=5,OR=9
HB:t=4906,m=S,run=1,el=7,er=7,yaw=3.2,yr=1.1,pc=7,hd=-2,OL=5,OR=9
HB:t=4926,m=S,run=1,el=8,er=9,yaw=3.2,yr=1.1,pc=7,hd=-2,OL=5,OR=9
HB:t=4946,m=S,run=1,el=8,er=8,yaw=3.2,yr=1.1,pc=7,hd=-2,OL=5,OR=9
HB:t=5043,m=S,run=1,el=78,er=77,yaw=3.7,yr=1.5,pc=7,hd=-2,OL=5,OR=9
HB:t=5149,m=S,run=1,el=88,er=87,yaw=3.7,yr=1.5,pc=6,hd=-2,OL=4,OR=8
