t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
106,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
126,S,1,2,2,0.0,0.0,1,0,1,1,0,0.00
146,S,1,3,4,0.0,0.0,1,0,1,1,0,0.00
166,S,1,2,1,0.0,0.0,1,0,1,1,0,0.00
186,S,1,2,2,0.0,0.0,2,0,2,2,0,0.00
317,S,1,44,46,0.0,0.0,2,0,2,2,0,0.00
337,S,1,5,5,0.0,0.0,2,0,2,2,0,0.00
357,S,1,5,5,0.0,0.0,2,0,2,2,0,0.00
377,S,1,5,6,0.0,0.0,3,0,3,3,0,0.00
397,S,1,5,5,0.0,0.0,3,0,3,3,0,0.00
592,S,1,64,72,0.1,0.1,3,0,3,3,0,0.00
593,S,1,56,62,0.1,0.1,3,0,3,3,0,0.00
706,S,1,80,87,0.1,0.1,3,0,3,3,0,0.00
726,S,1,7,8,0.1,0.1,4,0,4,4,0,0.00
746,S,1,8,8,0.1,0.1,5,0,5,5,0,0.00
766,S,1,8,8,0.1,0.1,5,0,5,5,0,0.00
786,S,1,7,9,0.1,0.1,5,0,5,5,0,0.00
881,S,1,67,76,-2.4,-4.3,6,5,11,1,0,0.00
988,S,1,92,90,-2.4,-4.3,6,5,11,1,0,0.00
1008,S,1,10,9,-2.4,-4.3,7,5,12,2,0,0.00
1028,S,1,9,9,-2.4,-4.3,7,5,12,2,0,0.00
1048,S,1,11,9,-2.4,-4.3,7,5,12,2,0,0.00
1068,S,1,11,9,-2.4,-4.3,8,5,13,3,0,0.00
1198,S,1,151,113,-2.7,-3.2,7,4,11,3,0,0.00
1218,S,1,13,9,-2.7,-3.2,8,4,12,4,0,0.00
1238,S,1,13,9,-2.7,-3.2,8,4,12,4,0,0.00
1258,S,1,13,9,-2.7,-3.2,8,4,12,4,0,0.00
1278,S,1,13,9,-2.7,-3.2,8,4,12,4,0,0.00
1444,S,1,144,105,-2.8,-2.2,7,4,11,3,0,0.00
1445,S,1,69,52,-2.8,-2.2,7,3,10,4,0,0.00
