t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
106,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
126,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
146,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
166,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
186,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
304,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
324,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
344,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
364,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
384,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
504,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
524,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
544,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
564,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
584,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
704,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
724,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
744,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
764,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
784,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
904,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
924,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
944,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
964,S,1,0,0,0.0,0.0,6,0,6,6,0,0.00
984,S,1,0,0,0.0,0.0,6,0,6,6,0,0.00
1104,S,1,0,0,0.0,0.0,6,0,6,6,0,0.00
1124,S,1,0,0,0.0,0.0,6,0,6,6,0,0.00
1144,S,1,0,0,0.0,0.0,6,0,6,6,0,0.00
1164,S,1,0,0,0.0,0.0,6,0,6,6,0,0.00
1184,S,1,0,0,0.0,0.0,6,0,6,6,0,0.00
1304,S,1,0,0,0.0,0.0,7,0,7,7,0,0.00
1324,S,1,0,0,0.0,0.0,7,0,7,7,0,0.00
1344,S,1,0,0,0.0,0.0,7,0,7,7,0,0.00
1364,S,1,0,0,0.0,0.0,7,0,7,7,0,0.00
1384,S,1,0,0,0.0,0.0,7,0,7,7,0,0.00
1504,S,1,0,0,0.0,0.0,7,0,7,7,0,0.00
1524,S,1,0,0,0.0,0.0,7,0,7,7,0,0.00
1544,S,1,0,0,0.0,0.0,7,0,7,7,0,0.00
1564,S,1,0,0,0.0,0.0,8,0,8,8,0,0.00
1584,S,1,0,0,0.0,0.0,8,0,8,8,0,0.00
