t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
107,S,1,35,23,0.0,0.0,4,0,4,4,0,0.00
127,S,1,5,4,0.0,0.0,6,0,6,6,0,0.00
147,S,1,5,5,0.0,0.0,6,0,6,6,0,0.00
167,S,1,6,5,0.0,0.0,6,0,6,6,0,0.00
187,S,1,6,5,0.0,0.0,6,0,6,6,0,0.00
306,S,1,75,69,0.0,0.0,4,0,4,4,0,0.00
325,S,1,12,12,0.0,0.0,54,0,54,54,0,0.00
345,S,1,29,27,0.0,0.0,37,0,37,37,0,0.00
365,S,1,31,30,0.0,0.0,24,0,24,24,0,0.00
385,S,1,27,24,0.0,0.0,19,0,19,19,0,0.00
506,S,1,247,238,0.0,0.0,8,0,8,8,0,0.00
525,S,1,26,25,0.0,0.0,60,0,60,60,0,0.00
545,S,1,40,41,0.0,0.0,60,0,60,60,0,0.00
565,S,1,49,49,0.0,0.0,60,0,60,60,0,0.00
585,S,1,54,53,0.0,0.0,60,0,60,60,0,0.00
706,S,1,625,632,0.0,0.0,23,0,23,23,0,0.00
725,S,1,59,59,0.0,0.0,60,0,60,60,0,0.00
745,S,1,63,64,0.0,0.0,60,0,60,60,0,0.00
765,S,1,66,66,0.0,0.0,60,0,60,60,0,0.00
785,S,1,68,73,0.0,0.0,60,0,60,60,0,0.00
906,S,1,810,819,0.0,0.0,60,0,60,60,0,0.00
925,S,1,75,77,0.0,0.0,60,0,60,60,0,0.00
945,S,1,78,80,0.0,0.0,60,0,60,60,0,0.00
965,S,1,77,79,0.0,0.0,60,0,60,60,0,0.00
985,S,1,79,79,0.0,0.0,60,0,60,60,0,0.00
1106,S,1,883,901,0.0,0.0,60,0,60,60,0,0.00
1125,S,1,78,81,0.0,0.0,60,0,60,60,0,0.00
1145,S,1,81,83,0.0,0.0,60,0,60,60,0,0.00
1165,S,1,82,84,0.0,0.0,60,0,60,60,0,0.00
1185,S,1,81,84,0.0,0.0,60,0,60,60,0,0.00
1306,S,1,902,948,0.0,0.0,60,0,60,60,0,0.00
1325,S,1,81,85,0.0,0.0,60,0,60,60,0,0.00
1345,S,1,81,88,0.0,0.0,60,0,60,60,0,0.00
1365,S,1,82,87,0.0,0.0,60,0,60,60,0,0.00
1385,S,1,83,86,0.0,0.0,60,0,60,60,0,0.00
1506,S,1,902,953,0.0,0.0,60,0,60,60,0,0.00
1525,S,1,79,84,0.0,0.0,60,0,60,60,0,0.00
1545,S,1,82,87,0.0,0.0,60,0,60,60,0,0.00
1565,S,1,82,88,0.0,0.0,60,0,60,60,0,0.00
1585,S,1,81,87,0.0,0.0,60,0,60,60,0,0.00
1706,S,1,899,954,0.0,0.0,60,0,60,60,0,0.00
1725,S,1,80,86,0.0,0.0,60,0,60,60,0,0.00
1745,S,1,80,85,0.0,0.0,60,0,60,60,0,0.00
1765,S,1,81,87,0.0,0.0,60,0,60,60,0,0.00
1785,S,1,83,88,0.0,0.0,60,0,60,60,0,0.00
1906,S,1,896,954,0.0,0.0,60,0,60,60,0,0.00
1925,S,1,79,84,0.0,0.0,60,0,60,60,0,0.00
1945,S,1,82,86,0.0,0.0,60,0,60,60,0,0.00
1965,S,1,82,87,0.0,0.0,60,0,60,60,0,0.00
1985,S,1,82,86,0.0,0.0,60,0,60,60,0,0.00
2106,S,1,894,955,0.0,0.0,60,0,60,60,0,0.00
2125,S,1,80,84,0.0,0.0,60,0,60,60,0,0.00
2145,S,1,80,87,0.0,0.0,60,0,60,60,0,0.00
2165,S,1,81,86,0.0,0.0,60,0,60,60,0,0.00
2185,S,1,82,87,0.0,0.0,60,0,60,60,0,0.00
2306,S,1,898,952,0.0,0.0,60,0,60,60,0,0.00
2325,S,1,79,85,0.0,0.0,60,0,60,60,0,0.00
2345,S,1,82,87,0.0,0.0,60,0,60,60,0,0.00
2365,S,1,81,87,0.0,0.0,60,0,60,60,0,0.00
2385,S,1,82,86,0.0,0.0,60,0,60,60,0,0.00
2506,S,1,893,951,0.0,0.0,60,0,60,60,0,0.00
2525,S,1,83,86,0.0,0.0,60,0,60,60,0,0.00
2545,S,1,81,86,0.0,0.0,60,0,60,60,0,0.00
2565,S,1,79,87,0.0,0.0,60,0,60,60,0,0.00
2585,S,1,81,88,0.0,0.0,60,0,60,60,0,0.00
2706,S,1,880,951,0.0,0.0,60,0,60,60,0,0.00
2725,S,1,78,85,0.0,0.0,60,0,60,60,0,0.00
2745,S,1,80,87,0.0,0.0,60,0,60,60,0,0.00
2765,S,1,79,86,0.0,0.0,60,0,60,60,0,0.00
2785,S,1,79,87,0.0,0.0,60,0,60,60,0,0.00
2906,S,1,879,953,0.0,0.0,60,0,60,60,0,0.00
2925,S,1,78,84,0.0,0.0,60,0,60,60,0,0.00
2945,S,1,79,87,0.0,0.0,60,0,60,60,0,0.00
2965,S,1,80,86,0.0,0.0,60,0,60,60,0,0.00
2985,S,1,81,87,0.0,0.0,60,0,60,60,0,0.00
3106,S,1,881,954,0.0,0.0,60,0,60,60,0,0.00
3125,S,1,79,84,0.0,0.0,60,0,60,60,0,0.00
3145,S,1,81,86,0.0,0.0,60,0,60,60,0,0.00
3165,S,1,80,87,0.0,0.0,60,0,60,60,0,0.00
3185,S,1,80,85,0.0,0.0,60,0,60,60,0,0.00
3306,S,1,886,953,0.0,0.0,60,0,60,60,0,0.00
3325,S,1,79,85,0.0,0.0,60,0,60,60,0,0.00
3345,S,1,80,87,0.0,0.0,60,0,60,60,0,0.00
3365,S,1,81,87,0.0,0.0,60,0,60,60,0,0.00
3385,S,1,82,87,0.0,0.0,60,0,60,60,0,0.00
3506,S,1,891,953,0.0,0.0,60,0,60,60,0,0.00
3525,S,1,77,81,0.0,0.0,60,0,60,60,0,0.00
3545,S,1,77,77,0.0,0.0,60,0,60,60,0,0.00
3565,S,1,79,80,0.0,0.0,60,0,60,60,0,0.00
3585,S,1,82,82,0.0,0.0,60,0,60,60,0,0.00
3706,S,1,714,663,0.0,0.0,60,0,60,60,0,0.00
3725,S,1,64,61,0.0,0.0,60,0,60,60,0,0.00
3745,S,1,65,63,0.0,0.0,60,0,60,60,0,0.00
3765,S,1,63,63,0.0,0.0,60,0,60,60,0,0.00
3785,S,1,63,63,0.0,0.0,60,0,60,60,0,0.00
3906,S,1,684,665,0.0,0.0,60,0,60,60,0,0.00
3925,S,1,60,61,0.0,0.0,60,0,60,60,0,0.00
3945,S,1,61,63,0.0,0.0,60,0,60,60,0,0.00
3965,S,1,61,62,0.0,0.0,60,0,60,60,0,0.00
3985,S,1,62,62,0.0,0.0,60,0,60,60,0,0.00
4106,S,1,675,679,0.0,0.0,60,0,60,60,0,0.00
4125,S,1,60,62,0.0,0.0,60,0,60,60,0,0.00
4145,S,1,61,63,0.0,0.0,60,0,60,60,0,0.00
4165,S,1,61,61,0.0,0.0,60,0,60,60,0,0.00
4185,S,1,62,61,0.0,0.0,60,0,60,60,0,0.00
4306,S,1,669,689,0.0,0.0,60,0,60,60,0,0.00
4325,S,1,60,62,0.0,0.0,60,0,60,60,0,0.00
4345,S,1,62,62,0.0,0.0,60,0,60,60,0,0.00
4365,S,1,61,61,0.0,0.0,60,0,60,60,0,0.00
4385,S,1,62,61,0.0,0.0,60,0,60,60,0,0.00
4506,S,1,670,694,0.0,0.0,60,0,60,60,0,0.00
4525,S,1,60,60,0.0,0.0,60,0,60,60,0,0.00
4545,S,1,62,62,0.0,0.0,60,0,60,60,0,0.00
4565,S,1,62,61,0.0,0.0,60,0,60,60,0,0.00
4585,S,1,61,63,0.0,0.0,60,0,60,60,0,0.00
4706,S,1,669,689,0.0,0.0,60,0,60,60,0,0.00
4725,S,1,61,60,0.0,0.0,60,0,60,60,0,0.00
4745,S,1,62,63,0.0,0.0,60,0,60,60,0,0.00
4765,S,1,61,63,0.0,0.0,60,0,60,60,0,0.00
4785,S,1,60,63,0.0,0.0,60,0,60,60,0,0.00
4906,S,1,672,683,0.0,0.0,60,0,60,60,0,0.00
4925,S,1,60,62,0.0,0.0,60,0,60,60,0,0.00
4945,S,1,61,63,0.0,0.0,60,0,60,60,0,0.00
4965,S,1,61,64,0.0,0.0,60,0,60,60,0,0.00
4985,S,1,60,63,0.0,0.0,60,0,60,60,0,0.00
