t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
106,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
126,S,1,1,0,0.0,0.0,1,0,1,1,0,0.00
146,S,1,2,4,0.0,0.0,1,0,1,1,0,0.00
166,S,1,2,1,0.0,0.0,1,0,1,1,0,0.00
186,S,1,3,4,0.0,0.0,2,0,2,2,0,0.00
322,S,1,58,62,0.0,0.0,2,0,2,2,0,0.00
342,S,1,6,6,0.0,0.0,2,0,2,2,0,0.00
362,S,1,6,6,0.0,0.0,2,0,2,2,0,0.00
382,S,1,6,7,0.0,0.0,2,0,2,2,0,0.00
592,S,1,72,73,-0.0,-0.0,3,0,3,3,0,0.00
592,S,1,60,59,-0.0,-0.0,3,0,3,3,0,0.00
706,S,1,75,74,-0.0,-0.0,4,0,4,4,0,0.00
726,S,1,7,6,-0.0,-0.0,5,0,5,5,0,0.00
746,S,1,6,6,-0.0,-0.0,5,0,5,5,0,0.00
766,S,1,6,7,-0.0,-0.0,6,0,6,6,0,0.00
786,S,1,6,7,-0.0,-0.0,6,0,6,6,0,0.00
807,S,1,13,13,-0.4,-0.6,7,0,7,7,0,0.00
914,S,1,75,74,-0.4,-0.6,7,0,7,7,0,0.00
934,S,1,7,7,-0.4,-0.6,7,0,7,7,0,0.00
954,S,1,7,7,-0.4,-0.6,8,0,8,8,0,0.00
974,S,1,7,7,-0.4,-0.6,8,0,8,8,0,0.00
994,S,1,8,7,-0.4,-0.6,8,0,8,8,0,0.00
1200,S,1,135,140,-0.2,-0.2,6,0,6,6,0,0.00
1328,S,1,74,77,-0.4,-0.4,6,0,6,6,0,0.00
1333,S,1,12,12,-0.4,-0.4,7,0,7,7,0,0.00
1353,S,1,7,7,-0.4,-0.4,7,0,7,7,0,0.00
1373,S,1,7,7,-0.4,-0.4,7,0,7,7,0,0.00
1393,S,1,7,8,-0.4,-0.4,8,0,8,8,0,0.00
1513,S,1,76,78,-0.4,-0.4,7,0,7,7,0,0.00
1590,S,1,48,48,-0.5,-0.4,7,0,7,7,0,0.00
