t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
86,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
193,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
321,S,1,37,31,-0.0,-0.0,1,0,1,1,0,0.00
324,S,1,7,7,-0.0,-0.0,1,0,1,1,0,0.00
344,S,1,3,3,-0.0,-0.0,0,0,0,0,0,0.00
364,S,1,2,1,-0.0,-0.0,1,0,1,1,0,0.00
384,S,1,5,4,-0.0,-0.0,1,0,1,1,0,0.00
505,S,1,47,35,-0.0,-0.0,2,0,2,2,0,0.00
608,S,1,50,33,-0.0,-0.0,6,0,6,6,0,0.00
714,S,1,67,37,-0.0,-0.0,6,0,6,6,0,0.00
734,S,1,6,4,-0.0,-0.0,8,0,8,8,0,0.00
754,S,1,7,4,-0.0,-0.0,8,0,8,8,0,0.00
774,S,1,7,4,-0.0,-0.0,7,0,7,7,0,0.00
794,S,1,8,4,-0.0,-0.0,7,0,7,7,0,0.00
930,S,1,96,51,1.7,3.0,6,-2,4,8,0,0.00
950,S,1,7,4,1.7,3.0,8,0,8,8,0,0.00
970,S,1,7,4,1.7,3.0,8,0,8,8,0,0.00
990,S,1,7,4,1.7,3.0,9,0,9,9,0,0.00
1171,S,1,83,52,2.3,2.6,8,0,8,8,0,0.00
1171,S,1,46,28,2.3,2.6,8,-1,7,9,0,0.00
1191,S,1,8,5,2.3,2.6,8,0,8,8,0,0.00
1314,S,1,87,58,2.3,2.6,8,0,8,8,0,0.00
1333,S,1,9,7,2.3,2.6,12,0,12,12,0,0.00
1353,S,1,10,7,2.3,2.6,10,0,10,10,0,0.00
1400,S,1,36,24,6.7,9.4,9,-8,1,17,0,0.00
1514,S,1,108,79,6.7,9.4,7,-1,6,8,0,0.00
1533,S,1,10,8,6.7,9.4,11,-1,10,12,0,0.00
1553,S,1,11,7,6.7,9.4,10,-1,9,11,0,0.00
1573,S,1,10,8,6.7,9.4,9,-1,8,10,0,0.00
1593,S,1,10,8,6.7,9.4,9,-1,8,10,0,0.00
1687,S,1,90,65,17.3,24.7,8,-14,0,22,0,0.00
1793,S,1,49,124,17.3,24.7,7,-4,3,11,0,0.00
1813,S,1,4,13,17.3,24.7,12,-4,8,16,0,0.00
1833,S,1,7,13,17.3,24.7,11,-4,7,15,0,0.00
1853,S,1,7,14,17.3,24.7,10,-4,6,14,0,0.00
1873,S,1,6,14,17.3,24.7,9,-4,5,13,0,0.00
2009,S,1,88,171,22.0,24.4,7,-10,0,17,0,0.00
2029,S,1,6,14,22.0,24.4,9,-5,4,14,0,0.00
2049,S,1,7,15,22.0,24.4,9,-5,4,14,0,0.00
2069,S,1,8,15,22.0,24.4,8,-5,3,13,0,0.00
2280,S,1,81,160,14.0,6.1,6,-5,1,11,0,0.00
2280,S,1,64,123,14.0,6.1,6,4,10,2,0,0.00
2393,S,1,68,137,14.0,6.1,8,-3,5,11,0,0.00
2413,S,1,7,13,14.0,6.1,14,-3,11,17,0,0.00
2433,S,1,7,14,14.0,6.1,13,-3,10,16,0,0.00
2453,S,1,8,15,14.0,6.1,12,-3,9,15,0,0.00
2473,S,1,8,15,14.0,6.1,11,-3,8,14,0,0.00
2597,S,1,178,74,-1.7,-23.4,7,0,7,7,0,0.00
2617,S,1,16,5,-1.7,-23.4,10,0,10,10,0,0.00
2637,S,1,15,8,-1.7,-23.4,10,0,10,10,0,0.00
