t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
87,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
193,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
321,S,1,28,23,0.0,0.0,1,0,1,1,0,0.00
324,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
344,S,1,2,2,0.0,0.0,2,0,2,2,0,0.00
364,S,1,3,2,0.0,0.0,2,0,2,2,0,0.00
384,S,1,4,3,0.0,0.0,2,0,2,2,0,0.00
505,S,1,45,25,0.0,0.0,3,0,3,3,0,0.00
583,S,1,37,17,0.0,0.0,3,0,3,3,0,0.00
705,S,1,68,26,0.0,0.0,4,0,4,4,0,0.00
724,S,1,7,2,0.0,0.0,5,0,5,5,0,0.00
744,S,1,6,2,0.0,0.0,5,0,5,5,0,0.00
764,S,1,6,2,0.0,0.0,6,0,6,6,0,0.00
808,S,1,18,5,0.3,0.4,6,0,6,6,0,0.00
915,S,1,75,24,0.3,0.4,6,0,6,6,0,0.00
935,S,1,7,3,0.3,0.4,7,0,7,7,0,0.00
955,S,1,7,3,0.3,0.4,8,0,8,8,0,0.00
975,S,1,7,3,0.3,0.4,8,0,8,8,0,0.00
995,S,1,8,2,0.3,0.4,8,0,8,8,0,0.00
1201,S,1,159,59,8.2,14.1,7,-2,5,9,0,0.00
1330,S,1,122,79,15.8,21.4,11,-2,9,13,0,0.00
1333,S,1,3,2,15.8,21.4,14,-4,10,18,0,0.00
1353,S,1,12,10,15.8,21.4,11,-4,7,15,0,0.00
1373,S,1,11,10,15.8,21.4,10,-4,6,14,0,0.00
1393,S,1,12,11,15.8,21.4,9,-4,5,13,0,0.00
1514,S,1,122,119,15.8,21.4,7,-4,3,11,0,0.00
1617,S,1,97,99,23.5,27.4,7,-7,0,14,0,0.00
1724,S,1,53,120,23.5,27.4,6,-7,0,13,0,0.00
1744,S,1,3,11,23.5,27.4,9,-7,2,16,0,0.00
1764,S,1,6,12,23.5,27.4,9,-7,2,16,0,0.00
1784,S,1,6,13,23.5,27.4,8,-7,1,15,0,0.00
1804,S,1,5,13,23.5,27.4,8,-7,1,15,0,0.00
1934,S,1,86,182,24.3,19.2,6,-7,0,13,0,0.00
1954,S,1,4,15,24.3,19.2,7,-7,0,14,0,0.00
1974,S,1,3,16,24.3,19.2,8,-7,1,15,0,0.00
1994,S,1,6,16,24.3,19.2,8,-7,1,15,0,0.00
2014,S,1,6,15,24.3,19.2,7,-7,0,14,0,0.00
2210,S,1,15,159,15.8,2.4,6,-7,0,13,0,0.00
2210,S,1,1,116,15.8,2.4,7,-4,3,11,0,0.00
2323,S,1,36,169,15.8,2.4,10,-4,6,14,0,0.00
2343,S,1,4,17,15.8,2.4,9,-4,5,13,0,0.00
2363,S,1,4,17,15.8,2.4,9,-4,5,13,0,0.00
2383,S,1,4,16,15.8,2.4,9,-4,5,13,0,0.00
2403,S,1,3,17,15.8,2.4,8,-4,4,12,0,0.00
2426,S,1,9,37,-7.3,-38.9,8,2,10,6,0,0.00
2533,S,1,48,130,-7.3,-38.9,7,2,9,5,0,0.00
2552,S,1,7,12,-7.3,-38.9,17,2,19,15,0,0.00
2572,S,1,7,14,-7.3,-38.9,14,2,16,12,0,0.00
2592,S,1,7,12,-7.3,-38.9,12,2,14,10,0,0.00
2612,S,1,8,12,-7.3,-38.9,11,2,13,9,0,0.00
2818,S,1,200,198,-25.9,-57.8,6,7,13,0,0,0.00
3031,S,1,140,99,-31.2,-46.1,7,7,14,0,0,0.00
3031,S,1,141,37,-31.2,-46.1,7,9,16,0,0,0.00
3138,S,1,160,2,-31.2,-46.1,7,9,16,0,0,0.00
3158,S,1,17,1,-31.2,-46.1,10,9,19,1,0,0.00
3178,S,1,18,5,-31.2,-46.1,9,9,18,0,0,0.00
3198,S,1,18,1,-31.2,-46.1,9,9,18,0,0,0.00
3218,S,1,19,0,-31.2,-46.1,9,9,18,0,0,0.00
3348,S,1,250,0,-27.7,-23.7,7,8,15,0,0,0.00
3368,S,1,19,0,-27.7,-23.7,8,8,16,0,0,0.00
3388,S,1,20,1,-27.7,-23.7,8,8,16,0,0,0.00
3408,S,1,20,0,-27.7,-23.7,8,8,16,0,0,0.00
3428,S,1,20,0,-27.7,-23.7,8,8,16,0,0,0.00
3624,S,1,222,0,-6.3,9.9,7,8,15,0,0,0.00
3625,S,1,167,0,-6.3,9.9,6,1,7,5,0,0.00
3737,S,1,156,19,-6.3,9.9,6,1,7,5,0,0.00
3757,S,1,12,3,-6.3,9.9,8,1,9,7,0,0.00
3777,S,1,12,3,-6.3,9.9,9,1,10,8,0,0.00
3797,S,1,12,4,-6.3,9.9,9,1,10,8,0,0.00
3817,S,1,11,4,-6.3,9.9,9,1,10,8,0,0.00
3941,S,1,104,84,29.7,69.4,7,-8,0,15,0,0.00
