HB:t=106,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=126,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=146,m=S,run=1,el=3,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=166,m=S,run=1,el=2,er=4,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=2,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=340,m=S,run=1,el=57,er=68,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=360,m=S,run=1,el=5,er=5,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=380,m=S,run=1,el=5,er=6,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=400,m=S,run=1,el=5,er=6,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=559,m=S,run=1,el=65,er=76,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=559,m=S,run=1,el=34,er=40,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=579,m=S,run=1,el=7,er=7,yaw=-0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=599,m=S,run=1,el=7,er=8,yaw=-0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=72,er=83,yaw=-0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=726,m=S,run=1,el=6,er=7,yaw=-0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=746,m=S,run=1,el=7,er=7,yaw=-0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=793,m=S,run=1,el=25,er=28,yaw=-0.2,yr=-0.3,pc=5,hd=0,OL=5,OR=5
HB:t=906,m=S,run=1,el=71,er=77,yaw=-0.2,yr=-0.3,pc=6,hd=0,OL=6,OR=6
HB:t=925,m=S,run=1,el=6,er=7,yaw=-0.2,yr=-0.3,pc=7,hd=0,OL=7,OR=7
HB:t=945,m=S,run=1,el=7,er=7,yaw=-0.2,yr=-0.3,pc=7,hd=0,OL=7,OR=7
HB:t=965,m=S,run=1,el=6,er=7,yaw=-0.2,yr=-0.3,pc=7,hd=0,OL=7,OR=7
HB:t=985,m=S,run=1,el=6,er=7,yaw=-0.2,yr=-0.3,pc=8,hd=0,OL=8,OR=8
HB:t=1045,m=S,run=1,el=36,er=40,yaw=-2.0,yr=-3.4,pc=8,hd=0,OL=8,OR=8
HB:t=1152,m=S,run=1,el=64,er=69,yaw=-2.0,yr=-3.4,pc=7,hd=0,OL=7,OR=7
HB:t=1172,m=S,run=1,el=6,er=7,yaw=-2.0,yr=-3.4,pc=8,hd=0,OL=8,OR=8
HB:t=1192,m=S,run=1,el=6,er=6,yaw=-2.0,yr=-3.4,pc=8,hd=0,OL=8,OR=8
HB:t=1212,m=S,run=1,el=6,er=6,yaw=-2.0,yr=-3.4,pc=8,hd=0,OL=8,OR=8
HB:t=1232,m=S,run=1,el=6,er=6,yaw=-2.0,yr=-3.4,pc=8,hd=0,OL=8,OR=8
HB:t=1385,m=S,run=1,el=91,er=100,yaw=-3.4,yr=-4.6,pc=7,hd=1,OL=8,OR=6
HB:t=1404,m=S,run=1,el=7,er=7,yaw=-3.4,yr=-4.6,pc=8,hd=1,OL=9,OR=7
HB:t=1424,m=S,run=1,el=7,er=7,yaw=-3.4,yr=-4.6,pc=8,hd=1,OL=9,OR=7
HB:t=1444,m=S,run=1,el=7,er=7,yaw=-3.4,yr=-4.6,pc=8,hd=1,OL=9,OR=7
HB:t=1638,m=S,run=1,el=84,er=88,yaw=-5.0,yr=-5.0,pc=7,hd=1,OL=8,OR=6
HB:t=1638,m=S,run=1,el=63,er=68,yaw=-5.0,yr=-5.0,pc=7,hd=1,OL=8,OR=6
HB:t=1751,m=S,run=1,el=75,er=83,yaw=-5.0,yr=-5.0,pc=6,hd=1,OL=7,OR=5
HB:t=1771,m=S,run=1,el=7,er=7,yaw=-5.0,yr=-5.0,pc=7,hd=1,OL=8,OR=6
HB:t=1791,m=S,run=1,el=7,er=6,yaw=-5.0,yr=-5.0,pc=7,hd=1,OL=8,OR=6
HB:t=1811,m=S,run=1,el=7,er=7,yaw=-5.0,yr=-5.0,pc=8,hd=1,OL=9,OR=7
HB:t=1831,m=S,run=1,el=7,er=8,yaw=-5.0,yr=-5.0,pc=8,hd=1,OL=9,OR=7
HB:t=1854,m=S,run=1,el=13,er=13,yaw=-6.1,yr=-5.3,pc=8,hd=1,OL=9,OR=7
HB:t=1960,m=S,run=1,el=74,er=80,yaw=-6.1,yr=-5.3,pc=7,hd=1,OL=8,OR=6
HB:t=1980,m=S,run=1,el=6,er=7,yaw=-6.1,yr=-5.3,pc=7,hd=1,OL=8,OR=6
HB:t=2000,m=S,run=1,el=8,er=8,yaw=-6.1,yr=-5.3,pc=8,hd=1,OL=9,OR=7
HB:t=2020,m=S,run=1,el=7,er=8,yaw=-6.1,yr=-5.3,pc=8,hd=1,OL=9,OR=7
HB:t=2040,m=S,run=1,el=8,er=7,yaw=-6.1,yr=-5.3,pc=8,hd=1,OL=9,OR=7
HB:t=2246,m=S,run=1,el=159,er=166,yaw=-6.9,yr=-4.8,pc=5,hd=2,OL=7,OR=3
HB:t=2371,m=S,run=1,el=85,er=89,yaw=-7.7,yr=-4.3,pc=5,hd=2,OL=7,OR=3
HB:t=2379,m=S,run=1,el=2,er=3,yaw=-7.7,yr=-4.3,pc=7,hd=2,OL=9,OR=5
HB:t=2399,m=S,run=1,el=7,er=8,yaw=-7.7,yr=-4.3,pc=7,hd=2,OL=9,OR=5
HB:t=2419,m=S,run=1,el=7,er=7,yaw=-7.7,yr=-4.3,pc=7,hd=2,OL=9,OR=5
HB:t=2439,m=S,run=1,el=7,er=7,yaw=-7.7,yr=-4.3,pc=8,hd=2,OL=10,OR=6
