t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
73,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
179,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
199,S,1,2,2,0.0,0.0,1,0,1,1,0,0.00
413,S,1,37,38,0.4,0.7,1,0,1,1,0,0.00
413,S,1,51,36,0.4,0.7,1,0,1,1,0,0.00
520,S,1,59,36,0.4,0.7,2,0,2,2,0,0.00
540,S,1,6,4,0.4,0.7,2,0,2,2,0,0.00
560,S,1,6,3,0.4,0.7,3,0,3,3,0,0.00
580,S,1,6,3,0.4,0.7,3,0,3,3,0,0.00
600,S,1,7,3,0.4,0.7,3,0,3,3,0,0.00
730,S,1,88,47,0.9,1.3,4,-1,3,5,0,0.00
750,S,1,8,4,0.9,1.3,4,-1,3,5,0,0.00
770,S,1,8,4,0.9,1.3,4,-1,3,5,0,0.00
790,S,1,9,4,0.9,1.3,5,-1,4,6,0,0.00
810,S,1,8,4,0.9,1.3,5,-1,4,6,0,0.00
1006,S,1,87,44,4.7,5.4,5,-1,4,6,0,0.00
1006,S,1,74,43,4.7,5.4,6,-6,0,12,0,0.00
1119,S,1,34,69,4.7,5.4,7,-6,1,13,0,0.00
1139,S,1,3,7,4.7,5.4,8,-6,2,14,0,0.00
1159,S,1,6,8,4.7,5.4,8,-6,2,14,0,0.00
1179,S,1,5,9,4.7,5.4,8,-6,2,14,0,0.00
1199,S,1,6,9,4.7,5.4,8,-6,2,14,0,0.00
1300,S,1,77,111,9.6,12.0,7,-14,0,21,0,0.00
1407,S,1,40,180,9.6,12.0,6,-14,0,20,0,0.00
1426,S,1,2,20,9.6,12.0,6,-14,0,20,0,0.00
1446,S,1,1,20,9.6,12.0,7,-14,0,21,0,0.00
1466,S,1,0,21,9.6,12.0,7,-14,0,21,0,0.00
1486,S,1,0,21,9.6,12.0,7,-14,0,21,0,0.00
1617,S,1,0,280,8.4,5.7,5,-7,0,12,0,0.00
1637,S,1,0,21,8.4,5.7,6,-7,0,13,0,0.00
1657,S,1,0,19,8.4,5.7,6,-7,0,13,0,0.00
1677,S,1,0,19,8.4,5.7,7,-7,0,14,0,0.00
1697,S,1,0,20,8.4,5.7,7,-7,0,14,0,0.00
1893,S,1,0,207,-11.4,-19.8,6,-7,0,13,0,0.00
1893,S,1,0,139,-11.4,-19.8,6,20,26,0,0,0.00
2006,S,1,166,70,-11.4,-19.8,5,20,25,0,0,0.00
2026,S,1,18,1,-11.4,-19.8,6,20,26,0,0,0.00
2046,S,1,17,1,-11.4,-19.8,7,20,27,0,0,0.00
2066,S,1,17,0,-11.4,-19.8,7,20,27,0,0,0.00
2086,S,1,18,0,-11.4,-19.8,7,20,27,0,0,0.00
2167,S,1,171,0,-47.4,-75.8,6,20,26,0,0,0.00
2273,S,1,305,0,-47.4,-75.8,5,20,25,0,0,0.00
2293,S,1,29,0,-47.4,-75.8,5,20,25,0,0,0.00
2313,S,1,29,0,-47.4,-75.8,5,20,25,0,0,0.00
2333,S,1,29,0,-47.4,-75.8,5,20,25,0,0,0.00
2353,S,1,29,0,-47.4,-75.8,5,20,25,0,0,0.00
2493,S,1,399,0,-47.2,-49.0,3,20,23,0,0,0.00
2513,S,1,31,0,-47.2,-49.0,4,20,24,0,0,0.00
2533,S,1,31,0,-47.2,-49.0,5,20,25,0,0,0.00
2553,S,1,31,0,-47.2,-49.0,5,20,25,0,0,0.00
2760,S,1,346,0,-2.2,23.2,3,20,23,0,0,0.00
2761,S,1,273,0,-2.2,23.2,3,-20,0,23,0,0.00
2873,S,1,164,123,-2.2,23.2,4,-20,0,24,0,0.00
2893,S,1,6,17,-2.2,23.2,5,-20,0,25,0,0.00
2913,S,1,4,17,-2.2,23.2,6,-20,0,26,0,0.00
2933,S,1,3,18,-2.2,23.2,6,-20,0,26,0,0.00
2953,S,1,2,19,-2.2,23.2,7,-20,0,27,0,0.00
3029,S,1,10,163,33.8,78.1,6,-20,0,26,0,0.00
3136,S,1,1,280,33.8,78.1,5,-20,0,25,0,0.00
3156,S,1,0,30,33.8,78.1,5,-20,0,25,0,0.00
3176,S,1,0,29,33.8,78.1,5,-20,0,25,0,0.00
3196,S,1,0,29,33.8,78.1,5,-20,0,25,0,0.00
3216,S,1,0,30,33.8,78.1,5,-20,0,25,0,0.00
3434,S,1,0,661,25.5,36.3,1,-20,0,21,0,0.00
3552,S,1,0,314,14.3,5.2,1,-20,0,21,0,0.00
3561,S,1,0,35,14.3,5.2,2,-8,0,10,0,0.00
3581,S,1,0,24,14.3,5.2,4,-8,0,12,0,0.00
3601,S,1,0,22,14.3,5.2,5,-8,0,13,0,0.00
3621,S,1,0,22,14.3,5.2,6,-8,0,14,0,0.00
3740,S,1,0,208,14.3,5.2,5,-8,0,13,0,0.00
3839,S,1,0,159,-21.7,-59.6,6,20,26,0,0,0.00
3946,S,1,135,71,-21.7,-59.6,5,20,25,0,0,0.00
3966,S,1,19,1,-21.7,-59.6,6,20,26,0,0,0.00
3986,S,1,19,1,-21.7,-59.6,6,20,26,0,0,0.00
4006,S,1,19,0,-21.7,-59.6,7,20,27,0,0,0.00
4026,S,1,20,0,-21.7,-59.6,7,20,27,0,0,0.00
4235,S,1,566,0,-54.9,-97.0,3,20,23,0,0,0.00
4434,S,1,344,0,-16.0,-0.0,2,20,22,0,0,0.00
4434,S,1,269,0,-16.0,-0.0,2,4,6,0,0,0.00
4545,S,1,226,0,-16.0,-0.0,2,4,6,0,0,0.00
4565,S,1,14,0,-16.0,-0.0,5,4,9,1,0,0.00
4585,S,1,14,3,-16.0,-0.0,6,4,10,2,0,0.00
4605,S,1,14,4,-16.0,-0.0,7,4,11,3,0,0.00
4625,S,1,13,2,-16.0,-0.0,7,4,11,3,0,0.00
4645,S,1,14,3,9.1,43.9,7,-20,0,27,0,0.00
4752,S,1,57,179,9.1,43.9,6,-20,0,26,0,0.00
4772,S,1,2,23,9.1,43.9,7,-20,0,27,0,0.00
4792,S,1,1,23,9.1,43.9,6,-20,0,26,0,0.00
4812,S,1,0,24,9.1,43.9,6,-20,0,26,0,0.00
4832,S,1,0,24,9.1,43.9,6,-20,0,26,0,0.00
5038,S,1,0,511,35.4,74.6,3,-20,0,23,0,0.00
5162,S,1,0,317,18.8,22.1,3,-20,0,23,0,0.00
5170,S,1,0,37,18.8,22.1,4,-20,0,24,0,0.00
5190,S,1,0,30,18.8,22.1,4,-20,0,24,0,0.00
5210,S,1,0,31,18.8,22.1,5,-20,0,25,0,0.00
5230,S,1,0,31,18.8,22.1,5,-20,0,25,0,0.00
5351,S,1,0,338,18.8,22.1,4,-20,0,24,0,0.00
5449,S,1,0,301,-17.2,-48.6,4,20,24,0,0,0.00
5555,S,1,109,160,-17.2,-48.6,3,20,23,0,0,0.00
5575,S,1,14,6,-17.2,-48.6,5,20,25,0,0,0.00
5595,S,1,16,4,-17.2,-48.6,6,20,26,0,0,0.00
5615,S,1,17,2,-17.2,-48.6,7,20,27,0,0,0.00
5635,S,1,19,1,-17.2,-48.6,7,20,27,0,0,0.00
5766,S,1,302,6,-53.2,-94.6,5,20,25,0,0,0.00
5786,S,1,28,0,-53.2,-94.6,5,20,25,0,0,0.00
5806,S,1,29,0,-53.2,-94.6,5,20,25,0,0,0.00
5826,S,1,29,0,-53.2,-94.6,5,20,25,0,0,0.00
5846,S,1,31,0,-53.2,-94.6,5,20,25,0,0,0.00
6041,S,1,348,0,-77.8,-90.7,4,20,24,0,0,0.00
6042,S,1,274,0,-77.8,-90.7,3,20,23,0,0,0.00
6155,S,1,353,0,-77.8,-90.7,3,20,23,0,0,0.00
6175,S,1,32,0,-77.8,-90.7,4,20,24,0,0,0.00
6195,S,1,32,0,-77.8,-90.7,5,20,25,0,0,0.00
6215,S,1,31,0,-77.8,-90.7,5,20,25,0,0,0.00
6235,S,1,32,0,-77.8,-90.7,5,20,25,0,0,0.00
6309,S,1,246,0,-41.8,4.0,4,6,10,0,0,0.00
6416,S,1,250,0,-41.8,4.0,4,6,10,0,0,0.00
6436,S,1,18,0,-41.8,4.0,5,6,11,0,0,0.00
6456,S,1,17,0,-41.8,4.0,6,6,12,0,0,0.00
6476,S,1,17,0,-41.8,4.0,7,6,13,1,0,0.00
6496,S,1,17,1,-41.8,4.0,7,6,13,1,0,0.00
6714,S,1,329,67,-5.8,65.6,4,-20,0,24,0,0.00
6890,S,1,81,151,32.5,105.7,4,-20,0,24,0,0.00
6890,S,1,11,129,32.5,105.7,4,-20,0,24,0,0.00
6910,S,1,1,20,32.5,105.7,6,-20,0,26,0,0.00
7020,S,1,1,266,32.5,105.7,5,-20,0,25,0,0.00
7040,S,1,0,28,32.5,105.7,6,-20,0,26,0,0.00
7060,S,1,0,28,32.5,105.7,6,-20,0,26,0,0.00
7080,S,1,0,29,32.5,105.7,6,-20,0,26,0,0.00
7111,S,1,0,82,68.5,131.7,6,-20,0,26,0,0.00
7220,S,1,0,334,68.5,131.7,4,-20,0,24,0,0.00
7240,S,1,0,33,68.5,131.7,5,-20,0,25,0,0.00
7260,S,1,0,32,68.5,131.7,5,-20,0,25,0,0.00
7280,S,1,0,32,68.5,131.7,5,-20,0,25,0,0.00
7300,S,1,0,31,68.5,131.7,5,-20,0,25,0,0.00
7398,S,1,0,307,39.2,34.2,4,-20,0,24,0,0.00
7505,S,1,0,331,39.2,34.2,3,-20,0,23,0,0.00
7525,S,1,0,32,39.2,34.2,4,-20,0,24,0,0.00
7545,S,1,0,31,39.2,34.2,5,-20,0,25,0,0.00
7565,S,1,0,31,39.2,34.2,5,-20,0,25,0,0.00
7585,S,1,0,31,39.2,34.2,5,-20,0,25,0,0.00
7715,S,1,0,384,3.2,-40.7,3,20,23,0,0,0.00
7735,S,1,6,23,3.2,-40.7,4,20,24,0,0,0.00
7755,S,1,12,17,3.2,-40.7,5,20,25,0,0,0.00
7775,S,1,16,13,3.2,-40.7,5,20,25,0,0,0.00
7795,S,1,18,10,3.2,-40.7,5,20,25,0,0,0.00
7991,S,1,207,48,-41.8,-79.9,4,20,24,0,0,0.00
7991,S,1,173,0,-41.8,-79.9,5,20,25,0,0,0.00
