HB:t=57,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=163,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=183,m=S,run=1,el=2,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=334,m=S,run=1,el=40,er=44,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=335,m=S,run=1,el=17,er=17,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=355,m=S,run=1,el=6,er=6,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=375,m=S,run=1,el=6,er=6,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=395,m=S,run=1,el=7,er=7,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=505,m=S,run=1,el=74,er=75,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=525,m=S,run=1,el=7,er=7,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=621,m=S,run=1,el=69,er=70,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=727,m=S,run=1,el=80,er=81,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=747,m=S,run=1,el=7,er=7,yaw=-0.1,yr=-0.1,pc=4,hd=0,OL=4,OR=4
HB:t=767,m=S,run=1,el=7,er=8,yaw=-0.1,yr=-0.1,pc=5,hd=0,OL=5,OR=5
HB:t=787,m=S,run=1,el=8,er=8,yaw=-0.1,yr=-0.1,pc=5,hd=0,OL=5,OR=5
HB:t=807,m=S,run=1,el=8,er=8,yaw=-0.1,yr=-0.1,pc=5,hd=0,OL=5,OR=5
HB:t=943,m=S,run=1,el=89,er=90,yaw=-0.4,yr=-0.7,pc=6,hd=0,OL=6,OR=6
