EVT:EXP_START,id=251,src=KEY,mode=T,skip=0
HB:t=1,m=T,run=1,exp=251,el=0,er=0,yaw=0.0,yr=0.0,pc=280,hd=0,OL=385,OR=175,sb=0,lp=0.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=0,cm=0,cg=0,ch=0
HB:t=101,m=T,run=1,exp=251,el=226,er=229,yaw=10.1,yr=0.0,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=102,m=T,run=1,exp=251,el=226,er=229,yaw=10.1,yr=0.0,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=192,m=T,run=1,exp=251,el=302,er=308,yaw=13.7,yr=25.2,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=251,m=T,run=1,exp=251,el=190,er=194,yaw=17.3,yr=46.9,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=251,m=T,run=1,exp=251,el=190,er=194,yaw=17.3,yr=46.9,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=326,m=T,run=1,exp=251,el=250,er=258,yaw=20.9,yr=65.5,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=326,m=T,run=1,exp=251,el=250,er=258,yaw=20.9,yr=65.5,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=376,m=T,run=1,exp=251,el=134,er=139,yaw=24.5,yr=81.5,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=377,m=T,run=1,exp=251,el=134,er=139,yaw=24.5,yr=81.5,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=451,m=T,run=1,exp=251,el=232,er=241,yaw=28.1,yr=95.3,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=510,m=T,run=1,exp=251,el=189,er=195,yaw=31.7,yr=107.2,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=511,m=T,run=1,exp=251,el=189,er=195,yaw=31.7,yr=107.2,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=584,m=T,run=1,exp=251,el=247,er=253,yaw=35.3,yr=117.4,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
HB:t=634,m=T,run=1,exp=251,el=127,er=131,yaw=38.9,yr=126.1,pc=280,hd=0,OL=280,OR=280,sb=247,lp=7.00,acuteState=0,acuteYawDelta=0.0,acuteRearmTick=0,st=TRK,cd=-,cy=0.0,cb=247,cm=0,cg=0,ch=0
