EVT:EXP_START,id=255,src=KEY,mode=S,skip=0
HB:t=0,m=S,run=1,exp=255,el=0,er=0,yaw=0.0,yr=0.0,pc=102,hd=1,dp=0,OL=103,OR=101,hi=0.00
HB:t=133,m=S,run=1,exp=255,el=122,er=115,yaw=-0.3,yr=-0.7,pc=35,hd=5,dp=2,OL=85,OR=75,hi=0.00
HB:t=134,m=S,run=1,exp=255,el=122,er=115,yaw=-0.3,yr=-0.7,pc=35,hd=5,dp=2,OL=85,OR=75,hi=0.00
HB:t=216,m=S,run=1,exp=255,el=81,er=73,yaw=-0.2,yr=-0.7,pc=34,hd=4,dp=2,OL=84,OR=76,hi=0.01
HB:t=291,m=S,run=1,exp=255,el=60,er=52,yaw=-0.3,yr=-0.7,pc=25,hd=5,dp=2,OL=85,OR=75,hi=0.01
HB:t=291,m=S,run=1,exp=255,el=60,er=52,yaw=-0.3,yr=-0.7,pc=25,hd=5,dp=2,OL=85,OR=75,hi=0.01
HB:t=321,m=S,run=1,exp=255,el=20,er=17,yaw=-0.3,yr=-0.6,pc=62,hd=4,dp=2,OL=84,OR=76,hi=0.01
HB:t=331,m=S,run=1,exp=255,el=1,er=1,yaw=-0.3,yr=-0.6,pc=73,hd=4,dp=2,OL=84,OR=76,hi=0.01
HB:t=400,m=S,run=1,exp=255,el=69,er=59,yaw=-0.3,yr=-0.2,pc=53,hd=3,dp=1,OL=83,OR=77,hi=0.01
HB:t=435,m=S,run=1,exp=255,el=23,er=20,yaw=-0.3,yr=-0.2,pc=68,hd=4,dp=1,OL=84,OR=76,hi=0.01
HB:t=440,m=S,run=1,exp=255,el=23,er=20,yaw=-0.3,yr=-0.2,pc=68,hd=4,dp=1,OL=84,OR=76,hi=0.01
HB:t=479,m=S,run=1,exp=255,el=26,er=23,yaw=-0.3,yr=0.2,pc=64,hd=2,dp=-1,OL=82,OR=78,hi=0.01
HB:t=562,m=S,run=1,exp=255,el=70,er=62,yaw=-0.3,yr=-1.2,pc=42,hd=7,dp=4,OL=87,OR=73,hi=0.01
HB:t=562,m=S,run=1,exp=255,el=70,er=62,yaw=-0.3,yr=-1.2,pc=42,hd=7,dp=4,OL=87,OR=73,hi=0.01
HB:t=597,m=S,run=1,exp=255,el=26,er=22,yaw=-0.3,yr=-1.4,pc=66,hd=7,dp=4,OL=87,OR=73,hi=0.02
HB:t=602,m=S,run=1,exp=255,el=26,er=22,yaw=-0.3,yr=-1.4,pc=66,hd=7,dp=4,OL=87,OR=73,hi=0.02
HB:t=680,m=S,run=1,exp=255,el=71,er=56,yaw=-0.2,yr=0.7,pc=28,hd=0,dp=-2,OL=80,OR=80,hi=0.02
EVT:EXP_STOP,id=255,src=KEY,mode=S,dur=683
