t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
185,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
185,S,1,21,23,0.0,0.0,3,0,3,3,0,0.00
322,S,1,48,47,0.0,0.1,4,0,4,4,0,0.00
325,S,1,9,9,0.0,0.1,4,0,4,4,0,0.00
345,S,1,5,5,0.0,0.1,4,0,4,4,0,0.00
365,S,1,5,5,0.0,0.1,5,0,5,5,0,0.00
436,S,1,41,38,0.2,1.4,6,0,6,6,0,0.00
559,S,1,64,62,0.3,1.3,7,0,7,7,0,0.00
562,S,1,11,10,0.3,1.3,8,0,8,8,0,0.00
582,S,1,7,6,0.3,1.3,8,0,8,8,0,0.00
602,S,1,6,7,0.3,1.3,9,0,9,9,0,0.00
668,S,1,44,42,0.5,2.2,11,0,11,11,0,0.00
786,S,1,101,96,0.6,1.6,10,0,10,10,0,0.00
794,S,1,1,1,0.6,1.6,11,0,11,11,0,0.00
814,S,1,10,11,0.6,1.6,11,0,11,11,0,0.00
834,S,1,11,10,0.6,1.6,11,0,11,11,0,0.00
870,S,1,48,47,0.6,1.2,11,0,11,11,0,0.00
1002,S,1,122,120,0.7,1.2,9,0,9,9,0,0.00
1002,S,1,28,28,0.7,1.2,10,0,10,10,0,0.00
1022,S,1,11,11,0.7,1.2,10,0,10,10,0,0.00
1042,S,1,11,10,0.7,1.2,10,0,10,10,0,0.00
1091,S,1,47,45,0.9,1.8,10,0,10,10,0,0.00
1262,S,1,114,109,1.3,2.7,9,0,9,9,0,0.00
1262,S,1,66,65,1.3,2.7,9,0,9,9,0,0.00
1282,S,1,10,10,1.3,2.7,10,0,10,10,0,0.00
1413,S,1,110,108,1.5,2.3,9,0,9,9,0,0.00
1416,S,1,16,16,1.5,2.3,10,0,10,10,0,0.00
1436,S,1,10,11,1.5,2.3,10,0,10,10,0,0.00
1456,S,1,11,11,1.5,2.3,10,0,10,10,0,0.00
1506,S,1,60,54,1.6,1.9,10,0,10,10,0,0.00
1639,S,1,122,113,1.9,2.2,9,-1,8,10,0,0.00
1639,S,1,27,26,1.9,2.2,10,-1,9,11,0,0.00
1659,S,1,11,11,1.9,2.2,10,-1,9,11,0,0.00
1679,S,1,11,11,1.9,2.2,10,-1,9,11,0,0.00
1727,S,1,42,42,2.2,3.7,10,-1,9,11,0,0.00
1859,S,1,113,118,2.7,4.0,9,-1,8,10,0,0.00
1859,S,1,28,29,2.7,4.0,10,-1,9,11,0,0.00
1879,S,1,10,11,2.7,4.0,10,-1,9,11,0,0.00
1899,S,1,10,11,2.7,4.0,10,-1,9,11,0,0.00
1947,S,1,41,43,2.8,2.9,10,-1,9,11,0,0.00
2079,S,1,113,117,2.5,1.0,9,-1,8,10,0,0.00
2080,S,1,27,29,2.5,1.0,10,-1,9,11,0,0.00
2099,S,1,11,12,2.5,1.0,10,-1,9,11,0,0.00
2119,S,1,10,11,2.5,1.0,10,-1,9,11,0,0.00
2192,S,1,67,73,1.7,-4.8,10,-1,9,11,0,0.00
2315,S,1,114,126,1.4,-4.0,9,0,9,9,0,0.00
2319,S,1,3,3,1.4,-4.0,10,-1,9,11,0,0.00
2339,S,1,12,11,1.4,-4.0,10,0,10,10,0,0.00
2359,S,1,13,12,1.4,-4.0,10,0,10,10,0,0.00
2399,S,1,47,48,1.3,-3.7,10,0,10,10,0,0.00
2571,S,1,118,120,0.5,-5.0,9,0,9,9,0,0.00
2571,S,1,68,68,0.5,-5.0,9,0,9,9,0,0.00
2591,S,1,10,10,0.5,-5.0,10,0,10,10,0,0.00
2721,S,1,111,113,0.2,-3.9,9,0,9,9,0,0.00
2724,S,1,18,18,0.2,-3.9,9,0,9,9,0,0.00
2744,S,1,11,11,0.2,-3.9,10,0,10,10,0,0.00
2764,S,1,11,11,0.2,-3.9,10,0,10,10,0,0.00
2835,S,1,74,75,0.0,-3.9,10,0,10,10,0,0.00
2958,S,1,119,124,-0.1,-3.1,9,0,9,9,0,0.00
2961,S,1,19,20,-0.1,-3.1,9,0,9,9,0,0.00
2981,S,1,11,12,-0.1,-3.1,10,0,10,10,0,0.00
3001,S,1,11,12,-0.1,-3.1,10,0,10,10,0,0.00
3042,S,1,43,41,-0.2,-2.8,10,0,10,10,0,0.00
3173,S,1,129,132,-0.7,-3.2,9,0,9,9,0,0.00
3173,S,1,30,29,-0.7,-3.2,9,0,9,9,0,0.00
3193,S,1,12,12,-0.7,-3.2,10,0,10,10,0,0.00
3213,S,1,12,12,-0.7,-3.2,10,0,10,10,0,0.00
3298,S,1,97,96,-0.6,-1.3,9,0,9,9,0,0.00
3416,S,1,122,121,-0.5,-0.9,8,0,8,8,0,0.00
3425,S,1,1,1,-0.5,-0.9,10,0,10,10,0,0.00
3445,S,1,11,10,-0.5,-0.9,10,0,10,10,0,0.00
3465,S,1,10,10,-0.5,-0.9,10,0,10,10,0,0.00
3500,S,1,47,46,-0.5,-0.6,10,0,10,10,0,0.00
3631,S,1,122,118,-0.4,0.2,9,0,9,9,0,0.00
3632,S,1,30,27,-0.4,0.2,9,0,9,9,0,0.00
3652,S,1,12,11,-0.4,0.2,10,0,10,10,0,0.00
3672,S,1,12,11,-0.4,0.2,10,0,10,10,0,0.00
3720,S,1,49,49,-0.2,1.1,10,0,10,10,0,0.00
3891,S,1,128,129,-0.1,1.2,9,0,9,9,0,0.00
3891,S,1,75,74,-0.1,1.2,9,0,9,9,0,0.00
3911,S,1,11,12,-0.1,1.2,10,0,10,10,0,0.00
4042,S,1,129,129,-0.1,0.8,8,0,8,8,0,0.00
4045,S,1,20,19,-0.1,0.8,9,0,9,9,0,0.00
4065,S,1,12,11,-0.1,0.8,9,0,9,9,0,0.00
4085,S,1,12,11,-0.1,0.8,10,0,10,10,0,0.00
4161,S,1,87,87,0.0,1.1,9,0,9,9,0,0.00
4279,S,1,119,118,0.2,1.3,9,0,9,9,0,0.00
4287,S,1,12,13,0.2,1.3,9,0,9,9,0,0.00
4307,S,1,11,11,0.2,1.3,10,0,10,10,0,0.00
4327,S,1,11,11,0.2,1.3,10,0,10,10,0,0.00
4363,S,1,40,39,0.2,0.9,10,0,10,10,0,0.00
4495,S,1,123,117,0.4,1.2,9,0,9,9,0,0.00
4495,S,1,29,27,0.4,1.2,9,0,9,9,0,0.00
4515,S,1,11,11,0.4,1.2,10,0,10,10,0,0.00
4535,S,1,13,10,0.4,1.2,10,0,10,10,0,0.00
4609,S,1,84,80,0.7,3.5,10,0,10,10,0,0.00
4727,S,1,126,123,1.1,3.3,9,0,9,9,0,0.00
4736,S,1,0,0,1.1,3.3,10,0,10,10,0,0.00
4756,S,1,12,12,1.1,3.3,10,0,10,10,0,0.00
4776,S,1,12,11,1.1,3.3,10,0,10,10,0,0.00
4841,S,1,87,83,1.5,5.2,10,-1,9,11,0,0.00
4958,S,1,121,123,1.7,4.1,9,-1,8,10,0,0.00
4967,S,1,13,13,1.7,4.1,9,-1,8,10,0,0.00
4987,S,1,11,12,1.7,4.1,9,-1,8,10,0,0.00
5007,S,1,11,11,1.7,4.1,10,-1,9,11,0,0.00
5042,S,1,39,38,1.8,3.0,10,-1,9,11,0,0.00
5207,S,1,119,120,1.7,1.7,9,-1,8,10,0,0.00
5208,S,1,63,64,1.7,1.7,9,-1,8,10,0,0.00
5228,S,1,11,10,1.7,1.7,10,-1,9,11,0,0.00
5363,S,1,116,116,1.7,1.2,9,-1,8,10,0,0.00
5367,S,1,17,17,1.7,1.2,9,-1,8,10,0,0.00
5387,S,1,10,11,1.7,1.2,10,-1,9,11,0,0.00
5407,S,1,11,11,1.7,1.2,10,-1,9,11,0,0.00
5486,S,1,84,88,1.5,-0.6,10,-1,9,11,0,0.00
5604,S,1,116,120,1.3,-1.1,9,-1,8,10,0,0.00
5612,S,1,3,3,1.3,-1.1,10,-1,9,11,0,0.00
5632,S,1,10,11,1.3,-1.1,10,-1,9,11,0,0.00
5652,S,1,11,11,1.3,-1.1,10,-1,9,11,0,0.00
5688,S,1,43,44,1.3,-1.0,10,-1,9,11,0,0.00
5820,S,1,111,118,1.0,-1.6,9,-1,8,10,0,0.00
5820,S,1,27,28,1.0,-1.6,9,0,9,9,0,0.00
5840,S,1,11,10,1.0,-1.6,10,0,10,10,0,0.00
5860,S,1,11,11,1.0,-1.6,10,0,10,10,0,0.00
5934,S,1,71,74,0.2,-6.4,10,0,10,10,0,0.00
6056,S,1,118,122,-0.0,-4.9,9,0,9,9,0,0.00
6060,S,1,1,1,-0.0,-4.9,10,0,10,10,0,0.00
6080,S,1,11,11,-0.0,-4.9,10,0,10,10,0,0.00
6100,S,1,11,11,-0.0,-4.9,10,0,10,10,0,0.00
6140,S,1,47,46,-0.1,-3.7,10,0,10,10,0,0.00
6310,S,1,116,116,-0.3,-3.2,9,0,9,9,0,0.00
6311,S,1,67,65,-0.3,-3.2,9,0,9,9,0,0.00
6331,S,1,10,10,-0.3,-3.2,10,0,10,10,0,0.00
6461,S,1,113,112,-0.2,-1.9,9,0,9,9,0,0.00
6465,S,1,18,17,-0.2,-1.9,9,0,9,9,0,0.00
6485,S,1,11,10,-0.2,-1.9,10,0,10,10,0,0.00
6505,S,1,11,11,-0.2,-1.9,10,0,10,10,0,0.00
6550,S,1,47,45,-0.2,-0.8,10,0,10,10,0,0.00
6720,S,1,118,116,-0.1,-0.1,9,0,9,9,0,0.00
6720,S,1,68,66,-0.1,-0.1,9,0,9,9,0,0.00
6740,S,1,11,11,-0.1,-0.1,10,0,10,10,0,0.00
6871,S,1,115,116,0.1,0.2,9,0,9,9,0,0.00
6875,S,1,18,17,0.1,0.2,9,0,9,9,0,0.00
6895,S,1,11,11,0.1,0.2,10,0,10,10,0,0.00
6915,S,1,11,11,0.1,0.2,10,0,10,10,0,0.00
6990,S,1,82,79,0.2,1.4,9,0,9,9,0,0.00
7112,S,1,115,113,0.3,1.1,9,0,9,9,0,0.00
7116,S,1,17,16,0.3,1.1,9,0,9,9,0,0.00
7136,S,1,10,10,0.3,1.1,10,0,10,10,0,0.00
7156,S,1,10,10,0.3,1.1,10,0,10,10,0,0.00
7196,S,1,41,41,0.3,0.9,10,0,10,10,0,0.00
7363,S,1,115,111,0.6,1.5,9,0,9,9,0,0.00
7363,S,1,63,60,0.6,1.5,9,0,9,9,0,0.00
7383,S,1,10,10,0.6,1.5,10,0,10,10,0,0.00
7518,S,1,126,120,0.8,1.6,9,0,9,9,0,0.00
7521,S,1,18,19,0.8,1.6,9,0,9,9,0,0.00
7541,S,1,12,11,0.8,1.6,10,0,10,10,0,0.00
7561,S,1,11,11,0.8,1.6,10,0,10,10,0,0.00
7641,S,1,82,82,1.0,2.3,9,-1,8,10,0,0.00
7759,S,1,111,115,1.1,1.7,9,-1,8,10,0,0.00
7768,S,1,8,8,1.1,1.7,9,-1,8,10,0,0.00
7788,S,1,10,10,1.1,1.7,10,-1,9,11,0,0.00
7808,S,1,11,11,1.1,1.7,10,-1,9,11,0,0.00
7843,S,1,37,38,1.1,1.3,10,-1,9,11,0,0.00
8014,S,1,118,121,0.9,0.1,9,-1,8,10,0,0.00
