t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
180,S,1,0,0,-0.0,0.0,1,0,1,1,0,0.00
180,S,1,21,23,-0.0,0.0,2,0,2,2,0,0.00
216,S,1,4,5,0.0,0.2,2,0,2,2,0,0.00
338,S,1,68,70,0.0,0.1,3,0,3,3,0,0.00
342,S,1,11,12,0.0,0.1,3,0,3,3,0,0.00
392,S,1,30,30,0.0,0.1,5,0,5,5,0,0.00
526,S,1,79,82,-0.1,-0.1,5,0,5,5,0,0.00
527,S,1,16,17,-0.1,-0.1,6,0,6,6,0,0.00
580,S,1,35,34,-0.2,-0.5,8,0,8,8,0,0.00
620,S,1,8,9,-0.5,-2.4,8,0,8,8,0,0.00
743,S,1,104,106,-0.5,-2.2,9,0,9,9,0,0.00
747,S,1,14,15,-0.5,-2.2,9,0,9,9,0,0.00
818,S,1,56,57,-0.8,-3.7,11,0,11,11,0,0.00
936,S,1,117,120,-0.9,-3.3,9,0,9,9,0,0.00
944,S,1,3,3,-0.9,-3.3,10,0,10,10,0,0.00
990,S,1,49,49,-0.9,-3.0,10,0,10,10,0,0.00
1026,S,1,12,11,-1.0,-3.7,10,0,10,10,0,0.00
1149,S,1,121,125,-1.1,-3.3,9,0,9,9,0,0.00
1152,S,1,18,19,-1.1,-3.3,9,0,9,9,0,0.00
1203,S,1,37,39,-1.2,-3.4,10,0,10,10,0,0.00
1244,S,1,11,11,-1.5,-5.0,10,0,10,10,0,0.00
1244,S,1,28,29,-1.5,-5.0,10,0,10,10,0,0.00
1366,S,1,120,121,-1.6,-4.4,9,1,10,8,0,0.00
1370,S,1,2,2,-1.6,-4.4,10,0,10,10,0,0.00
1420,S,1,47,46,-1.6,-4.2,10,0,10,10,0,0.00
1460,S,1,12,12,-1.7,-4.3,10,0,10,10,0,0.00
1460,S,1,25,24,-1.7,-4.3,10,0,10,10,0,0.00
1583,S,1,122,123,-1.7,-3.6,9,1,10,8,0,0.00
1587,S,1,19,18,-1.7,-3.6,9,0,9,9,0,0.00
1637,S,1,45,44,-1.7,-3.1,10,0,10,10,0,0.00
1677,S,1,12,11,-1.7,-3.0,11,0,11,11,0,0.00
1677,S,1,34,34,-1.7,-3.0,10,0,10,10,0,0.00
1800,S,1,129,126,-1.6,-2.4,9,1,10,8,0,0.00
1804,S,1,19,19,-1.6,-2.4,9,0,9,9,0,0.00
1854,S,1,42,41,-1.6,-1.8,10,0,10,10,0,0.00
1895,S,1,11,12,-1.5,-1.2,10,0,10,10,0,0.00
1895,S,1,31,30,-1.5,-1.2,10,0,10,10,0,0.00
2018,S,1,123,124,-1.4,-0.9,9,0,9,9,0,0.00
2021,S,1,1,1,-1.4,-0.9,10,0,10,10,0,0.00
2072,S,1,48,50,-1.4,-0.5,10,0,10,10,0,0.00
2111,S,1,11,11,-1.4,-0.2,10,0,10,10,0,0.00
2112,S,1,27,26,-1.4,-0.2,10,0,10,10,0,0.00
2235,S,1,123,120,-1.4,-0.2,9,0,9,9,0,0.00
2238,S,1,18,18,-1.4,-0.2,10,0,10,10,0,0.00
2289,S,1,46,45,-1.4,-0.1,10,0,10,10,0,0.00
2325,S,1,11,11,-1.3,0.4,10,0,10,10,0,0.00
2448,S,1,122,120,-1.2,0.4,9,0,9,9,0,0.00
2451,S,1,0,1,-1.2,0.4,11,0,11,11,0,0.00
2502,S,1,50,50,-1.2,0.6,10,0,10,10,0,0.00
2542,S,1,12,12,-1.1,1.4,10,0,10,10,0,0.00
2542,S,1,27,27,-1.1,1.4,10,0,10,10,0,0.00
2665,S,1,125,122,-1.0,1.2,9,0,9,9,0,0.00
2669,S,1,4,4,-1.0,1.2,10,0,10,10,0,0.00
2719,S,1,47,46,-1.1,0.8,10,0,10,10,0,0.00
2759,S,1,12,11,-1.1,0.9,10,0,10,10,0,0.00
2759,S,1,24,25,-1.1,0.9,10,0,10,10,0,0.00
2882,S,1,124,124,-1.0,0.8,9,0,9,9,0,0.00
2886,S,1,19,18,-1.0,0.8,9,0,9,9,0,0.00
2936,S,1,43,44,-1.0,1.0,10,0,10,10,0,0.00
2976,S,1,11,11,-0.9,1.5,10,0,10,10,0,0.00
2976,S,1,31,32,-0.9,1.5,10,0,10,10,0,0.00
3100,S,1,122,122,-0.9,1.3,9,0,9,9,0,0.00
3103,S,1,19,19,-0.9,1.3,9,0,9,9,0,0.00
3154,S,1,40,40,-1.0,0.8,10,0,10,10,0,0.00
3194,S,1,12,12,-1.0,0.3,10,0,10,10,0,0.00
3195,S,1,29,29,-1.0,0.3,10,0,10,10,0,0.00
3352,S,1,124,123,-1.0,0.3,9,0,9,9,0,0.00
3352,S,1,58,56,-1.0,0.3,9,0,9,9,0,0.00
3388,S,1,11,11,-0.9,0.9,10,0,10,10,0,0.00
3392,S,1,1,0,-0.9,0.9,11,0,11,11,0,0.00
3513,S,1,134,133,-0.9,0.8,9,0,9,9,0,0.00
3521,S,1,7,7,-0.9,0.8,10,0,10,10,0,0.00
3593,S,1,79,81,-1.0,-0.0,9,0,9,9,0,0.00
3713,S,1,124,125,-1.0,-0.1,8,0,8,8,0,0.00
3721,S,1,6,6,-1.0,-0.1,9,0,9,9,0,0.00
3767,S,1,42,41,-1.0,-0.1,10,0,10,10,0,0.00
3802,S,1,11,11,-1.0,-0.0,11,0,11,11,0,0.00
3925,S,1,121,120,-1.0,0.0,9,0,9,9,0,0.00
3929,S,1,4,4,-1.0,0.0,10,0,10,10,0,0.00
3979,S,1,46,45,-1.0,-0.1,10,0,10,10,0,0.00
4019,S,1,11,11,-1.0,-0.4,10,0,10,10,0,0.00
4019,S,1,24,25,-1.0,-0.4,10,0,10,10,0,0.00
4142,S,1,125,126,-1.1,-0.4,9,0,9,9,0,0.00
4146,S,1,18,18,-1.1,-0.4,9,0,9,9,0,0.00
4216,S,1,67,65,-1.1,-0.6,10,0,10,10,0,0.00
4336,S,1,124,121,-1.1,-0.5,9,0,9,9,0,0.00
4345,S,1,2,2,-1.1,-0.5,10,0,10,10,0,0.00
4390,S,1,48,48,-1.1,-0.2,10,0,10,10,0,0.00
4431,S,1,12,12,-1.0,0.2,10,0,10,10,0,0.00
4431,S,1,26,26,-1.0,0.2,10,0,10,10,0,0.00
4554,S,1,127,127,-1.0,0.2,9,0,9,9,0,0.00
4558,S,1,19,19,-1.0,0.2,9,0,9,9,0,0.00
4624,S,1,65,63,-1.0,0.1,10,0,10,10,0,0.00
4748,S,1,125,124,-1.0,0.1,9,0,9,9,0,0.00
4756,S,1,1,1,-1.0,0.1,10,0,10,10,0,0.00
4823,S,1,72,73,-0.9,0.7,10,0,10,10,0,0.00
4948,S,1,123,121,-0.9,0.7,9,0,9,9,0,0.00
4956,S,1,0,0,-0.9,0.7,10,0,10,10,0,0.00
5006,S,1,55,54,-0.9,0.7,10,0,10,10,0,0.00
5041,S,1,12,12,-0.8,0.8,11,0,11,11,0,0.00
5164,S,1,127,124,-0.8,0.6,9,0,9,9,0,0.00
5168,S,1,18,19,-0.8,0.6,9,0,9,9,0,0.00
5238,S,1,69,69,-0.7,1.4,10,0,10,10,0,0.00
5358,S,1,130,127,-0.7,1.3,9,0,9,9,0,0.00
5367,S,1,1,1,-0.7,1.3,10,0,10,10,0,0.00
5412,S,1,53,52,-0.7,1.1,10,0,10,10,0,0.00
5453,S,1,12,11,-0.6,1.5,10,0,10,10,0,0.00
5453,S,1,30,29,-0.6,1.5,10,0,10,10,0,0.00
5576,S,1,126,127,-0.6,1.3,9,0,9,9,0,0.00
5580,S,1,2,2,-0.6,1.3,10,0,10,10,0,0.00
5650,S,1,72,71,-0.5,1.5,10,0,10,10,0,0.00
5771,S,1,119,123,-0.5,1.3,9,0,9,9,0,0.00
5779,S,1,8,7,-0.5,1.3,10,0,10,10,0,0.00
5825,S,1,41,34,-0.5,1.3,10,0,10,10,0,0.00
5861,S,1,10,9,-0.2,3.4,11,0,11,11,0,0.00
5983,S,1,113,115,-0.4,2.6,9,0,9,9,0,0.00
5987,S,1,19,19,-0.4,2.6,10,0,10,10,0,0.00
6057,S,1,67,68,-0.7,0.2,10,0,10,10,0,0.00
6178,S,1,128,127,-0.7,0.2,9,0,9,9,0,0.00
6187,S,1,15,14,-0.7,0.2,9,0,9,9,0,0.00
6232,S,1,50,48,-0.7,0.2,10,0,10,10,0,0.00
6272,S,1,11,11,-0.6,0.7,10,0,10,10,0,0.00
6273,S,1,27,26,-0.6,0.7,10,0,10,10,0,0.00
6396,S,1,119,116,-0.6,0.7,9,0,9,9,0,0.00
6399,S,1,3,3,-0.6,0.7,10,0,10,10,0,0.00
6449,S,1,45,46,-0.5,0.9,10,0,10,10,0,0.00
6490,S,1,11,11,-0.4,1.4,10,0,10,10,0,0.00
6490,S,1,25,25,-0.4,1.4,10,0,10,10,0,0.00
