t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
123,S,1,25,33,0.0,0.0,2,0,2,2,0,0.00
127,S,1,7,7,0.0,0.0,2,0,2,2,0,0.00
226,S,1,48,51,-0.1,-0.6,3,0,3,3,0,0.00
344,S,1,65,71,-0.2,-0.7,4,0,4,4,0,0.00
352,S,1,3,3,-0.2,-0.7,4,0,4,4,0,0.00
398,S,1,28,30,-0.3,-1.0,6,0,6,6,0,0.00
438,S,1,7,7,-0.8,-4.2,7,0,7,7,0,0.00
439,S,1,21,23,-0.8,-4.2,8,0,8,8,0,0.00
561,S,1,78,84,-1.0,-3.9,8,0,8,8,0,0.00
565,S,1,12,14,-1.0,-3.9,9,0,9,9,0,0.00
615,S,1,30,33,-1.2,-4.5,11,0,11,11,0,0.00
655,S,1,8,10,-1.7,-7.3,11,0,11,11,0,0.00
656,S,1,26,27,-1.7,-7.3,11,0,11,11,0,0.00
778,S,1,115,121,-1.9,-6.6,10,1,11,9,0,0.00
782,S,1,19,20,-1.9,-6.6,10,1,11,9,0,0.00
832,S,1,51,49,-2.1,-6.9,10,1,11,9,0,0.00
873,S,1,12,11,-2.6,-9.4,10,1,11,9,0,0.00
873,S,1,29,28,-2.6,-9.4,10,1,11,9,0,0.00
996,S,1,127,121,-2.7,-8.2,9,1,10,8,0,0.00
999,S,1,2,2,-2.7,-8.2,11,1,12,10,0,0.00
1050,S,1,47,48,-2.7,-7.4,10,1,11,9,0,0.00
1090,S,1,11,11,-2.7,-6.0,10,1,11,9,0,0.00
1090,S,1,25,25,-2.7,-6.0,10,1,11,9,0,0.00
1214,S,1,125,120,-2.6,-5.0,9,1,10,8,0,0.00
1217,S,1,19,18,-2.6,-5.0,10,1,11,9,0,0.00
1268,S,1,46,41,-2.5,-3.4,10,1,11,9,0,0.00
1304,S,1,12,11,-1.7,2.5,11,1,12,10,0,0.00
1461,S,1,130,117,-1.2,2.8,9,1,10,8,0,0.00
1462,S,1,62,54,-1.2,2.8,10,0,10,10,0,0.00
1497,S,1,21,20,-0.3,8.4,10,0,10,10,0,0.00
1626,S,1,135,126,-0.1,7.5,9,0,9,9,0,0.00
1629,S,1,3,2,-0.1,7.5,11,0,11,11,0,0.00
1680,S,1,52,47,0.2,8.5,10,0,10,10,0,0.00
1721,S,1,12,11,0.9,11.7,10,0,10,10,0,0.00
1721,S,1,27,25,0.9,11.7,10,0,10,10,0,0.00
1843,S,1,130,119,1.3,10.6,9,0,9,9,0,0.00
1847,S,1,19,17,1.3,10.6,9,0,9,9,0,0.00
1897,S,1,45,42,1.5,11.0,10,0,10,10,0,0.00
1937,S,1,11,11,2.3,14.9,11,0,11,11,0,0.00
1937,S,1,35,32,2.3,14.9,11,0,11,11,0,0.00
2060,S,1,135,124,2.7,13.3,9,-1,8,10,0,0.00
2064,S,1,21,20,2.7,13.3,9,-1,8,10,0,0.00
2114,S,1,42,42,2.9,13.0,10,-1,9,11,0,0.00
2154,S,1,12,12,3.5,15.8,10,-1,9,11,0,0.00
2154,S,1,30,29,3.5,15.8,10,-1,9,11,0,0.00
2278,S,1,119,118,3.7,13.8,9,-2,7,11,0,0.00
2281,S,1,1,0,3.7,13.8,11,-1,10,12,0,0.00
2332,S,1,48,49,3.8,12.2,11,-1,10,12,0,0.00
2373,S,1,11,12,3.8,10.8,11,-1,10,12,0,0.00
2373,S,1,28,28,3.8,10.8,11,-1,10,12,0,0.00
2496,S,1,128,129,3.8,9.3,9,-2,7,11,0,0.00
2500,S,1,2,2,3.8,9.3,10,-1,9,11,0,0.00
2550,S,1,45,51,3.8,7.7,10,-1,9,11,0,0.00
2589,S,1,11,13,3.5,4.7,10,-2,8,12,0,0.00
2589,S,1,23,26,3.5,4.7,10,-1,9,11,0,0.00
2712,S,1,124,129,3.3,3.8,9,-2,7,11,0,0.00
2716,S,1,19,18,3.3,3.8,9,-1,8,10,0,0.00
2783,S,1,58,63,2.4,-2.8,10,-1,9,11,0,0.00
2906,S,1,113,125,2.2,-2.7,9,-1,8,10,0,0.00
2915,S,1,2,2,2.2,-2.7,10,-1,9,11,0,0.00
2960,S,1,37,46,2.1,-3.1,11,-1,10,12,0,0.00
3000,S,1,10,11,1.2,-9.0,11,-1,10,12,0,0.00
3000,S,1,23,27,1.2,-9.0,11,0,11,11,0,0.00
3123,S,1,125,134,0.6,-8.5,9,0,9,9,0,0.00
3127,S,1,19,21,0.6,-8.5,9,0,9,9,0,0.00
3177,S,1,43,47,0.2,-9.6,10,0,10,10,0,0.00
3217,S,1,11,12,-0.4,-12.9,11,0,11,11,0,0.00
3217,S,1,32,35,-0.4,-12.9,11,0,11,11,0,0.00
3340,S,1,121,128,-0.8,-11.6,9,0,9,9,0,0.00
3344,S,1,19,21,-0.8,-11.6,9,0,9,9,0,0.00
3394,S,1,39,43,-1.0,-11.6,10,0,10,10,0,0.00
3434,S,1,10,12,-1.7,-14.7,10,0,10,10,0,0.00
3434,S,1,29,32,-1.7,-14.7,10,0,10,10,0,0.00
3558,S,1,116,125,-2.1,-13.2,9,1,10,8,0,0.00
3561,S,1,0,1,-2.1,-13.2,11,0,11,11,0,0.00
3612,S,1,50,53,-2.4,-13.1,11,1,12,10,0,0.00
3653,S,1,12,12,-3.1,-16.5,10,1,11,9,0,0.00
3653,S,1,29,29,-3.1,-16.5,10,1,11,9,0,0.00
3776,S,1,122,121,-3.4,-14.5,9,2,11,7,0,0.00
3779,S,1,3,2,-3.4,-14.5,10,1,11,9,0,0.00
