HB:t=141,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=141,m=S,run=1,el=10,er=10,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=199,m=S,run=1,el=3,er=4,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=199,m=S,run=1,el=16,er=15,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=327,m=S,run=1,el=61,er=54,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=327,m=S,run=1,el=15,er=13,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=386,m=S,run=1,el=7,er=6,yaw=0.1,yr=0.8,pc=5,hd=0,OL=5,OR=5
HB:t=386,m=S,run=1,el=31,er=29,yaw=0.1,yr=0.8,pc=6,hd=0,OL=6,OR=6
HB:t=527,m=S,run=1,el=86,er=80,yaw=0.6,yr=1.2,pc=7,hd=0,OL=7,OR=7
HB:t=527,m=S,run=1,el=17,er=16,yaw=0.6,yr=1.2,pc=8,hd=0,OL=8,OR=8
HB:t=586,m=S,run=1,el=8,er=7,yaw=0.8,yr=2.5,pc=8,hd=0,OL=8,OR=8
HB:t=586,m=S,run=1,el=34,er=33,yaw=0.8,yr=2.5,pc=10,hd=0,OL=10,OR=10
HB:t=727,m=S,run=1,el=109,er=98,yaw=1.3,yr=2.8,pc=10,hd=-1,OL=9,OR=11
HB:t=727,m=S,run=1,el=22,er=21,yaw=1.3,yr=2.8,pc=11,hd=-1,OL=10,OR=12
HB:t=785,m=S,run=1,el=11,er=10,yaw=1.6,yr=4.0,pc=11,hd=-1,OL=10,OR=12
HB:t=786,m=S,run=1,el=49,er=47,yaw=1.6,yr=4.0,pc=11,hd=-1,OL=10,OR=12
HB:t=966,m=S,run=1,el=135,er=132,yaw=2.4,yr=4.4,pc=9,hd=-1,OL=8,OR=10
HB:t=966,m=S,run=1,el=68,er=71,yaw=2.4,yr=4.4,pc=9,hd=-1,OL=8,OR=10
HB:t=1002,m=S,run=1,el=11,er=11,yaw=2.6,yr=5.3,pc=10,hd=-1,OL=9,OR=11
