t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
141,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
141,S,1,10,10,0.0,0.0,2,0,2,2,0,0.00
204,S,1,3,3,0.0,0.0,2,0,2,2,0,0.00
204,S,1,16,18,0.0,0.0,3,0,3,3,0,0.00
332,S,1,58,56,0.0,0.0,4,0,4,4,0,0.00
332,S,1,13,13,0.0,0.0,4,0,4,4,0,0.00
386,S,1,6,6,0.0,0.1,5,0,5,5,0,0.00
386,S,1,27,27,0.0,0.1,6,0,6,6,0,0.00
530,S,1,78,77,0.0,0.1,6,0,6,6,0,0.00
530,S,1,14,13,0.0,0.1,7,0,7,7,0,0.00
609,S,1,7,7,0.1,0.2,8,0,8,8,0,0.00
610,S,1,44,44,0.1,0.2,9,0,9,9,0,0.00
728,S,1,85,86,0.0,0.1,10,0,10,10,0,0.00
736,S,1,6,7,0.0,0.1,11,0,11,11,0,0.00
782,S,1,35,36,0.0,0.0,11,0,11,11,0,0.00
822,S,1,10,10,-0.1,-0.6,11,0,11,11,0,0.00
822,S,1,29,29,-0.1,-0.6,11,0,11,11,0,0.00
945,S,1,128,129,-0.1,-0.6,9,0,9,9,0,0.00
949,S,1,0,1,-0.1,-0.6,11,0,11,11,0,0.00
999,S,1,54,54,-0.2,-0.8,10,0,10,10,0,0.00
1039,S,1,12,12,-0.3,-1.6,10,0,10,10,0,0.00
1040,S,1,29,30,-0.3,-1.6,10,0,10,10,0,0.00
1163,S,1,127,128,-0.3,-1.3,9,0,9,9,0,0.00
1166,S,1,3,3,-0.3,-1.3,10,0,10,10,0,0.00
1217,S,1,48,50,-0.3,-1.1,10,0,10,10,0,0.00
1258,S,1,12,12,-0.3,-0.9,10,0,10,10,0,0.00
1258,S,1,26,26,-0.3,-0.9,10,0,10,10,0,0.00
1381,S,1,124,125,-0.3,-0.8,9,0,9,9,0,0.00
1384,S,1,19,18,-0.3,-0.8,9,0,9,9,0,0.00
1435,S,1,43,43,-0.4,-0.9,10,0,10,10,0,0.00
1475,S,1,11,11,-0.4,-1.3,11,0,11,11,0,0.00
1475,S,1,32,33,-0.4,-1.3,11,0,11,11,0,0.00
1598,S,1,120,122,-0.5,-1.1,9,0,9,9,0,0.00
1602,S,1,19,19,-0.5,-1.1,10,0,10,10,0,0.00
1652,S,1,41,42,-0.5,-0.9,10,0,10,10,0,0.00
1687,S,1,12,11,-0.5,-1.2,10,0,10,10,0,0.00
1810,S,1,122,121,-0.5,-1.0,9,0,9,9,0,0.00
1814,S,1,19,19,-0.5,-1.0,9,0,9,9,0,0.00
1864,S,1,44,44,-0.6,-1.3,10,0,10,10,0,0.00
1904,S,1,11,12,-0.7,-2.0,11,0,11,11,0,0.00
1904,S,1,34,34,-0.7,-2.0,11,0,11,11,0,0.00
2027,S,1,126,128,-0.7,-1.7,9,1,10,8,0,0.00
2031,S,1,19,18,-0.7,-1.7,10,0,10,10,0,0.00
2081,S,1,41,42,-0.7,-1.5,10,0,10,10,0,0.00
2121,S,1,11,12,-0.7,-0.9,10,0,10,10,0,0.00
2121,S,1,30,29,-0.7,-0.9,10,0,10,10,0,0.00
2244,S,1,120,120,-0.7,-0.8,9,0,9,9,0,0.00
2248,S,1,1,1,-0.7,-0.8,11,0,11,11,0,0.00
2298,S,1,48,48,-0.7,-0.9,11,0,11,11,0,0.00
2339,S,1,12,12,-0.7,-0.8,10,0,10,10,0,0.00
2339,S,1,26,26,-0.7,-0.8,10,0,10,10,0,0.00
2462,S,1,117,118,-0.7,-0.7,9,1,10,8,0,0.00
2466,S,1,4,3,-0.7,-0.7,10,0,10,10,0,0.00
2516,S,1,43,42,-0.7,-0.6,11,0,11,11,0,0.00
2557,S,1,11,10,-0.7,-0.3,11,0,11,11,0,0.00
2557,S,1,23,23,-0.7,-0.3,11,0,11,11,0,0.00
2680,S,1,123,120,-0.6,-0.2,9,0,9,9,0,0.00
2684,S,1,20,20,-0.6,-0.2,10,0,10,10,0,0.00
2734,S,1,44,44,-0.6,-0.1,10,0,10,10,0,0.00
2774,S,1,12,12,-0.6,-0.0,11,0,11,11,0,0.00
2774,S,1,34,34,-0.6,-0.0,11,0,11,11,0,0.00
2897,S,1,132,132,-0.6,-0.0,9,0,9,9,0,0.00
2901,S,1,20,19,-0.6,-0.0,9,0,9,9,0,0.00
2951,S,1,43,41,-0.6,0.1,10,0,10,10,0,0.00
2986,S,1,12,12,-0.5,0.7,10,0,10,10,0,0.00
3109,S,1,120,118,-0.5,0.7,9,0,9,9,0,0.00
3113,S,1,17,18,-0.5,0.7,9,0,9,9,0,0.00
3163,S,1,41,41,-0.4,1.0,10,0,10,10,0,0.00
3203,S,1,12,11,-0.3,1.9,11,0,11,11,0,0.00
3203,S,1,31,32,-0.3,1.9,11,0,11,11,0,0.00
3326,S,1,126,125,-0.2,1.7,9,0,9,9,0,0.00
3330,S,1,19,18,-0.2,1.7,10,0,10,10,0,0.00
3380,S,1,39,38,-0.2,1.5,10,0,10,10,0,0.00
3420,S,1,11,11,-0.2,1.7,10,0,10,10,0,0.00
3420,S,1,27,27,-0.2,1.7,10,0,10,10,0,0.00
3544,S,1,115,112,-0.1,1.5,9,0,9,9,0,0.00
3547,S,1,1,2,-0.1,1.5,11,0,11,11,0,0.00
3598,S,1,46,46,-0.1,1.5,11,0,11,11,0,0.00
3638,S,1,11,11,0.0,2.2,11,0,11,11,0,0.00
3639,S,1,27,27,0.0,2.2,10,0,10,10,0,0.00
3762,S,1,126,125,0.1,2.0,9,0,9,9,0,0.00
3765,S,1,20,19,0.1,2.0,9,0,9,9,0,0.00
3816,S,1,45,45,0.1,1.6,10,0,10,10,0,0.00
3857,S,1,11,11,0.1,1.6,10,0,10,10,0,0.00
3857,S,1,24,23,0.1,1.6,10,0,10,10,0,0.00
3980,S,1,117,117,0.1,1.4,9,0,9,9,0,0.00
3984,S,1,18,18,0.1,1.4,9,0,9,9,0,0.00
4034,S,1,41,41,0.2,1.4,10,0,10,10,0,0.00
4074,S,1,10,11,0.3,2.0,11,0,11,11,0,0.00
4074,S,1,31,30,0.3,2.0,11,0,11,11,0,0.00
4197,S,1,124,124,0.3,1.8,9,0,9,9,0,0.00
4201,S,1,19,18,0.3,1.8,10,0,10,10,0,0.00
4251,S,1,40,40,0.4,1.7,10,0,10,10,0,0.00
4286,S,1,11,11,0.4,1.4,10,0,10,10,0,0.00
4409,S,1,113,113,0.4,1.2,9,0,9,9,0,0.00
4413,S,1,17,18,0.4,1.2,10,0,10,10,0,0.00
4463,S,1,39,40,0.3,0.8,10,0,10,10,0,0.00
4503,S,1,10,11,0.3,0.4,11,0,11,11,0,0.00
4503,S,1,31,30,0.3,0.4,11,0,11,11,0,0.00
4626,S,1,124,121,0.3,0.3,9,0,9,9,0,0.00
4630,S,1,19,19,0.3,0.3,10,0,10,10,0,0.00
4680,S,1,41,41,0.3,0.4,10,0,10,10,0,0.00
