t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
206,S,1,27,35,0.1,0.0,2,0,2,2,0,0.00
206,S,1,59,53,0.1,0.0,2,0,2,2,0,0.00
325,S,1,78,75,0.4,0.3,3,0,3,3,0,0.00
333,S,1,6,6,0.4,0.3,3,0,3,3,0,0.00
379,S,1,30,28,0.4,0.7,5,0,5,5,0,0.00
414,S,1,8,7,0.8,3.0,5,0,5,5,0,0.00
537,S,1,90,84,0.9,2.7,6,-1,5,7,0,0.00
541,S,1,14,12,0.9,2.7,7,0,7,7,0,0.00
591,S,1,32,29,1.0,3.2,9,-1,8,10,0,0.00
631,S,1,8,9,1.4,5.7,10,-1,9,11,0,0.00
631,S,1,24,24,1.4,5.7,11,-1,10,12,0,0.00
754,S,1,106,110,1.6,5.1,10,-1,9,11,0,0.00
758,S,1,19,19,1.6,5.1,10,-1,9,11,0,0.00
808,S,1,40,44,1.7,4.7,10,-1,9,11,0,0.00
848,S,1,11,12,1.5,2.7,11,-1,10,12,0,0.00
848,S,1,29,33,1.5,2.7,10,-1,9,11,0,0.00
1006,S,1,119,130,0.9,1.5,9,-1,8,10,0,0.00
1007,S,1,53,58,0.9,1.5,9,-1,8,10,0,0.00
1042,S,1,20,20,0.1,-4.0,10,0,10,10,0,0.00
1170,S,1,124,128,-0.1,-3.7,10,0,10,10,0,0.00
1174,S,1,3,3,-0.1,-3.7,11,0,11,11,0,0.00
1224,S,1,50,52,-0.3,-4.6,11,0,11,11,0,0.00
1265,S,1,12,13,-0.7,-6.4,10,0,10,10,0,0.00
1265,S,1,27,29,-0.7,-6.4,10,0,10,10,0,0.00
1388,S,1,127,134,-0.8,-5.8,9,1,10,8,0,0.00
1391,S,1,20,20,-0.8,-5.8,9,0,9,9,0,0.00
1442,S,1,44,48,-1.0,-6.1,10,0,10,10,0,0.00
1499,S,1,11,13,-1.8,-10.5,11,0,11,11,0,0.00
1499,S,1,54,56,-1.8,-10.5,11,1,12,10,0,0.00
1617,S,1,131,132,-1.9,-9.2,9,1,10,8,0,0.00
1626,S,1,6,6,-1.9,-9.2,10,1,11,9,0,0.00
1666,S,1,42,39,-2.0,-8.4,10,1,11,9,0,0.00
1706,S,1,12,11,-1.9,-6.7,10,1,11,9,0,0.00
