t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
164,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
164,S,1,2,0,0.0,0.0,4,0,4,4,0,0.00
216,S,1,1,1,0.0,0.0,4,0,4,4,0,0.00
216,S,1,0,1,0.0,0.0,5,0,5,5,0,0.00
347,S,1,11,10,0.0,0.0,7,0,7,7,0,0.00
347,S,1,4,4,0.0,0.0,7,0,7,7,0,0.00
432,S,1,2,1,0.0,0.0,8,0,8,8,0,0.00
432,S,1,25,23,0.0,0.0,9,0,9,9,0,0.00
562,S,1,62,58,0.0,0.0,9,0,9,9,0,0.00
562,S,1,17,15,0.0,0.0,10,0,10,10,0,0.00
648,S,1,7,6,0.0,0.0,10,0,10,10,0,0.00
648,S,1,61,58,0.0,0.0,11,0,11,11,0,0.00
779,S,1,108,103,0.0,0.0,11,0,11,11,0,0.00
779,S,1,27,27,0.0,0.0,11,0,11,11,0,0.00
855,S,1,12,12,0.0,0.0,11,0,11,11,0,0.00
856,S,1,74,72,0.0,0.0,11,0,11,11,0,0.00
995,S,1,136,126,0.0,0.0,9,0,9,9,0,0.00
995,S,1,39,37,0.0,0.0,10,0,10,10,0,0.00
1072,S,1,12,12,0.0,0.0,10,0,10,10,0,0.00
1072,S,1,71,64,0.0,0.0,10,0,10,10,0,0.00
1210,S,1,122,112,0.0,0.0,9,0,9,9,0,0.00
1211,S,1,35,33,0.0,0.0,10,0,10,10,0,0.00
1287,S,1,73,69,0.0,0.0,11,0,11,11,0,0.00
1426,S,1,133,121,0.0,0.0,9,0,9,9,0,0.00
1426,S,1,40,36,0.0,0.0,10,0,10,10,0,0.00
1503,S,1,12,11,0.0,0.0,10,0,10,10,0,0.00
1503,S,1,73,66,0.0,0.0,10,0,10,10,0,0.00
1642,S,1,122,114,0.0,0.0,9,0,9,9,0,0.00
1642,S,1,36,33,0.0,0.0,10,0,10,10,0,0.00
1719,S,1,12,11,0.0,0.0,11,0,11,11,0,0.00
1719,S,1,76,72,0.0,0.0,11,0,11,11,0,0.00
1858,S,1,134,124,0.0,0.0,9,0,9,9,0,0.00
1858,S,1,39,36,0.0,0.0,10,0,10,10,0,0.00
1934,S,1,13,11,0.0,0.0,11,0,11,11,0,0.00
1935,S,1,76,69,0.0,0.0,10,0,10,10,0,0.00
2074,S,1,127,116,0.0,0.0,9,0,9,9,0,0.00
2074,S,1,37,34,0.0,0.0,10,0,10,10,0,0.00
2151,S,1,12,10,0.0,0.0,10,0,10,10,0,0.00
2151,S,1,64,58,0.0,0.0,10,0,10,10,0,0.00
2290,S,1,119,108,0.0,0.0,9,0,9,9,0,0.00
2290,S,1,35,32,0.0,0.0,10,0,10,10,0,0.00
2367,S,1,11,10,0.0,0.0,11,0,11,11,0,0.00
2367,S,1,71,66,0.0,0.0,11,0,11,11,0,0.00
2506,S,1,127,119,0.0,0.0,9,0,9,9,0,0.00
2506,S,1,39,35,0.0,0.0,10,0,10,10,0,0.00
2583,S,1,12,11,0.0,0.0,11,0,11,11,0,0.00
2583,S,1,71,66,0.0,0.0,10,0,10,10,0,0.00
2722,S,1,126,115,0.0,0.0,9,0,9,9,0,0.00
