t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
141,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
141,S,1,10,10,0.0,0.0,2,0,2,2,0,0.00
199,S,1,3,5,-0.0,-0.0,2,0,2,2,0,0.00
199,S,1,16,17,-0.0,-0.0,4,0,4,4,0,0.00
366,S,1,62,56,0.1,0.1,4,0,4,4,0,0.00
367,S,1,45,39,0.1,0.1,5,0,5,5,0,0.00
402,S,1,15,14,0.6,3.6,6,0,6,6,0,0.00
520,S,1,89,79,0.8,3.4,6,-1,5,7,0,0.00
528,S,1,2,2,0.8,3.4,8,0,8,8,0,0.00
595,S,1,54,47,1.6,8.3,9,-1,8,10,0,0.00
719,S,1,104,98,2.0,7.6,9,-1,8,10,0,0.00
727,S,1,3,2,2.0,7.6,11,-1,10,12,0,0.00
773,S,1,42,39,2.1,7.4,12,-1,11,13,0,0.00
814,S,1,11,11,2.6,9.7,11,-1,10,12,0,0.00
814,S,1,25,23,2.6,9.7,11,-1,10,12,0,0.00
936,S,1,130,124,2.8,8.7,10,-2,8,12,0,0.00
941,S,1,19,19,2.8,8.7,10,-2,8,12,0,0.00
990,S,1,43,47,3.0,8.9,11,-2,9,13,0,0.00
1030,S,1,12,13,3.5,10.9,11,-2,9,13,0,0.00
1030,S,1,33,36,3.5,10.9,11,-2,9,13,0,0.00
1153,S,1,131,142,3.5,9.4,9,-3,6,12,0,0.00
1157,S,1,19,23,3.5,9.4,10,-2,8,12,0,0.00
1207,S,1,39,47,3.4,7.0,10,-2,8,12,0,0.00
1247,S,1,11,13,2.3,-1.1,11,-2,9,13,0,0.00
1248,S,1,29,35,2.3,-1.1,11,-1,10,12,0,0.00
1405,S,1,125,148,0.9,-2.8,9,-1,8,10,0,0.00
1406,S,1,56,69,0.9,-2.8,9,-1,8,10,0,0.00
1441,S,1,20,25,-0.9,-15.4,10,0,10,10,0,0.00
1565,S,1,130,146,-1.6,-14.0,9,1,10,8,0,0.00
1573,S,1,9,9,-1.6,-14.0,10,1,11,9,0,0.00
1624,S,1,50,48,-1.9,-14.0,10,1,11,9,0,0.00
1663,S,1,12,12,-3.2,-21.2,11,1,12,10,0,0.00
1664,S,1,26,25,-3.2,-21.2,11,1,12,10,0,0.00
1787,S,1,137,135,-3.4,-18.6,9,2,11,7,0,0.00
1790,S,1,21,20,-3.4,-18.6,10,1,11,9,0,0.00
1841,S,1,51,42,-3.4,-15.9,10,2,12,8,0,0.00
