t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,14,-3,11,17,0,0.00
185,S,1,56,81,0.0,0.0,14,-3,11,17,0,0.00
185,S,1,82,96,0.0,0.0,12,-3,9,15,0,0.00
327,S,1,126,160,-0.5,-0.6,10,-3,7,13,0,0.00
327,S,1,24,33,-0.5,-0.6,10,-3,7,13,0,0.00
406,S,1,12,14,-3.2,-19.2,11,-3,8,14,0,0.00
407,S,1,78,105,-3.2,-19.2,10,3,13,7,0,0.00
525,S,1,140,131,-4.4,-18.1,9,5,14,4,0,0.00
533,S,1,2,1,-4.4,-18.1,11,4,15,7,0,0.00
579,S,1,58,46,-5.0,-19.3,11,5,16,6,0,0.00
619,S,1,15,11,-6.0,-23.5,11,5,16,6,0,0.00
619,S,1,33,23,-6.0,-23.5,11,7,18,4,0,0.00
742,S,1,182,114,-5.0,-19.0,9,8,17,1,0,0.00
746,S,1,31,19,-5.0,-19.0,9,6,15,3,0,0.00
797,S,1,70,41,-4.1,-9.5,10,2,12,8,0,0.00
837,S,1,18,10,-0.5,17.0,11,2,13,9,0,0.00
837,S,1,52,33,-0.5,17.0,10,-8,2,18,0,0.00
961,S,1,150,151,3.3,19.6,9,-9,0,18,0,0.00
964,S,1,19,26,3.3,19.6,9,-10,0,19,0,0.00
1015,S,1,25,65,5.1,29.6,10,-10,0,20,0,0.00
1056,S,1,6,18,5.9,30.6,11,-10,1,21,0,0.00
1056,S,1,21,53,5.9,30.6,11,-8,3,19,0,0.00
1179,S,1,94,217,2.6,22.0,9,-10,0,19,0,0.00
1183,S,1,13,37,2.6,22.0,9,-7,2,16,0,0.00
1233,S,1,32,76,-0.4,-2.1,9,3,12,6,0,0.00
1272,S,1,11,20,-4.0,-27.0,10,3,13,7,0,0.00
1272,S,1,28,39,-4.0,-27.0,10,13,23,0,0,0.00
1395,S,1,174,88,-14.0,-36.3,9,14,23,0,0,0.00
1399,S,1,5,1,-14.0,-36.3,10,18,28,0,0,0.00
1465,S,1,136,7,-11.2,-11.2,10,7,17,3,0,0.00
1589,S,1,265,43,-6.5,-3.9,9,8,17,1,0,0.00
1597,S,1,29,6,-6.5,-3.9,9,5,14,4,0,0.00
1643,S,1,77,18,-3.7,16.3,10,-2,8,12,0,0.00
1683,S,1,19,6,-0.1,39.2,10,-2,8,12,0,0.00
1683,S,1,46,18,-0.1,39.2,10,-10,0,20,0,0.00
1806,S,1,98,143,18.6,58.1,9,-13,0,22,0,0.00
1810,S,1,1,2,18.6,58.1,11,-20,0,31,0,0.00
1860,S,1,7,100,22.2,75.2,11,-20,0,31,0,0.00
1900,S,1,1,27,21.3,59.0,10,-20,0,30,0,0.00
1900,S,1,1,61,21.3,59.0,10,-15,0,25,0,0.00
2023,S,1,1,290,16.2,43.9,9,-18,0,27,0,0.00
