t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
16,S,1,0,0,0.0,0.0,2,1,3,1,0,0.00
156,S,1,41,44,0.0,0.0,2,0,2,2,0,0.00
156,S,1,18,20,0.0,0.0,3,0,3,3,0,0.00
215,S,1,5,6,0.0,0.0,3,0,3,3,0,0.00
215,S,1,24,26,0.0,0.0,4,0,4,4,0,0.00
342,S,1,66,73,-0.2,-0.3,5,0,5,5,0,0.00
342,S,1,15,16,-0.2,-0.3,5,0,5,5,0,0.00
395,S,1,7,8,-0.4,-1.6,6,0,6,6,0,0.00
396,S,1,30,31,-0.4,-1.6,7,0,7,7,0,0.00
557,S,1,102,109,-1.1,-4.1,7,1,8,6,0,0.00
562,S,1,11,13,-1.1,-4.1,8,1,9,7,0,0.00
611,S,1,28,28,-1.3,-4.6,10,1,11,9,0,0.00
741,S,1,100,97,-1.8,-4.6,11,1,12,10,0,0.00
741,S,1,20,21,-1.8,-4.6,11,1,12,10,0,0.00
795,S,1,10,9,-1.9,-4.7,11,1,12,10,0,0.00
795,S,1,41,42,-1.9,-4.7,11,1,12,10,0,0.00
836,S,1,11,11,-1.7,-3.1,12,1,13,11,0,0.00
958,S,1,154,152,-1.7,-2.6,10,1,11,9,0,0.00
962,S,1,20,19,-1.7,-2.6,10,1,11,9,0,0.00
1033,S,1,66,62,-1.6,-1.5,10,1,11,9,0,0.00
1151,S,1,120,108,-1.4,-1.1,9,1,10,8,0,0.00
1159,S,1,5,4,-1.4,-1.1,10,1,11,9,0,0.00
1205,S,1,44,39,-1.3,-0.5,11,1,12,10,0,0.00
1244,S,1,11,11,-0.5,5.3,12,1,13,11,0,0.00
1244,S,1,35,30,-0.5,5.3,11,0,11,11,0,0.00
1402,S,1,132,120,0.4,5.8,10,-1,9,11,0,0.00
1402,S,1,61,57,0.4,5.8,10,-1,9,11,0,0.00
1433,S,1,12,11,1.1,9.7,11,-1,10,12,0,0.00
1442,S,1,4,3,1.1,9.7,11,-2,9,13,0,0.00
1566,S,1,127,131,1.2,8.4,10,-2,8,12,0,0.00
1570,S,1,18,22,1.2,8.4,10,-2,8,12,0,0.00
1625,S,1,43,52,1.3,8.1,11,-1,10,12,0,0.00
1770,S,1,134,153,1.0,6.6,10,-2,8,12,0,0.00
