t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
118,S,1,28,31,0.0,0.0,2,0,2,2,0,0.00
126,S,1,2,2,0.0,0.0,3,0,3,3,0,0.00
195,S,1,27,27,0.0,0.0,4,0,4,4,0,0.00
331,S,1,59,55,-0.1,-0.1,5,0,5,5,0,0.00
331,S,1,15,14,-0.1,-0.1,5,0,5,5,0,0.00
389,S,1,6,6,-0.0,0.4,6,0,6,6,0,0.00
390,S,1,29,28,-0.0,0.4,7,0,7,7,0,0.00
526,S,1,77,76,0.1,0.5,8,0,8,8,0,0.00
527,S,1,14,15,0.1,0.5,9,0,9,9,0,0.00
605,S,1,44,44,0.3,1.5,11,0,11,11,0,0.00
724,S,1,95,96,0.3,1.3,11,0,11,11,0,0.00
732,S,1,0,0,0.3,1.3,12,0,12,12,0,0.00
778,S,1,49,49,0.3,1.0,12,0,12,12,0,0.00
814,S,1,12,12,0.2,0.6,11,0,11,11,0,0.00
937,S,1,130,127,0.2,0.5,10,0,10,10,0,0.00
940,S,1,19,20,0.2,0.5,10,0,10,10,0,0.00
1012,S,1,65,65,0.3,1.1,10,0,10,10,0,0.00
1131,S,1,116,115,0.4,1.1,9,0,9,9,0,0.00
1140,S,1,3,3,0.4,1.1,11,0,11,11,0,0.00
1206,S,1,65,65,0.5,1.6,11,0,11,11,0,0.00
1331,S,1,124,123,0.5,1.3,9,0,9,9,0,0.00
1339,S,1,3,3,0.5,1.3,11,0,11,11,0,0.00
1406,S,1,67,66,0.5,1.1,11,0,11,11,0,0.00
1531,S,1,127,126,0.6,1.1,9,0,9,9,0,0.00
1539,S,1,4,3,0.6,1.1,11,0,11,11,0,0.00
1606,S,1,71,69,0.8,2.2,11,-1,10,12,0,0.00
1731,S,1,134,136,0.8,2.0,9,-1,8,10,0,0.00
1739,S,1,3,3,0.8,2.0,11,-1,10,12,0,0.00
1785,S,1,47,49,0.8,1.7,11,0,11,11,0,0.00
1826,S,1,12,12,0.6,-0.3,11,0,11,11,0,0.00
1826,S,1,24,25,0.6,-0.3,11,0,11,11,0,0.00
1949,S,1,125,126,0.4,-0.5,9,0,9,9,0,0.00
1953,S,1,19,19,0.4,-0.5,10,0,10,10,0,0.00
2024,S,1,67,65,0.3,-0.6,10,0,10,10,0,0.00
2144,S,1,123,121,0.4,-0.5,10,0,10,10,0,0.00
2152,S,1,1,1,0.4,-0.5,12,0,12,12,0,0.00
2198,S,1,50,53,0.4,-0.4,11,0,11,11,0,0.00
2233,S,1,11,12,0.4,-0.3,11,0,11,11,0,0.00
2356,S,1,120,117,0.4,-0.3,10,0,10,10,0,0.00
2360,S,1,18,18,0.4,-0.3,10,0,10,10,0,0.00
2430,S,1,65,63,0.6,1.2,10,-1,9,11,0,0.00
2550,S,1,123,121,0.6,1.1,9,-1,8,10,0,0.00
2559,S,1,5,5,0.6,1.1,10,-1,9,11,0,0.00
2625,S,1,65,68,0.6,0.7,10,0,10,10,0,0.00
2750,S,1,123,126,0.5,0.5,9,0,9,9,0,0.00
2758,S,1,5,5,0.5,0.5,10,0,10,10,0,0.00
2804,S,1,43,44,0.4,0.1,11,0,11,11,0,0.00
2845,S,1,12,12,0.4,-0.6,11,0,11,11,0,0.00
2845,S,1,35,35,0.4,-0.6,11,0,11,11,0,0.00
2968,S,1,130,128,0.3,-0.6,10,0,10,10,0,0.00
2972,S,1,20,20,0.3,-0.6,10,0,10,10,0,0.00
3022,S,1,43,43,0.3,-0.6,11,0,11,11,0,0.00
3061,S,1,11,12,0.3,-0.1,11,0,11,11,0,0.00
3061,S,1,31,31,0.3,-0.1,11,0,11,11,0,0.00
3185,S,1,123,125,0.4,-0.0,9,0,9,9,0,0.00
3188,S,1,19,19,0.4,-0.0,10,0,10,10,0,0.00
3255,S,1,58,56,0.3,-0.7,10,0,10,10,0,0.00
3378,S,1,125,123,0.3,-0.6,9,0,9,9,0,0.00
3387,S,1,7,6,0.3,-0.6,10,0,10,10,0,0.00
3453,S,1,64,63,0.3,-0.5,10,0,10,10,0,0.00
3578,S,1,132,132,0.3,-0.4,10,0,10,10,0,0.00
3586,S,1,7,8,0.3,-0.4,10,0,10,10,0,0.00
3653,S,1,70,69,0.4,0.1,10,0,10,10,0,0.00
3778,S,1,139,139,0.4,0.0,9,0,9,9,0,0.00
3786,S,1,8,7,0.4,0.0,10,0,10,10,0,0.00
3853,S,1,71,72,0.3,-0.4,10,0,10,10,0,0.00
3978,S,1,134,134,0.4,-0.3,9,0,9,9,0,0.00
3986,S,1,8,7,0.4,-0.3,10,0,10,10,0,0.00
4053,S,1,67,66,0.4,0.4,10,0,10,10,0,0.00
4178,S,1,132,131,0.4,0.4,9,0,9,9,0,0.00
4186,S,1,7,7,0.4,0.4,10,0,10,10,0,0.00
4253,S,1,67,68,0.4,0.2,10,0,10,10,0,0.00
4378,S,1,136,133,0.4,0.1,9,0,9,9,0,0.00
4386,S,1,8,8,0.4,0.1,10,0,10,10,0,0.00
4453,S,1,71,68,0.5,1.0,10,-1,9,11,0,0.00
4578,S,1,136,141,0.6,0.9,9,-1,8,10,0,0.00
4586,S,1,7,8,0.6,0.9,10,-1,9,11,0,0.00
4632,S,1,42,46,0.6,0.9,10,-1,9,11,0,0.00
