HB:t=141,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=141,m=S,run=1,el=11,er=10,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=199,m=S,run=1,el=3,er=3,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=200,m=S,run=1,el=14,er=16,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=327,m=S,run=1,el=52,er=67,yaw=-0.0,yr=-0.0,pc=4,hd=0,OL=4,OR=4
HB:t=328,m=S,run=1,el=12,er=16,yaw=-0.0,yr=-0.0,pc=5,hd=0,OL=5,OR=5
HB:t=386,m=S,run=1,el=29,er=39,yaw=-0.1,yr=-0.7,pc=7,hd=0,OL=7,OR=7
HB:t=566,m=S,run=1,el=69,er=94,yaw=-2.2,yr=-3.1,pc=7,hd=0,OL=7,OR=7
HB:t=566,m=S,run=1,el=41,er=54,yaw=-2.2,yr=-3.1,pc=9,hd=1,OL=10,OR=8
HB:t=602,m=S,run=1,el=7,er=9,yaw=-4.1,yr=-15.5,pc=10,hd=1,OL=11,OR=9
HB:t=720,m=S,run=1,el=108,er=105,yaw=-4.6,yr=-14.1,pc=10,hd=5,OL=15,OR=5
HB:t=729,m=S,run=1,el=10,er=8,yaw=-4.6,yr=-14.1,pc=11,hd=5,OL=16,OR=6
HB:t=795,m=S,run=1,el=73,er=59,yaw=-5.4,yr=-17.9,pc=11,hd=5,OL=16,OR=6
HB:t=919,m=S,run=1,el=163,er=116,yaw=-4.9,yr=-14.7,pc=9,hd=6,OL=15,OR=3
HB:t=927,m=S,run=1,el=19,er=12,yaw=-4.9,yr=-14.7,pc=10,hd=5,OL=15,OR=5
HB:t=994,m=S,run=1,el=90,er=58,yaw=-1.6,yr=10.6,pc=10,hd=-1,OL=9,OR=11
HB:t=1119,m=S,run=1,el=151,er=128,yaw=0.5,yr=11.6,pc=9,hd=-1,OL=8,OR=10
HB:t=1127,m=S,run=1,el=16,er=12,yaw=0.5,yr=11.6,pc=9,hd=-2,OL=7,OR=11
HB:t=1194,m=S,run=1,el=63,er=57,yaw=4.0,yr=34.6,pc=10,hd=-4,OL=6,OR=14
HB:t=1319,m=S,run=1,el=119,er=133,yaw=4.5,yr=30.4,pc=9,hd=-6,OL=3,OR=15
HB:t=1327,m=S,run=1,el=14,er=16,yaw=4.5,yr=30.4,pc=10,hd=-4,OL=6,OR=14
HB:t=1393,m=S,run=1,el=59,er=78,yaw=3.8,yr=21.0,pc=10,hd=-3,OL=7,OR=13
HB:t=1519,m=S,run=1,el=116,er=155,yaw=2.7,yr=16.8,pc=9,hd=-4,OL=5,OR=13
