HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=164,m=S,run=1,el=21,er=27,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=164,m=S,run=1,el=18,er=30,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=216,m=S,run=1,el=4,er=6,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=216,m=S,run=1,el=15,er=25,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=355,m=S,run=1,el=48,er=72,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=355,m=S,run=1,el=17,er=20,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=432,m=S,run=1,el=5,er=6,yaw=0.0,yr=0.0,pc=7,hd=0,OL=7,OR=7
HB:t=432,m=S,run=1,el=39,er=39,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=571,m=S,run=1,el=71,er=56,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=571,m=S,run=1,el=24,er=16,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=648,m=S,run=1,el=8,er=6,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=648,m=S,run=1,el=54,er=33,yaw=0.0,yr=0.0,pc=12,hd=0,OL=12,OR=12
HB:t=787,m=S,run=1,el=120,er=75,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=787,m=S,run=1,el=41,er=26,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=863,m=S,run=1,el=13,er=9,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=864,m=S,run=1,el=74,er=47,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1003,m=S,run=1,el=141,er=92,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1003,m=S,run=1,el=42,er=29,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1080,m=S,run=1,el=13,er=9,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1080,m=S,run=1,el=83,er=58,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1218,m=S,run=1,el=139,er=99,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1219,m=S,run=1,el=41,er=31,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1295,m=S,run=1,el=77,er=56,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1434,m=S,run=1,el=143,er=110,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1434,m=S,run=1,el=43,er=32,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1511,m=S,run=1,el=13,er=10,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1511,m=S,run=1,el=87,er=67,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1650,m=S,run=1,el=139,er=108,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1650,m=S,run=1,el=39,er=30,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1727,m=S,run=1,el=12,er=9,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1727,m=S,run=1,el=75,er=59,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1866,m=S,run=1,el=132,er=102,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1866,m=S,run=1,el=37,er=30,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1942,m=S,run=1,el=12,er=10,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1943,m=S,run=1,el=77,er=62,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=2082,m=S,run=1,el=133,er=105,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2082,m=S,run=1,el=42,er=33,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2159,m=S,run=1,el=13,er=10,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=2159,m=S,run=1,el=80,er=64,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2298,m=S,run=1,el=136,er=109,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=2298,m=S,run=1,el=39,er=32,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2375,m=S,run=1,el=12,er=10,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2375,m=S,run=1,el=73,er=57,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2514,m=S,run=1,el=131,er=107,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=2514,m=S,run=1,el=38,er=30,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2590,m=S,run=1,el=12,er=11,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=2591,m=S,run=1,el=76,er=65,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2729,m=S,run=1,el=132,er=111,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=2730,m=S,run=1,el=38,er=31,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2806,m=S,run=1,el=69,er=57,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=2944,m=S,run=1,el=122,er=100,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=2944,m=S,run=1,el=36,er=30,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3021,m=S,run=1,el=11,er=10,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=3021,m=S,run=1,el=75,er=63,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=3160,m=S,run=1,el=135,er=113,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=3160,m=S,run=1,el=40,er=34,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3237,m=S,run=1,el=13,er=10,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3237,m=S,run=1,el=75,er=62,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3376,m=S,run=1,el=129,er=107,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=3376,m=S,run=1,el=38,er=31,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3453,m=S,run=1,el=12,er=10,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=3453,m=S,run=1,el=81,er=68,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=3592,m=S,run=1,el=136,er=118,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=3592,m=S,run=1,el=41,er=35,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3669,m=S,run=1,el=12,er=11,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3669,m=S,run=1,el=76,er=65,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3808,m=S,run=1,el=125,er=107,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=3808,m=S,run=1,el=37,er=31,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3885,m=S,run=1,el=11,er=10,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=3885,m=S,run=1,el=69,er=58,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4024,m=S,run=1,el=129,er=109,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=4024,m=S,run=1,el=38,er=34,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4101,m=S,run=1,el=12,er=10,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=4101,m=S,run=1,el=77,er=66,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=4240,m=S,run=1,el=133,er=117,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=4240,m=S,run=1,el=40,er=34,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4317,m=S,run=1,el=12,er=10,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4317,m=S,run=1,el=74,er=61,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4456,m=S,run=1,el=128,er=109,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=4456,m=S,run=1,el=36,er=31,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4533,m=S,run=1,el=12,er=10,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=4533,m=S,run=1,el=78,er=70,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=4672,m=S,run=1,el=50,er=105,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=4672,m=S,run=1,el=0,er=27,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
