t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
122,S,1,36,35,-0.0,0.0,2,0,2,2,0,0.00
126,S,1,8,6,-0.0,0.0,2,0,2,2,0,0.00
229,S,1,60,55,0.3,1.9,3,0,3,3,0,0.00
347,S,1,75,72,0.5,1.9,4,0,4,4,0,0.00
356,S,1,0,0,0.5,1.9,5,0,5,5,0,0.00
401,S,1,31,30,0.5,2.0,7,0,7,7,0,0.00
440,S,1,7,8,0.8,3.5,7,0,7,7,0,0.00
441,S,1,17,15,0.8,3.5,8,-1,7,9,0,0.00
563,S,1,87,84,0.9,3.1,8,-1,7,9,0,0.00
567,S,1,13,14,0.9,3.1,9,-1,8,10,0,0.00
617,S,1,34,34,0.9,3.2,11,-1,10,12,0,0.00
652,S,1,9,10,1.0,3.2,11,-1,10,12,0,0.00
775,S,1,117,115,1.0,2.8,11,-1,10,12,0,0.00
779,S,1,4,4,1.0,2.8,11,-1,10,12,0,0.00
850,S,1,74,74,1.2,3.8,11,-1,10,12,0,0.00
969,S,1,129,126,1.3,3.4,9,-1,8,10,0,0.00
978,S,1,14,14,1.3,3.4,10,-1,9,11,0,0.00
1023,S,1,39,39,1.3,3.1,11,-1,10,12,0,0.00
1064,S,1,11,12,1.4,3.5,11,-1,10,12,0,0.00
1064,S,1,29,28,1.4,3.5,11,-1,10,12,0,0.00
1187,S,1,122,127,1.4,2.9,9,-1,8,10,0,0.00
1191,S,1,1,1,1.4,2.9,11,-1,10,12,0,0.00
1262,S,1,74,74,1.1,0.3,11,-1,10,12,0,0.00
1382,S,1,126,133,1.0,0.1,9,-1,8,10,0,0.00
1390,S,1,7,7,1.0,0.1,10,0,10,10,0,0.00
1436,S,1,42,44,0.9,-0.1,10,0,10,10,0,0.00
1471,S,1,11,11,0.4,-3.8,11,0,11,11,0,0.00
1594,S,1,123,124,0.3,-3.5,10,1,11,9,0,0.00
1598,S,1,19,18,0.3,-3.5,10,1,11,9,0,0.00
1669,S,1,73,71,0.0,-4.6,10,1,11,9,0,0.00
