t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,0,1,1,0,0.00
165,S,1,18,17,0.0,0.0,2,0,0,2,2,0,0.00
165,S,1,22,20,0.0,0.0,3,0,0,3,3,0,0.00
217,S,1,5,4,0.0,0.0,3,0,0,3,3,0,0.00
217,S,1,17,16,0.0,0.0,4,0,0,4,4,0,0.00
356,S,1,61,58,0.0,0.0,5,0,0,5,5,0,0.00
356,S,1,21,19,0.0,1.7,6,-1,-1,5,7,0,0.00
433,S,1,6,6,0.0,1.7,6,-1,-1,5,7,0,0.00
433,S,1,44,39,0.0,2.7,8,-1,-1,7,9,0,0.00
572,S,1,77,75,0.0,2.7,8,-1,-1,7,9,0,0.00
572,S,1,24,23,0.0,4.8,9,-2,-2,7,11,0,0.00
649,S,1,7,7,0.0,4.8,10,-2,-2,8,12,0,0.00
649,S,1,43,47,0.0,3.7,12,-2,-2,10,14,0,0.00
788,S,1,90,107,0.0,3.7,11,-2,-2,9,13,0,0.00
789,S,1,31,39,0.0,2.1,11,-1,-1,10,12,0,0.00
865,S,1,62,77,0.0,-5.9,11,3,3,14,8,0,0.00
1004,S,1,128,116,0.0,-5.9,10,3,3,13,7,0,0.00
1004,S,1,42,33,0.0,-14.3,10,7,7,17,3,0,0.00
1081,S,1,14,11,0.0,-14.3,10,7,7,17,3,0,0.00
1081,S,1,87,60,0.0,-11.7,10,6,6,16,4,0,0.00
1220,S,1,173,106,0.0,-11.7,9,6,6,15,3,0,0.00
1220,S,1,54,32,0.0,9.0,9,-5,-5,4,14,0,0.00
1297,S,1,15,12,0.0,9.0,11,-5,-5,6,16,0,0.00
1297,S,1,85,88,0.0,28.4,10,-14,-14,0,24,0,0.00
1436,S,1,70,189,0.0,28.4,9,-14,-14,0,23,0,0.00
1436,S,1,7,66,0.0,37.1,9,-19,-19,0,28,0,0.00
1513,S,1,1,22,0.0,37.1,10,-19,-19,0,29,0,0.00
1513,S,1,1,155,0.0,-2.7,10,1,1,11,9,0,0.00
1652,S,1,46,207,0.0,-2.7,9,1,1,10,8,0,0.00
1652,S,1,18,47,0.0,-98.7,10,20,20,30,0,0,0.00
1728,S,1,12,11,0.0,-98.7,10,20,20,30,0,0,0.00
