t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
122,S,1,11,28,0.0,0.0,3,0,0,3,3,0,0.00
126,S,1,0,1,0.0,0.0,3,0,0,3,3,0,0.00
204,S,1,16,18,0.0,0.0,5,0,0,5,5,0,0.00
336,S,1,36,30,-0.5,0.0,6,0,0,6,6,0,0.00
336,S,1,12,9,-0.5,0.0,6,0,0,6,6,0,0.00
390,S,1,5,4,-0.6,0.0,7,0,0,7,7,0,0.00
390,S,1,20,16,-0.6,-1.2,8,1,0,9,7,0,0.00
531,S,1,81,67,-0.2,-1.2,8,1,0,9,7,0,0.00
531,S,1,16,13,-0.2,-1.2,9,0,0,9,9,0,0.00
611,S,1,7,7,1.1,-1.2,10,0,0,10,10,0,0.00
611,S,1,57,53,1.1,7.5,11,-3,-2,8,14,0,0.00
730,S,1,95,111,1.4,7.5,11,-3,-2,8,14,0,0.00
738,S,1,4,6,1.4,7.5,11,-3,-2,8,14,0,0.00
784,S,1,37,50,1.4,4.4,11,-2,-1,9,13,0,0.00
824,S,1,10,12,0.4,4.4,12,-2,-1,10,14,0,0.00
825,S,1,32,38,0.4,-10.2,12,3,3,15,9,0,0.00
948,S,1,134,119,-0.4,-10.2,10,3,3,13,7,0,0.00
952,S,1,22,19,-0.4,-10.2,10,3,3,13,7,0,0.00
1023,S,1,80,61,-0.6,-6.1,10,2,2,12,8,0,0.00
1143,S,1,144,110,0.5,-6.1,10,2,2,12,8,0,0.00
1151,S,1,2,2,0.5,-6.1,11,2,2,13,9,0,0.00
1197,S,1,55,43,0.9,1.0,11,-1,0,10,12,0,0.00
1232,S,1,12,11,3.4,1.0,11,-1,0,10,12,0,0.00
1355,S,1,64,159,4.1,35.6,10,-13,-11,0,23,0,0.00
1359,S,1,4,29,4.1,35.6,10,-13,-11,0,23,0,0.00
1409,S,1,3,71,4.8,24.3,11,-10,-7,1,21,0,0.00
1449,S,1,3,22,1.2,24.3,11,-10,-7,1,21,0,0.00
1450,S,1,11,56,1.2,-32.8,11,9,10,20,2,0,0.00
