t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
123,S,1,32,21,0.0,0.0,2,0,0,2,2,0,0.00
127,S,1,7,4,0.0,0.0,3,0,0,3,3,0,0.00
200,S,1,32,18,0.0,0.0,4,0,0,4,4,0,0.00
371,S,1,69,37,1.5,0.0,5,0,0,5,5,0,0.00
371,S,1,46,26,1.5,0.0,6,-1,0,5,7,0,0.00
407,S,1,8,4,4.2,0.0,7,-1,0,6,8,0,0.00
525,S,1,87,80,4.9,12.0,8,-7,-4,1,15,0,0.00
534,S,1,5,6,4.9,12.0,9,-6,-4,3,15,0,0.00
579,S,1,34,39,5.3,10.5,10,-6,-3,4,16,0,0.00
619,S,1,9,12,6.1,10.5,10,-6,-3,4,16,0,0.00
620,S,1,26,34,6.1,13.0,11,-7,-4,4,18,0,0.00
742,S,1,106,160,5.7,13.0,10,-8,-4,2,18,0,0.00
746,S,1,16,27,5.7,13.0,10,-7,-4,3,17,0,0.00
796,S,1,35,61,5.2,6.4,10,-5,-2,5,15,0,0.00
836,S,1,10,18,1.7,6.4,10,-5,-2,5,15,0,0.00
836,S,1,24,42,1.7,-7.5,10,1,2,11,9,0,0.00
959,S,1,116,147,-0.8,-7.5,9,2,2,11,7,0,0.00
963,S,1,2,2,-0.8,-7.5,11,2,2,13,9,0,0.00
1013,S,1,43,48,-2.6,-15.4,11,5,5,16,6,0,0.00
1053,S,1,12,11,-5.6,-15.4,11,6,5,17,5,0,0.00
1054,S,1,26,23,-5.6,-22.8,11,9,7,20,2,0,0.00
1176,S,1,167,107,-6.0,-22.8,9,11,7,20,0,0,0.00
1180,S,1,30,14,-6.0,-22.8,10,9,7,19,1,0,0.00
1230,S,1,75,23,-5.8,-14.9,10,7,4,17,3,0,0.00
1270,S,1,20,6,-2.2,-14.9,11,7,4,18,4,0,0.00
1271,S,1,58,19,-2.2,1.6,11,0,0,11,11,0,0.00
1393,S,1,181,83,3.2,1.6,9,1,0,10,8,0,0.00
1397,S,1,25,13,3.2,1.6,10,-2,0,8,12,0,0.00
1447,S,1,48,30,6.8,13.1,11,-7,-4,4,18,0,0.00
1482,S,1,12,11,10.4,13.1,11,-7,-4,4,18,0,0.00
1605,S,1,65,161,15.1,21.2,10,-14,-6,0,24,0,0.00
1609,S,1,4,30,15.1,21.2,10,-14,-6,0,24,0,0.00
1659,S,1,3,78,15.7,18.4,11,-13,-6,0,24,0,0.00
1699,S,1,0,22,12.1,18.4,11,-13,-6,0,24,0,0.00
1700,S,1,0,66,12.1,0.9,11,-6,0,5,17,0,0.00
1822,S,1,34,241,2.9,0.9,9,-7,0,2,16,0,0.00
1826,S,1,6,36,2.9,0.9,10,-2,0,8,12,0,0.00
1876,S,1,14,66,-0.7,-11.4,10,3,3,13,7,0,0.00
1916,S,1,6,18,-4.3,-11.4,11,3,3,14,8,0,0.00
1917,S,1,14,39,-4.3,-20.0,11,7,6,18,4,0,0.00
2039,S,1,116,130,-23.5,-20.0,9,9,6,18,0,0,0.00
2043,S,1,2,2,-23.5,-20.0,11,16,6,27,0,0,0.00
2093,S,1,72,22,-26.1,-26.0,11,19,8,30,0,0,0.00
2150,S,1,21,4,-23.5,-26.0,11,20,8,31,0,0,0.00
2150,S,1,84,6,-23.5,-6.2,11,12,2,23,0,0,0.00
2268,S,1,267,2,-19.2,-6.2,9,15,2,24,0,0,0.00
2277,S,1,8,0,-19.2,-6.2,10,11,2,21,0,0,0.00
2317,S,1,91,0,-16.5,7.7,10,6,-2,16,4,0,0.00
2357,S,1,25,1,-12.9,7.7,10,6,-2,16,4,0,0.00
2358,S,1,61,11,-12.9,17.4,10,1,-5,11,9,0,0.00
2481,S,1,205,27,6.3,17.4,9,0,-5,9,9,0,0.00
2484,S,1,1,1,6.3,17.4,11,-7,-5,4,18,0,0.00
2535,S,1,57,36,9.9,24.2,11,-11,-7,0,22,0,0.00
2575,S,1,9,11,13.5,24.2,11,-12,-7,0,23,0,0.00
2576,S,1,19,31,13.5,28.9,11,-14,-9,0,25,0,0.00
2734,S,1,34,193,28.5,28.9,10,-18,-9,0,28,0,0.00
2734,S,1,2,122,28.5,28.9,10,-20,-9,0,30,0,0.00
2769,S,1,0,27,24.9,28.9,10,-20,-9,0,30,0,0.00
2774,S,1,0,6,24.9,8.2,11,-14,-2,0,25,0,0.00
2897,S,1,0,318,12.4,8.2,9,-17,-2,0,26,0,0.00
2901,S,1,0,51,12.4,8.2,9,-9,-2,0,18,0,0.00
