t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
122,S,1,28,24,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,8,4,0.0,0.0,3,0,0,3,3,0,0.00
229,S,1,59,31,0.7,0.0,4,0,0,4,4,0,0.00
347,S,1,82,44,2.0,0.0,4,0,0,4,4,0,0.00
356,S,1,10,5,2.0,0.0,5,-1,0,4,6,0,0.00
401,S,1,29,16,2.4,1.9,7,-2,-1,5,9,0,0.00
442,S,1,9,5,5.1,1.9,7,-2,-1,5,9,0,0.00
442,S,1,22,12,5.1,8.9,8,-5,-3,3,13,0,0.00
565,S,1,97,77,6.5,8.9,8,-6,-3,2,14,0,0.00
569,S,1,2,1,6.5,8.9,9,-5,-3,4,14,0,0.00
635,S,1,57,62,8.8,14.2,11,-8,-4,3,19,0,0.00
759,S,1,114,158,8.8,14.2,10,-9,-4,1,19,0,0.00
768,S,1,7,12,8.8,14.2,10,-8,-4,2,18,0,0.00
818,S,1,46,70,8.7,10.1,10,-7,-3,3,17,0,0.00
852,S,1,11,18,5.8,10.1,10,-7,-3,3,17,0,0.00
975,S,1,114,180,4.3,0.1,8,-3,0,5,11,0,0.00
979,S,1,1,1,4.3,0.1,11,-2,0,9,13,0,0.00
1029,S,1,43,65,2.7,-7.4,11,1,2,12,10,0,0.00
1069,S,1,11,15,-0.9,-7.4,10,1,2,11,9,0,0.00
1070,S,1,23,30,-0.9,-13.1,11,4,4,15,7,0,0.00
1192,S,1,133,128,-4.1,-13.1,9,6,4,15,3,0,0.00
1196,S,1,22,18,-4.1,-13.1,10,5,4,15,5,0,0.00
1246,S,1,58,43,-5.3,-15.4,10,7,5,17,3,0,0.00
1286,S,1,15,10,-5.4,-15.4,11,7,5,18,4,0,0.00
1287,S,1,49,32,-5.4,-12.1,11,6,4,17,5,0,0.00
1410,S,1,193,112,-4.1,-12.1,9,7,4,16,2,0,0.00
1413,S,1,31,17,-4.1,-12.1,9,5,4,14,4,0,0.00
1464,S,1,70,38,-2.8,-3.0,10,2,1,12,8,0,0.00
1504,S,1,18,10,0.8,-3.0,11,2,1,13,9,0,0.00
1504,S,1,49,28,0.8,5.3,10,-2,-2,8,12,0,0.00
1627,S,1,151,113,5.9,5.3,9,-3,-2,6,12,0,0.00
1631,S,1,20,18,5.9,5.3,10,-4,-2,6,14,0,0.00
1681,S,1,39,38,8.0,11.4,11,-7,-3,4,18,0,0.00
1722,S,1,11,12,11.0,11.4,11,-7,-3,4,18,0,0.00
1722,S,1,29,35,11.0,16.1,11,-9,-5,2,20,0,0.00
1879,S,1,117,186,10.6,16.1,9,-8,-5,1,17,0,0.00
1880,S,1,56,101,10.6,16.1,9,-8,-5,1,17,0,0.00
1910,S,1,11,20,7.0,16.1,9,-8,-5,1,17,0,0.00
1919,S,1,7,12,7.0,4.6,9,-5,-1,4,14,0,0.00
2044,S,1,118,204,4.8,4.6,8,-5,-1,3,13,0,0.00
2048,S,1,2,4,4.8,4.6,10,-4,-1,6,14,0,0.00
2123,S,1,68,111,1.2,-4.1,9,0,1,9,9,0,0.00
