t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
11,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
156,S,1,37,41,0.0,0.0,2,0,0,2,2,0,0.00
157,S,1,16,23,0.0,0.0,3,0,0,3,3,0,0.00
214,S,1,24,32,-0.0,-0.0,4,0,0,4,4,0,0.00
377,S,1,62,79,-1.0,-0.0,5,0,0,5,5,0,0.00
377,S,1,35,45,-1.0,-0.0,6,0,0,6,6,0,0.00
413,S,1,6,8,-2.2,-0.0,7,0,0,7,7,0,0.00
571,S,1,80,88,-3.1,-7.5,8,4,2,12,4,0,0.00
571,S,1,46,43,-3.1,-7.5,10,4,2,14,6,0,0.00
607,S,1,10,9,-3.6,-7.5,10,4,2,14,6,0,0.00
611,S,1,21,18,-3.6,-9.0,11,4,3,15,7,0,0.00
771,S,1,142,102,-3.2,-9.0,10,5,3,15,5,0,0.00
771,S,1,76,48,-3.2,-9.0,10,4,3,14,6,0,0.00
807,S,1,16,10,-0.7,-9.0,10,4,3,14,6,0,0.00
811,S,1,31,22,-0.7,0.8,10,0,0,10,10,0,0.00
932,S,1,153,122,0.5,0.8,9,0,0,9,9,0,0.00
940,S,1,5,4,0.5,0.8,10,0,0,10,10,0,0.00
1007,S,1,72,60,4.0,8.1,10,-4,-2,6,14,0,0.00
1132,S,1,125,147,4.5,8.1,10,-5,-2,5,15,0,0.00
1139,S,1,5,7,4.5,8.1,10,-4,-2,6,14,0,0.00
1212,S,1,72,97,3.8,3.9,10,-2,0,8,12,0,0.00
1332,S,1,112,152,2.4,3.9,9,-3,0,6,12,0,0.00
1340,S,1,5,6,2.4,3.9,10,-2,0,8,12,0,0.00
1402,S,1,55,74,-0.8,-4.6,10,1,1,11,9,0,0.00
1532,S,1,125,139,-1.7,-4.6,9,2,1,11,7,0,0.00
1539,S,1,6,5,-1.7,-4.6,10,1,1,11,9,0,0.00
1612,S,1,77,68,-3.6,-9.5,10,4,3,14,6,0,0.00
1732,S,1,138,110,-3.8,-9.5,9,5,3,14,4,0,0.00
1740,S,1,7,5,-3.8,-9.5,10,4,3,14,6,0,0.00
1786,S,1,58,41,-3.7,-6.5,10,3,2,13,7,0,0.00
1822,S,1,14,10,-2.1,-6.5,11,4,2,15,7,0,0.00
1944,S,1,152,124,-1.2,2.6,9,1,0,10,8,0,0.00
1948,S,1,2,2,-1.2,2.6,11,0,0,11,11,0,0.00
1998,S,1,57,46,-0.1,6.6,11,-2,-2,9,13,0,0.00
2038,S,1,13,12,2.4,6.6,11,-2,-2,9,13,0,0.00
2039,S,1,27,25,2.4,12.5,11,-5,-4,6,16,0,0.00
2196,S,1,126,148,4.0,12.5,9,-6,-4,3,15,0,0.00
2197,S,1,57,78,4.0,12.5,9,-5,-4,4,14,0,0.00
2232,S,1,27,39,2.8,1.9,10,-1,0,9,11,0,0.00
2394,S,1,120,148,0.8,1.9,9,-2,0,7,11,0,0.00
2395,S,1,49,65,0.8,1.9,9,0,0,9,9,0,0.00
2430,S,1,24,29,-1.6,-6.1,11,2,2,13,9,0,0.00
2594,S,1,124,113,-2.9,-6.1,9,3,2,12,6,0,0.00
2594,S,1,61,54,-2.9,-6.1,10,3,2,13,7,0,0.00
2630,S,1,12,11,-2.9,-6.1,11,3,2,14,8,0,0.00
2634,S,1,29,24,-2.9,-4.8,11,2,1,13,9,0,0.00
2760,S,1,138,117,-2.5,-4.8,9,3,1,12,6,0,0.00
2764,S,1,22,18,-2.5,-4.8,10,2,1,12,8,0,0.00
2835,S,1,77,59,-0.4,3.5,10,0,0,10,10,0,0.00
2990,S,1,138,123,0.7,3.5,10,0,0,10,10,0,0.00
2990,S,1,59,51,0.7,3.5,10,-1,0,9,11,0,0.00
3026,S,1,13,11,2.3,3.5,10,-1,0,9,11,0,0.00
3030,S,1,24,22,2.3,10.1,10,-4,-3,6,14,0,0.00
3155,S,1,119,139,2.9,10.1,9,-5,-3,4,14,0,0.00
3164,S,1,1,2,2.9,10.1,11,-4,-3,7,15,0,0.00
3234,S,1,72,99,2.2,5.6,10,-2,-1,8,12,0,0.00
3355,S,1,119,155,0.9,5.6,9,-3,-1,6,12,0,0.00
3364,S,1,1,1,0.9,5.6,11,-2,-1,9,13,0,0.00
3430,S,1,69,91,-2.6,-3.3,10,1,0,11,9,0,0.00
3555,S,1,122,132,-3.8,-3.3,9,2,0,11,7,0,0.00
3564,S,1,1,2,-3.8,-3.3,11,2,0,13,9,0,0.00
3625,S,1,65,67,-5.7,-9.3,11,5,3,16,6,0,0.00
3755,S,1,145,116,-6.0,-9.3,10,7,3,17,3,0,0.00
3764,S,1,2,1,-6.0,-9.3,11,5,3,16,6,0,0.00
3814,S,1,75,49,-6.0,-7.2,10,5,2,15,5,0,0.00
3853,S,1,17,10,-4.0,-7.2,10,5,2,15,5,0,0.00
3854,S,1,46,28,-4.0,2.1,10,2,0,12,8,0,0.00
3977,S,1,168,105,-2.0,2.1,9,2,0,11,7,0,0.00
3981,S,1,24,16,-2.0,2.1,9,1,0,10,8,0,0.00
4051,S,1,74,50,1.6,9.1,10,-3,-3,7,13,0,0.00
4172,S,1,127,113,5.8,9.1,9,-4,-3,5,13,0,0.00
4180,S,1,5,5,5.8,9.1,10,-5,-3,5,15,0,0.00
4226,S,1,44,50,6.4,9.5,10,-5,-3,5,15,0,0.00
4261,S,1,11,13,7.7,9.5,11,-5,-3,6,16,0,0.00
4384,S,1,111,168,7.4,14.6,9,-8,-4,1,17,0,0.00
4388,S,1,2,4,7.4,14.6,10,-7,-4,3,17,0,0.00
4459,S,1,62,116,3.8,3.5,10,-2,0,8,12,0,0.00
4614,S,1,102,183,-1.5,3.5,8,-2,0,6,10,0,0.00
4614,S,1,40,71,-1.5,3.5,9,0,0,9,9,0,0.00
4650,S,1,9,13,-5.1,3.5,10,0,0,10,10,0,0.00
4654,S,1,20,32,-5.1,-4.9,10,3,1,13,7,0,0.00
4818,S,1,126,127,-10.1,-4.9,9,5,1,14,4,0,0.00
4818,S,1,66,54,-10.1,-4.9,10,5,1,15,5,0,0.00
4854,S,1,13,10,-10.4,-4.9,10,5,1,15,5,0,0.00
4858,S,1,4,2,-10.4,-5.9,11,6,2,17,5,0,0.00
5018,S,1,176,115,-9.0,-5.9,9,7,2,16,2,0,0.00
5019,S,1,89,52,-9.0,-5.9,9,6,2,15,3,0,0.00
5054,S,1,17,10,-5.4,-5.9,10,6,2,16,4,0,0.00
5058,S,1,4,3,-5.4,3.1,10,2,0,12,8,0,0.00
5184,S,1,180,105,-3.2,3.1,9,2,0,11,7,0,0.00
5188,S,1,3,2,-3.2,3.1,10,1,0,11,9,0,0.00
5259,S,1,85,53,0.4,9.8,10,-3,-3,7,13,0,0.00
5379,S,1,125,112,5.9,9.8,9,-4,-3,5,13,0,0.00
5388,S,1,7,8,5.9,9.8,10,-5,-3,5,15,0,0.00
5433,S,1,38,47,6.5,10.2,10,-5,-3,5,15,0,0.00
5473,S,1,10,14,7.8,10.2,10,-6,-3,4,16,0,0.00
5474,S,1,29,38,7.8,15.2,10,-7,-5,3,17,0,0.00
5631,S,1,115,175,6.2,15.2,9,-8,-5,1,17,0,0.00
