t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
122,S,1,35,37,0.0,0.0,2,0,0,2,2,0,0.00
127,S,1,8,7,0.0,0.0,2,0,0,2,2,0,0.00
229,S,1,57,56,-0.0,0.1,3,0,0,3,3,0,0.00
347,S,1,78,75,0.0,0.1,4,0,0,4,4,0,0.00
356,S,1,9,8,0.0,0.1,4,0,0,4,4,0,0.00
453,S,1,74,73,0.2,-0.3,6,0,0,6,6,0,0.00
641,S,1,85,83,0.4,-0.5,6,0,0,6,6,0,0.00
641,S,1,62,61,0.4,0.1,8,0,0,8,8,0,0.00
770,S,1,79,79,0.4,0.5,9,0,0,9,9,0,0.00
779,S,1,5,5,0.4,0.6,11,0,0,11,11,0,0.00
884,S,1,85,87,0.3,-0.3,11,0,0,11,11,0,0.00
1002,S,1,114,116,0.3,-0.8,10,0,0,10,10,0,0.00
1010,S,1,6,5,0.3,-1.1,10,0,0,10,10,0,0.00
1116,S,1,114,114,0.2,-0.1,9,0,0,9,9,0,0.00
1235,S,1,115,114,0.2,0.4,9,0,0,9,9,0,0.00
1243,S,1,3,3,0.2,0.8,11,0,0,11,11,0,0.00
1350,S,1,110,109,0.3,0.2,10,0,0,10,10,0,0.00
1468,S,1,119,119,0.2,-0.0,9,0,0,9,9,0,0.00
1476,S,1,12,13,0.2,-0.2,10,0,0,10,10,0,0.00
1573,S,1,92,93,0.1,-1.0,10,0,0,10,10,0,0.00
1762,S,1,113,113,0.0,-1.3,9,0,0,9,9,0,0.00
1762,S,1,80,81,0.0,-1.4,9,0,0,9,9,0,0.00
1965,S,1,105,107,-0.2,-1.4,9,0,0,9,9,0,0.00
1965,S,1,82,84,-0.2,-1.6,9,1,0,10,8,0,0.00
2090,S,1,110,107,-0.2,-1.7,9,1,1,10,8,0,0.00
2099,S,1,7,7,-0.2,-1.8,10,1,1,11,9,0,0.00
2204,S,1,107,102,0.1,1.5,10,-1,0,9,11,0,0.00
2322,S,1,115,116,0.1,3.2,9,-1,-1,8,10,0,0.00
2330,S,1,5,5,0.1,4.4,10,-1,-1,9,11,0,0.00
2416,S,1,81,83,0.2,2.2,10,-1,-1,9,11,0,0.00
2614,S,1,108,112,-0.4,1.0,9,-1,0,8,10,0,0.00
2614,S,1,88,95,-0.4,-1.1,9,0,0,9,9,0,0.00
2804,S,1,101,102,-0.8,-2.2,9,1,1,10,8,0,0.00
