t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
211,S,1,32,33,0.1,0.0,2,0,0,2,2,0,0.00
212,S,1,54,51,0.1,0.4,3,0,0,3,3,0,0.00
400,S,1,72,67,0.6,0.7,3,0,0,3,3,0,0.00
400,S,1,60,54,0.6,1.6,4,-1,-1,3,5,0,0.00
529,S,1,79,74,0.6,2.3,6,-1,-1,5,7,0,0.00
538,S,1,8,8,0.6,2.5,6,-1,-1,5,7,0,0.00
632,S,1,62,58,1.0,3.3,8,-2,-1,6,10,0,0.00
820,S,1,79,84,0.9,3.7,9,-2,-1,7,11,0,0.00
821,S,1,64,71,0.9,-0.2,10,0,0,10,10,0,0.00
1032,S,1,100,102,0.3,-3.1,10,0,1,10,10,0,0.00
1032,S,1,93,94,0.3,-2.4,10,1,1,11,9,0,0.00
1151,S,1,106,101,0.3,-2.1,9,0,1,9,9,0,0.00
1159,S,1,7,8,0.3,-1.9,10,0,1,10,10,0,0.00
1265,S,1,101,102,0.6,-1.2,10,0,0,10,10,0,0.00
1449,S,1,116,114,0.7,-0.9,9,0,0,9,9,0,0.00
1450,S,1,79,75,0.7,0.5,9,-1,0,8,10,0,0.00
1657,S,1,110,112,0.5,1.6,9,-1,-1,8,10,0,0.00
1657,S,1,80,85,0.5,-0.5,9,0,0,9,9,0,0.00
1857,S,1,113,117,0.0,-2.0,9,0,1,9,9,0,0.00
1857,S,1,86,89,0.0,-2.9,9,1,1,10,8,0,0.00
1986,S,1,113,112,-0.0,-3.6,10,1,1,11,9,0,0.00
1991,S,1,3,2,-0.0,-3.2,11,1,1,12,10,0,0.00
2105,S,1,114,113,-0.1,-1.0,10,0,0,10,10,0,0.00
2224,S,1,111,111,-0.0,0.1,9,0,0,9,9,0,0.00
2232,S,1,5,4,-0.0,0.9,10,0,0,10,10,0,0.00
2329,S,1,97,96,0.1,-0.3,10,0,0,10,10,0,0.00
2517,S,1,117,115,0.0,-1.0,9,0,0,9,9,0,0.00
2518,S,1,82,83,0.0,-0.3,9,0,0,9,9,0,0.00
2647,S,1,112,112,0.0,0.3,10,0,0,10,10,0,0.00
2655,S,1,1,2,0.0,0.3,11,0,0,11,11,0,0.00
2766,S,1,122,119,0.2,0.3,10,0,0,10,10,0,0.00
2955,S,1,116,116,0.1,0.2,9,0,0,9,9,0,0.00
2955,S,1,80,82,0.1,-0.0,9,0,0,9,9,0,0.00
3083,S,1,107,108,0.1,-0.3,9,0,0,9,9,0,0.00
3092,S,1,5,5,0.1,-0.3,10,0,0,10,10,0,0.00
3203,S,1,107,104,0.2,0.5,10,0,0,10,10,0,0.00
