t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
94,S,1,0,0,-0.0,0.0,2,0,0,2,2,0,0.00
213,S,1,79,87,-0.0,-1.1,1,0,0,1,1,0,0.00
427,S,1,72,78,-1.0,-1.6,2,1,1,3,1,0,0.00
427,S,1,73,77,-1.0,-2.0,2,1,1,3,1,0,0.00
615,S,1,76,80,-1.4,-2.2,3,1,1,4,2,0,0.00
615,S,1,57,60,-1.4,-1.3,5,1,0,6,4,0,0.00
745,S,1,84,88,-1.5,-0.7,6,1,0,7,5,0,0.00
753,S,1,2,2,-1.5,-0.5,8,1,0,9,7,0,0.00
865,S,1,79,84,-2.0,-1.6,9,2,1,11,7,0,0.00
987,S,1,85,87,-2.1,-2.1,10,2,1,12,8,0,0.00
991,S,1,0,0,-2.1,-3.6,12,2,1,14,10,0,0.00
1077,S,1,77,79,-2.5,-2.5,11,2,1,13,9,0,0.00
1270,S,1,121,110,-2.1,-1.8,10,2,1,12,8,0,0.00
1271,S,1,101,88,-2.1,1.1,10,1,0,11,9,0,0.00
1398,S,1,125,116,-2.0,2.5,9,0,-1,9,9,0,0.00
1403,S,1,17,16,-2.0,5.4,9,-1,-2,8,10,0,0.00
1508,S,1,87,96,-0.7,1.7,10,0,-1,10,10,0,0.00
1630,S,1,107,110,-0.8,-1.2,9,1,0,10,8,0,0.00
1635,S,1,16,16,-0.8,-4.1,10,2,1,12,8,0,0.00
1741,S,1,106,85,-0.9,2.5,10,0,-1,10,10,0,0.00
1863,S,1,119,114,-0.7,6.9,9,-2,-2,7,11,0,0.00
1867,S,1,16,16,-0.7,9.6,10,-3,-3,7,13,0,0.00
1969,S,1,86,114,-0.4,-3.8,10,2,1,12,8,0,0.00
2087,S,1,109,116,-0.9,-11.5,9,4,4,13,5,0,0.00
2096,S,1,0,0,-0.9,-17.3,11,7,6,18,4,0,0.00
2201,S,1,138,102,-1.4,3.0,10,0,-1,10,10,0,0.00
2385,S,1,138,116,1.9,13.6,9,-4,-5,5,13,0,0.00
2386,S,1,84,83,1.9,11.3,9,-5,-4,4,14,0,0.00
2593,S,1,112,131,0.5,9.2,9,-4,-3,5,13,0,0.00
2593,S,1,86,106,0.5,-1.5,9,0,1,9,9,0,0.00
2793,S,1,123,108,-0.3,-9.6,9,3,3,12,6,0,0.00
2794,S,1,97,85,-0.3,-2.1,9,1,1,10,8,0,0.00
2922,S,1,115,116,-0.1,3.6,9,-1,-1,8,10,0,0.00
2927,S,1,16,16,-0.1,5.9,10,-2,-2,8,12,0,0.00
3041,S,1,96,112,-0.1,-0.9,10,1,0,11,9,0,0.00
3159,S,1,107,110,-0.3,-5.2,9,2,2,11,7,0,0.00
3168,S,1,8,8,-0.3,-8.3,10,3,3,13,7,0,0.00
