t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
122,S,1,31,31,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,7,5,0.0,0.0,3,0,0,3,3,0,0.00
229,S,1,46,44,0.2,0.3,4,0,0,4,4,0,0.00
347,S,1,65,62,0.3,0.5,4,0,0,4,4,0,0.00
355,S,1,1,1,0.3,0.6,6,0,0,6,6,0,0.00
413,S,1,35,34,0.5,1.4,7,-1,-1,6,8,0,0.00
563,S,1,76,74,0.6,2.0,8,-1,-1,7,9,0,0.00
563,S,1,19,20,0.6,1.6,9,-1,-1,8,10,0,0.00
681,S,1,6,8,0.7,1.2,10,-1,0,9,11,0,0.00
681,S,1,78,80,0.7,-0.1,10,0,0,10,10,0,0.00
869,S,1,93,95,0.5,-0.8,11,0,0,11,11,0,0.00
870,S,1,78,78,0.5,-0.7,10,0,0,10,10,0,0.00
998,S,1,104,109,0.5,-0.6,10,0,0,10,10,0,0.00
1007,S,1,0,1,0.5,-0.6,12,0,0,12,12,0,0.00
1117,S,1,117,116,0.4,-0.4,10,0,0,10,10,0,0.00
1306,S,1,109,111,-0.0,-0.3,9,0,0,9,9,0,0.00
1306,S,1,79,82,-0.0,-2.1,9,1,1,10,8,0,0.00
1434,S,1,112,110,-0.1,-3.5,9,1,1,10,8,0,0.00
1443,S,1,5,4,-0.1,-3.8,11,1,1,12,10,0,0.00
1548,S,1,107,104,0.1,-0.6,10,0,0,10,10,0,0.00
1733,S,1,114,113,0.4,1.0,9,-1,0,8,10,0,0.00
1733,S,1,74,77,0.4,0.6,9,0,0,9,9,0,0.00
1948,S,1,106,108,0.0,0.2,9,0,0,9,9,0,0.00
1948,S,1,86,87,0.0,-0.2,9,0,0,9,9,0,0.00
2067,S,1,92,93,0.0,-0.4,9,0,0,9,9,0,0.00
2075,S,1,2,2,0.0,-0.5,11,0,0,11,11,0,0.00
2161,S,1,76,76,-0.0,-0.7,11,0,0,11,11,0,0.00
2359,S,1,111,108,-0.1,-0.7,10,0,0,10,10,0,0.00
2360,S,1,95,95,-0.1,-0.8,9,0,0,9,9,0,0.00
2549,S,1,116,117,-0.1,-0.9,10,0,0,10,10,0,0.00
2549,S,1,92,91,-0.1,0.3,9,0,0,9,9,0,0.00
2753,S,1,121,121,-0.1,1.3,10,0,0,10,10,0,0.00
2753,S,1,96,94,-0.1,1.1,9,0,0,9,9,0,0.00
2879,S,1,111,110,-0.0,0.9,9,0,0,9,9,0,0.00
2887,S,1,0,0,-0.0,0.9,11,0,0,11,11,0,0.00
2998,S,1,116,113,0.2,0.3,10,0,0,10,10,0,0.00
3120,S,1,111,112,0.2,-0.0,9,0,0,9,9,0,0.00
3124,S,1,16,16,0.2,0.7,10,0,0,10,10,0,0.00
3225,S,1,87,91,-0.0,-0.8,10,0,0,10,10,0,0.00
3410,S,1,112,113,-0.3,-1.9,9,1,1,10,8,0,0.00
3410,S,1,81,73,-0.3,-1.3,9,1,0,10,8,0,0.00
3546,S,1,112,119,-0.3,-0.9,9,0,0,9,9,0,0.00
3551,S,1,4,4,-0.3,-0.2,10,0,0,10,10,0,0.00
3665,S,1,112,115,-0.4,-1.1,10,0,0,10,10,0,0.00
3783,S,1,116,120,-0.4,-1.6,9,1,1,10,8,0,0.00
3792,S,1,6,6,-0.4,-2.0,10,1,1,11,9,0,0.00
3897,S,1,103,97,-0.5,0.1,10,0,0,10,10,0,0.00
4016,S,1,108,110,-0.5,1.2,9,0,0,9,9,0,0.00
4024,S,1,3,3,-0.5,2.1,10,-1,-1,9,11,0,0.00
4121,S,1,89,99,-0.6,-1.6,10,1,1,11,9,0,0.00
4309,S,1,109,109,-1.3,-3.6,9,2,1,11,7,0,0.00
4310,S,1,84,76,-1.3,-2.4,9,1,1,10,8,0,0.00
4439,S,1,108,109,-1.3,-1.5,9,1,1,10,8,0,0.00
4447,S,1,0,0,-1.3,-1.3,11,1,0,12,10,0,0.00
4558,S,1,119,118,-0.8,1.1,10,0,0,10,10,0,0.00
4681,S,1,117,118,-0.7,2.3,9,0,-1,9,9,0,0.00
4685,S,1,17,17,-0.7,2.3,9,0,-1,9,9,0,0.00
4771,S,1,75,76,-0.7,0.9,10,0,0,10,10,0,0.00
4965,S,1,111,110,-0.6,0.2,9,0,0,9,9,0,0.00
4965,S,1,85,84,-0.6,0.1,9,0,0,9,9,0,0.00
5163,S,1,104,101,-0.5,0.0,9,0,0,9,9,0,0.00
5163,S,1,78,80,-0.5,0.1,9,0,0,9,9,0,0.00
5364,S,1,97,100,-0.9,0.2,9,0,0,9,9,0,0.00
5364,S,1,78,79,-0.9,-1.2,9,1,0,10,8,0,0.00
5563,S,1,104,101,-0.9,-2.3,9,1,1,10,8,0,0.00
5564,S,1,87,79,-0.9,-1.1,9,1,0,10,8,0,0.00
5763,S,1,110,105,-0.4,-0.1,9,0,0,9,9,0,0.00
5764,S,1,81,87,-0.4,0.2,9,0,0,9,9,0,0.00
5964,S,1,101,100,-0.3,0.5,9,0,0,9,9,0,0.00
5964,S,1,81,81,-0.3,0.6,9,0,0,9,9,0,0.00
6163,S,1,100,99,-0.2,0.6,9,0,0,9,9,0,0.00
6163,S,1,82,80,-0.2,1.2,9,0,0,9,9,0,0.00
6364,S,1,98,97,-0.1,1.5,9,0,-1,9,9,0,0.00
6364,S,1,77,77,-0.1,0.6,9,0,0,9,9,0,0.00
6564,S,1,95,97,-0.3,-0.1,9,0,0,9,9,0,0.00
6564,S,1,79,79,-0.3,-0.1,9,0,0,9,9,0,0.00
6763,S,1,102,102,-0.5,-0.0,9,0,0,9,9,0,0.00
6764,S,1,82,83,-0.5,-0.2,9,0,0,9,9,0,0.00
6963,S,1,102,101,-0.5,-0.4,9,0,0,9,9,0,0.00
6964,S,1,80,82,-0.5,-0.3,9,0,0,9,9,0,0.00
7163,S,1,99,102,-0.7,-0.1,9,0,0,9,9,0,0.00
7164,S,1,79,81,-0.7,-0.1,9,0,0,9,9,0,0.00
7364,S,1,97,98,-0.8,-0.0,9,0,0,9,9,0,0.00
7364,S,1,79,79,-0.8,0.0,9,0,0,9,9,0,0.00
7564,S,1,96,96,-0.9,0.1,9,0,0,9,9,0,0.00
7564,S,1,77,77,-0.9,-0.2,9,1,0,10,8,0,0.00
7763,S,1,98,93,-0.8,-0.4,9,1,0,10,8,0,0.00
7764,S,1,83,77,-0.8,-0.2,9,1,0,10,8,0,0.00
7892,S,1,108,102,-0.7,-0.1,9,1,0,10,8,0,0.00
7897,S,1,16,14,-0.7,0.9,10,0,0,10,10,0,0.00
8012,S,1,110,104,0.4,2.8,10,-1,-1,9,11,0,0.00
8130,S,1,112,113,0.4,3.4,9,-2,-1,7,11,0,0.00
8138,S,1,12,12,0.4,3.7,9,-1,-1,8,10,0,0.00
8237,S,1,87,87,0.5,1.5,10,-1,-1,9,11,0,0.00
