t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
210,S,1,28,19,0.4,0.0,3,0,0,3,3,0,0.00
210,S,1,51,38,0.4,2.9,3,-1,-1,2,4,0,0.00
332,S,1,64,48,1.0,4.3,4,-2,-1,2,6,0,0.00
337,S,1,10,8,1.0,6.2,4,-3,-2,1,7,0,0.00
437,S,1,60,45,2.9,9.4,6,-5,-3,1,11,0,0.00
621,S,1,75,65,4.3,10.2,7,-6,-4,1,13,0,0.00
621,S,1,60,57,4.3,7.4,8,-5,-3,3,13,0,0.00
837,S,1,94,96,4.1,5.3,9,-5,-2,4,14,0,0.00
838,S,1,79,92,4.1,-1.8,10,-1,1,9,11,0,0.00
956,S,1,97,104,3.9,-5.3,10,-1,2,9,11,0,0.00
964,S,1,1,1,3.9,-8.0,11,1,3,12,10,0,0.00
1070,S,1,102,106,2.7,-5.4,10,0,2,10,10,0,0.00
1188,S,1,104,114,2.6,-3.9,10,0,1,10,10,0,0.00
1196,S,1,12,12,2.6,-3.1,10,0,1,10,10,0,0.00
1293,S,1,81,90,1.7,-4.3,10,0,2,10,10,0,0.00
1481,S,1,101,106,0.9,-5.3,9,1,2,10,8,0,0.00
1482,S,1,75,70,0.9,-3.7,10,0,1,10,10,0,0.00
1611,S,1,93,110,0.9,-2.6,10,0,1,10,10,0,0.00
1619,S,1,6,6,0.9,-2.3,11,0,1,11,11,0,0.00
1729,S,1,92,98,0.1,-2.1,10,0,1,10,10,0,0.00
1852,S,1,94,93,0.1,-2.0,10,1,1,11,9,0,0.00
1856,S,1,14,15,0.1,-2.2,10,0,1,10,10,0,0.00
1957,S,1,72,72,0.1,-1.4,11,0,0,11,11,0,0.00
2075,S,1,96,98,0.1,-0.9,10,0,0,10,10,0,0.00
2083,S,1,2,3,0.1,-0.6,11,0,0,11,11,0,0.00
2189,S,1,99,102,-0.1,-1.7,10,0,1,10,10,0,0.00
2307,S,1,101,103,-0.2,-2.2,10,1,1,11,9,0,0.00
