t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,27,28,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,1,1,0.0,0.0,3,0,0,3,3,0,0.00
225,S,1,42,40,-0.0,0.1,4,0,0,4,4,0,0.00
413,S,1,54,54,0.1,0.2,5,0,0,5,5,0,0.00
414,S,1,45,43,0.1,0.1,6,0,0,6,6,0,0.00
542,S,1,62,60,0.1,0.1,7,0,0,7,7,0,0.00
551,S,1,6,6,0.1,0.1,8,0,0,8,8,0,0.00
662,S,1,61,61,0.3,0.2,10,0,0,10,10,0,0.00
784,S,1,77,78,0.2,0.3,10,0,0,10,10,0,0.00
788,S,1,13,13,0.2,0.6,11,0,0,11,11,0,0.00
890,S,1,83,84,0.2,0.6,11,0,0,11,11,0,0.00
1008,S,1,110,107,0.2,0.4,10,0,0,10,10,0,0.00
1017,S,1,3,3,0.2,0.3,11,0,0,11,11,0,0.00
1122,S,1,103,102,0.2,0.7,10,0,0,10,10,0,0.00
1240,S,1,105,104,0.2,0.9,9,0,0,9,9,0,0.00
1249,S,1,1,0,0.2,1.1,11,0,0,11,11,0,0.00
1346,S,1,94,96,0.2,0.4,10,0,0,10,10,0,0.00
1468,S,1,107,107,0.2,0.0,10,0,0,10,10,0,0.00
1472,S,1,3,4,0.2,0.3,11,0,0,11,11,0,0.00
1558,S,1,76,76,0.2,0.4,11,0,0,11,11,0,0.00
1680,S,1,108,107,0.2,0.4,10,0,0,10,10,0,0.00
1685,S,1,1,0,0.2,0.1,11,0,0,11,11,0,0.00
1790,S,1,99,98,0.3,0.5,10,0,0,10,10,0,0.00
1912,S,1,105,104,0.3,0.8,10,0,0,10,10,0,0.00
1917,S,1,15,15,0.3,1.1,10,-1,0,9,11,0,0.00
1978,S,1,44,45,0.3,-0.0,11,0,0,11,11,0,0.00
2200,S,1,115,116,0.0,-1.0,10,0,0,10,10,0,0.00
2200,S,1,104,105,0.0,-0.6,9,0,0,9,9,0,0.00
2393,S,1,96,96,0.1,-0.3,9,0,0,9,9,0,0.00
2394,S,1,75,73,0.1,0.2,9,0,0,9,9,0,0.00
2592,S,1,94,94,0.0,0.4,9,0,0,9,9,0,0.00
2593,S,1,71,73,0.0,0.3,9,0,0,9,9,0,0.00
2792,S,1,91,92,-0.0,0.2,9,0,0,9,9,0,0.00
2793,S,1,68,69,-0.0,0.3,9,0,0,9,9,0,0.00
2992,S,1,88,87,0.0,0.3,9,0,0,9,9,0,0.00
2993,S,1,67,65,0.0,0.1,9,0,0,9,9,0,0.00
3192,S,1,90,88,0.0,0.1,9,0,0,9,9,0,0.00
3193,S,1,69,68,0.0,-0.9,9,0,0,9,9,0,0.00
3321,S,1,87,91,0.0,-1.4,9,0,0,9,9,0,0.00
3326,S,1,0,0,0.0,1.2,11,-1,0,10,12,0,0.00
3441,S,1,102,108,-0.3,-0.4,10,0,0,10,10,0,0.00
3559,S,1,107,106,-0.3,-1.5,9,1,1,10,8,0,0.00
3568,S,1,2,2,-0.3,-2.3,11,1,1,12,10,0,0.00
3665,S,1,96,92,-0.2,0.7,10,0,0,10,10,0,0.00
3787,S,1,105,107,-0.2,2.2,9,-1,-1,8,10,0,0.00
3791,S,1,15,16,-0.2,2.6,10,-1,-1,9,11,0,0.00
3877,S,1,74,78,-0.3,0.2,10,0,0,10,10,0,0.00
4070,S,1,104,102,-0.2,-1.1,10,1,0,11,9,0,0.00
4070,S,1,83,77,-0.2,0.8,10,0,0,10,10,0,0.00
4269,S,1,104,107,-0.3,2.2,10,-1,-1,9,11,0,0.00
4269,S,1,82,86,-0.3,1.3,10,0,0,10,10,0,0.00
4398,S,1,108,106,-0.3,0.7,10,0,0,10,10,0,0.00
4403,S,1,2,3,-0.3,-2.1,11,1,1,12,10,0,0.00
4497,S,1,88,85,-0.4,-0.8,10,0,0,10,10,0,0.00
4615,S,1,106,105,-0.4,0.0,9,0,0,9,9,0,0.00
4623,S,1,5,6,-0.4,0.7,11,0,0,11,11,0,0.00
4729,S,1,96,97,-0.3,1.4,10,0,0,10,10,0,0.00
4847,S,1,105,105,-0.3,1.7,9,0,-1,9,9,0,0.00
4856,S,1,4,4,-0.3,1.9,11,-1,-1,10,12,0,0.00
4961,S,1,96,99,-0.3,0.0,10,0,0,10,10,0,0.00
5145,S,1,102,101,-0.4,-0.9,9,1,0,10,8,0,0.00
5146,S,1,71,64,-0.4,0.1,9,0,0,9,9,0,0.00
5282,S,1,95,100,-0.3,0.9,9,0,0,9,9,0,0.00
5287,S,1,14,13,-0.3,1.0,10,0,0,10,10,0,0.00
5401,S,1,94,91,-0.1,0.4,10,0,0,10,10,0,0.00
5519,S,1,101,97,-0.1,-0.0,9,0,0,9,9,0,0.00
5528,S,1,2,2,-0.1,-0.3,11,0,0,11,11,0,0.00
5624,S,1,89,89,-0.0,-0.3,10,0,0,10,10,0,0.00
5747,S,1,101,102,-0.0,-0.2,10,0,0,10,10,0,0.00
5751,S,1,15,15,-0.0,0.1,10,0,0,10,10,0,0.00
5852,S,1,88,88,0.0,1.2,10,0,0,10,10,0,0.00
5971,S,1,105,101,0.0,1.7,9,-1,-1,8,10,0,0.00
5979,S,1,12,12,0.0,1.9,10,-1,-1,9,11,0,0.00
6085,S,1,92,94,0.1,1.0,10,0,0,10,10,0,0.00
6203,S,1,95,94,0.1,0.5,9,0,0,9,9,0,0.00
6211,S,1,10,11,0.1,0.3,10,0,0,10,10,0,0.00
6309,S,1,80,81,0.2,-0.1,10,0,0,10,10,0,0.00
6497,S,1,98,96,0.2,-0.2,10,0,0,10,10,0,0.00
6497,S,1,75,73,0.2,0.4,10,0,0,10,10,0,0.00
6626,S,1,100,98,0.2,0.9,10,0,0,10,10,0,0.00
6635,S,1,5,5,0.2,1.1,10,0,0,10,10,0,0.00
6745,S,1,94,96,0.3,0.4,10,0,0,10,10,0,0.00
6933,S,1,99,100,0.2,0.0,9,0,0,9,9,0,0.00
6933,S,1,73,72,0.2,-0.5,9,0,0,9,9,0,0.00
7136,S,1,95,94,0.2,-0.9,9,0,0,9,9,0,0.00
7137,S,1,75,74,0.2,-0.2,9,0,0,9,9,0,0.00
7336,S,1,89,91,0.4,0.3,10,0,0,10,10,0,0.00
7337,S,1,75,73,0.4,0.9,10,-1,0,9,11,0,0.00
7536,S,1,93,94,0.3,1.3,10,-1,0,9,11,0,0.00
7537,S,1,75,76,0.3,0.0,9,0,0,9,9,0,0.00
7662,S,1,94,93,0.3,-0.9,10,0,0,10,10,0,0.00
7670,S,1,11,11,0.3,-1.1,10,0,0,10,10,0,0.00
7781,S,1,94,94,0.2,-0.7,10,0,0,10,10,0,0.00
7903,S,1,100,99,0.3,-0.4,9,0,0,9,9,0,0.00
7908,S,1,15,15,0.3,0.6,10,0,0,10,10,0,0.00
8009,S,1,81,83,0.2,-0.1,10,0,0,10,10,0,0.00
8193,S,1,103,102,-0.0,-0.8,9,0,0,9,9,0,0.00
8193,S,1,69,70,-0.0,-1.1,9,0,0,9,9,0,0.00
8330,S,1,101,104,-0.0,-1.4,9,0,0,9,9,0,0.00
8335,S,1,1,1,-0.0,-0.8,11,0,0,11,11,0,0.00
8449,S,1,102,102,-0.0,0.0,10,0,0,10,10,0,0.00
8633,S,1,102,100,-0.0,0.3,9,0,0,9,9,0,0.00
8633,S,1,68,68,-0.0,0.2,9,0,0,9,9,0,0.00
8849,S,1,96,97,-0.1,0.0,10,0,0,10,10,0,0.00
8850,S,1,84,87,-0.1,0.1,9,0,0,9,9,0,0.00
9034,S,1,91,90,-0.1,0.1,9,0,0,9,9,0,0.00
9034,S,1,63,60,-0.1,-0.3,9,0,0,9,9,0,0.00
9171,S,1,94,92,-0.1,-0.6,9,0,0,9,9,0,0.00
9176,S,1,1,1,-0.1,-0.3,11,0,0,11,11,0,0.00
9289,S,1,100,101,-0.2,0.1,10,0,0,10,10,0,0.00
9474,S,1,102,106,-0.3,0.3,9,0,0,9,9,0,0.00
9474,S,1,72,72,-0.3,-0.1,9,0,0,9,9,0,0.00
9689,S,1,101,100,-0.3,-0.4,9,0,0,9,9,0,0.00
9690,S,1,81,80,-0.3,-0.1,9,0,0,9,9,0,0.00
9808,S,1,85,84,-0.3,-0.0,9,0,0,9,9,0,0.00
9816,S,1,3,3,-0.3,0.1,11,0,0,11,11,0,0.00
9922,S,1,87,87,-0.1,0.6,10,0,0,10,10,0,0.00
10040,S,1,98,99,-0.1,0.9,9,0,0,9,9,0,0.00
10048,S,1,1,1,-0.1,1.1,11,0,0,11,11,0,0.00
10145,S,1,93,90,-0.2,0.3,10,0,0,10,10,0,0.00
10267,S,1,105,104,-0.2,-0.1,9,0,0,9,9,0,0.00
10272,S,1,3,4,-0.2,0.2,11,0,0,11,11,0,0.00
10377,S,1,93,94,-0.1,0.6,10,0,0,10,10,0,0.00
10565,S,1,105,104,-0.1,0.7,9,0,0,9,9,0,0.00
10566,S,1,76,75,-0.1,0.3,9,0,0,9,9,0,0.00
10694,S,1,104,104,-0.1,-0.0,9,0,0,9,9,0,0.00
10703,S,1,7,7,-0.1,-0.1,10,0,0,10,10,0,0.00
10808,S,1,88,89,-0.1,0.7,10,0,0,10,10,0,0.00
10925,S,1,97,98,-0.1,1.1,9,0,0,9,9,0,0.00
10934,S,1,6,5,-0.1,1.4,10,0,0,10,10,0,0.00
11039,S,1,92,89,0.1,1.1,10,0,0,10,10,0,0.00
11157,S,1,101,100,0.1,0.9,9,0,0,9,9,0,0.00
11166,S,1,3,4,0.1,0.8,10,0,0,10,10,0,0.00
11262,S,1,89,90,0.0,0.1,10,0,0,10,10,0,0.00
11451,S,1,103,105,0.0,-0.2,9,0,0,9,9,0,0.00
11451,S,1,76,74,0.0,0.0,9,0,0,9,9,0,0.00
11580,S,1,103,99,0.0,0.2,10,0,0,10,10,0,0.00
11588,S,1,2,2,0.0,0.2,11,0,0,11,11,0,0.00
11699,S,1,110,110,0.1,-0.2,10,0,0,10,10,0,0.00
11888,S,1,107,110,0.1,-0.4,9,0,0,9,9,0,0.00
11889,S,1,76,77,0.1,-0.6,9,0,0,9,9,0,0.00
12016,S,1,101,99,0.1,-0.6,9,0,0,9,9,0,0.00
12025,S,1,5,4,0.1,-0.7,10,0,0,10,10,0,0.00
12130,S,1,91,88,0.2,-0.5,10,0,0,10,10,0,0.00
12248,S,1,98,98,0.2,-0.4,9,0,0,9,9,0,0.00
12256,S,1,2,2,0.2,-0.4,11,0,0,11,11,0,0.00
12362,S,1,96,97,0.3,0.3,10,0,0,10,10,0,0.00
12547,S,1,102,101,0.2,0.6,9,0,0,9,9,0,0.00
12547,S,1,71,69,0.2,0.2,9,0,0,9,9,0,0.00
12683,S,1,98,96,0.2,-0.1,10,0,0,10,10,0,0.00
12688,S,1,15,15,0.2,0.6,10,0,0,10,10,0,0.00
12801,S,1,94,98,0.2,0.1,10,0,0,10,10,0,0.00
12919,S,1,102,103,0.2,-0.4,9,0,0,9,9,0,0.00
12927,S,1,2,2,0.2,-0.8,11,0,0,11,11,0,0.00
13013,S,1,79,80,0.1,-0.8,10,0,0,10,10,0,0.00
13131,S,1,102,101,0.1,-0.7,9,0,0,9,9,0,0.00
13140,S,1,11,11,0.1,-0.7,10,0,0,10,10,0,0.00
13245,S,1,91,91,0.1,0.3,10,0,0,10,10,0,0.00
13363,S,1,90,91,0.1,0.8,9,0,0,9,9,0,0.00
13371,S,1,10,10,0.1,1.1,10,0,0,10,10,0,0.00
13477,S,1,85,86,0.0,-0.3,10,0,0,10,10,0,0.00
13595,S,1,96,95,0.0,-1.1,9,0,0,9,9,0,0.00
13604,S,1,5,6,0.0,-1.7,10,1,1,11,9,0,0.00
13701,S,1,81,80,-0.1,-0.2,10,0,0,10,10,0,0.00
13823,S,1,97,98,-0.1,0.6,9,0,0,9,9,0,0.00
13827,S,1,14,14,-0.1,0.6,10,0,0,10,10,0,0.00
13913,S,1,65,65,-0.1,0.5,10,0,0,10,10,0,0.00
14107,S,1,100,98,-0.0,0.5,10,0,0,10,10,0,0.00
14107,S,1,79,79,-0.0,-0.1,9,0,0,9,9,0,0.00
14305,S,1,95,96,-0.1,-0.5,9,0,0,9,9,0,0.00
14306,S,1,73,75,-0.1,-0.2,9,0,0,9,9,0,0.00
14505,S,1,88,89,-0.0,0.1,9,0,0,9,9,0,0.00
14506,S,1,70,67,-0.0,0.4,9,0,0,9,9,0,0.00
14705,S,1,85,83,0.0,0.6,10,0,0,10,10,0,0.00
14705,S,1,73,71,0.0,0.9,10,0,0,10,10,0,0.00
14904,S,1,90,90,-0.0,1.2,10,0,0,10,10,0,0.00
14905,S,1,72,74,-0.0,0.3,9,0,0,9,9,0,0.00
15105,S,1,93,93,-0.1,-0.3,9,0,0,9,9,0,0.00
15105,S,1,73,70,-0.1,-0.5,9,0,0,9,9,0,0.00
15305,S,1,90,88,-0.0,-0.6,9,0,0,9,9,0,0.00
15305,S,1,72,72,-0.0,-0.0,9,0,0,9,9,0,0.00
15505,S,1,88,90,0.0,0.4,10,0,0,10,10,0,0.00
15505,S,1,73,74,0.0,0.1,9,0,0,9,9,0,0.00
15705,S,1,91,93,-0.0,-0.1,9,0,0,9,9,0,0.00
15705,S,1,71,69,-0.0,-0.4,9,0,0,9,9,0,0.00
15905,S,1,87,85,0.0,-0.6,9,0,0,9,9,0,0.00
15905,S,1,68,68,0.0,0.4,9,0,0,9,9,0,0.00
16106,S,1,87,88,0.1,1.2,10,0,0,10,10,0,0.00
16106,S,1,72,71,0.1,0.5,9,0,0,9,9,0,0.00
16305,S,1,91,91,-0.1,-0.0,9,0,0,9,9,0,0.00
16306,S,1,73,72,-0.1,-0.3,9,0,0,9,9,0,0.00
16505,S,1,90,90,-0.2,-0.5,9,0,0,9,9,0,0.00
16506,S,1,72,73,-0.2,-0.9,9,0,0,9,9,0,0.00
16705,S,1,91,92,-0.1,-1.2,9,0,0,9,9,0,0.00
16706,S,1,72,72,-0.1,-0.2,9,0,0,9,9,0,0.00
16905,S,1,89,88,-0.1,0.5,9,0,0,9,9,0,0.00
16906,S,1,72,71,-0.1,-0.6,9,0,0,9,9,0,0.00
17034,S,1,88,88,-0.1,-1.4,9,1,0,10,8,0,0.00
17039,S,1,13,13,-0.1,-0.7,10,0,0,10,10,0,0.00
17144,S,1,80,82,-0.2,0.6,10,0,0,10,10,0,0.00
17332,S,1,98,98,-0.1,1.0,9,0,0,9,9,0,0.00
17333,S,1,70,67,-0.1,1.3,9,0,0,9,9,0,0.00
17461,S,1,90,88,-0.1,1.5,9,0,-1,9,9,0,0.00
17470,S,1,0,0,-0.1,1.5,11,-1,-1,10,12,0,0.00
17579,S,1,98,102,-0.3,0.4,10,0,0,10,10,0,0.00
17768,S,1,100,103,-0.5,-0.2,9,0,0,9,9,0,0.00
17768,S,1,75,75,-0.5,0.3,9,0,0,9,9,0,0.00
17951,S,1,101,100,-0.5,0.7,9,0,0,9,9,0,0.00
17952,S,1,59,57,-0.5,0.4,9,0,0,9,9,0,0.00
18021,S,1,49,50,-0.5,0.7,10,0,0,10,10,0,0.00
18209,S,1,91,93,-0.5,0.8,10,0,0,10,10,0,0.00
18209,S,1,71,73,-0.5,-0.3,9,0,0,9,9,0,0.00
18413,S,1,102,100,-0.4,-1.1,9,1,0,10,8,0,0.00
18413,S,1,77,69,-0.4,-0.0,9,0,0,9,9,0,0.00
18618,S,1,92,93,-0.2,0.5,9,0,0,9,9,0,0.00
18618,S,1,70,68,-0.2,0.4,9,0,0,9,9,0,0.00
18808,S,1,82,83,-0.1,0.4,9,0,0,9,9,0,0.00
18809,S,1,63,62,-0.1,0.4,9,0,0,9,9,0,0.00
18938,S,1,95,95,-0.1,0.3,9,0,0,9,9,0,0.00
18947,S,1,2,3,-0.1,0.3,11,0,0,11,11,0,0.00
19057,S,1,102,100,-0.1,0.0,10,0,0,10,10,0,0.00
19179,S,1,103,103,-0.1,-0.2,9,0,0,9,9,0,0.00
19183,S,1,2,2,-0.1,0.4,11,0,0,11,11,0,0.00
19284,S,1,88,88,0.1,0.1,10,0,0,10,10,0,0.00
19402,S,1,99,99,0.1,-0.1,9,0,0,9,9,0,0.00
19411,S,1,10,10,0.1,-0.1,10,0,0,10,10,0,0.00
19516,S,1,84,82,0.1,0.0,10,0,0,10,10,0,0.00
19635,S,1,95,94,0.1,0.1,9,0,0,9,9,0,0.00
19642,S,1,6,6,0.1,0.2,10,0,0,10,10,0,0.00
19740,S,1,78,78,0.2,0.2,10,0,0,10,10,0,0.00
19928,S,1,92,91,0.2,0.2,9,0,0,9,9,0,0.00
19929,S,1,69,67,0.2,0.9,9,0,0,9,9,0,0.00
20058,S,1,95,97,0.2,1.4,9,-1,0,8,10,0,0.00
20066,S,1,3,3,0.2,1.5,11,-1,-1,10,12,0,0.00
20176,S,1,97,101,-0.1,-0.4,10,0,0,10,10,0,0.00
20299,S,1,102,106,-0.2,-1.4,9,1,0,10,8,0,0.00
20303,S,1,2,1,-0.2,-2.5,11,1,1,12,10,0,0.00
20404,S,1,90,86,-0.2,-0.1,10,0,0,10,10,0,0.00
20523,S,1,101,99,-0.1,1.3,9,0,0,9,9,0,0.00
20531,S,1,11,11,-0.1,1.9,10,-1,-1,9,11,0,0.00
20637,S,1,82,84,-0.1,0.2,10,0,0,10,10,0,0.00
20755,S,1,90,92,-0.1,-0.9,9,0,0,9,9,0,0.00
20763,S,1,5,5,-0.1,-1.7,10,1,1,11,9,0,0.00
20860,S,1,79,77,-0.2,-0.0,10,0,0,10,10,0,0.00
21048,S,1,93,92,-0.1,0.9,9,0,0,9,9,0,0.00
21049,S,1,67,66,-0.1,-0.1,9,0,0,9,9,0,0.00
21251,S,1,94,92,-0.1,-0.9,9,0,0,9,9,0,0.00
21252,S,1,69,69,-0.1,-0.4,9,0,0,9,9,0,0.00
21457,S,1,88,91,-0.2,-0.1,9,0,0,9,9,0,0.00
21457,S,1,71,73,-0.2,-1.0,9,0,0,9,9,0,0.00
