t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
106,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
126,S,1,1,1,0.0,0.0,1,0,1,1,0,0.00
146,S,1,4,4,0.0,0.0,1,0,1,1,0,0.00
166,S,1,3,3,0.0,0.0,1,0,1,1,0,0.00
186,S,1,3,3,0.0,0.0,1,0,1,1,0,0.00
393,S,1,126,115,0.0,0.0,0,0,0,0,0,0.00
579,S,1,82,76,0.3,0.4,1,0,1,1,0,0.00
579,S,1,60,55,0.3,0.4,2,0,2,2,0,0.00
599,S,1,8,8,0.3,0.4,2,0,2,2,0,0.00
706,S,1,85,80,0.3,0.4,3,0,3,3,0,0.00
726,S,1,7,7,0.3,0.4,4,0,4,4,0,0.00
746,S,1,8,7,0.3,0.4,4,0,4,4,0,0.00
766,S,1,8,6,0.3,0.4,4,0,4,4,0,0.00
857,S,1,59,56,1.2,1.8,5,0,5,5,0,0.00
963,S,1,82,76,1.2,1.8,5,0,5,5,0,0.00
983,S,1,8,8,1.2,1.8,6,0,6,6,0,0.00
1003,S,1,8,8,1.2,1.8,7,0,7,7,0,0.00
1023,S,1,8,6,1.2,1.8,7,0,7,7,0,0.00
1043,S,1,8,8,1.2,1.8,7,0,7,7,0,0.00
1262,S,1,177,163,2.6,3.7,6,0,6,6,0,0.00
1381,S,1,93,88,2.8,2.7,7,0,7,7,0,0.00
1389,S,1,5,5,2.8,2.7,8,0,8,8,0,0.00
1409,S,1,9,9,2.8,2.7,9,0,9,9,0,0.00
1429,S,1,9,9,2.8,2.7,10,0,10,10,0,0.00
1449,S,1,10,9,2.8,2.7,10,0,10,10,0,0.00
1568,S,1,117,111,2.8,2.7,8,0,8,8,0,0.00
1668,S,1,97,91,3.7,3.4,8,0,8,8,0,0.00
1774,S,1,103,97,3.7,3.4,8,0,8,8,0,0.00
1794,S,1,9,9,3.7,3.4,9,0,9,9,0,0.00
1814,S,1,9,9,3.7,3.4,10,0,10,10,0,0.00
1834,S,1,9,9,3.7,3.4,10,0,10,10,0,0.00
