t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
11,S,1,0,0,0.0,0.0,11,0,11,11,0,0.00
147,S,1,45,36,0.0,0.0,0,0,0,0,0,0.00
187,S,1,19,16,0.0,0.0,11,0,11,11,0,0.00
203,S,1,12,10,0.4,3.2,5,0,5,5,0,0.00
333,S,1,44,42,0.5,2.8,0,0,0,0,0,0.00
380,S,1,3,3,0.6,2.4,5,0,5,5,0,0.00
395,S,1,9,7,0.5,-6.6,0,0,0,0,0,0.00
414,S,1,1,1,0.5,-4.2,5,0,5,5,0,0.00
532,S,1,22,23,0.4,-2.9,3,0,3,3,0,0.00
579,S,1,2,1,0.5,-0.3,6,0,6,6,0,0.00
595,S,1,4,1,0.6,6.8,5,0,5,5,0,0.00
615,S,1,2,1,0.6,1.7,5,0,5,5,0,0.00
733,S,1,16,14,0.6,1.1,5,0,5,5,0,0.00
779,S,1,0,0,0.8,3.4,7,0,7,7,0,0.00
795,S,1,1,0,0.8,2.5,7,0,7,7,0,0.00
814,S,1,2,2,0.9,1.9,6,0,6,6,0,0.00
932,S,1,9,8,0.9,1.4,7,0,7,7,0,0.00
979,S,1,2,2,0.9,1.1,7,0,7,7,0,0.00
994,S,1,0,1,0.9,-4.5,16,0,16,16,0,0.00
1014,S,1,2,3,0.9,-1.0,7,0,7,7,0,0.00
1132,S,1,18,20,0.9,-0.6,6,0,6,6,0,0.00
1179,S,1,5,7,0.7,-2.1,7,0,7,7,0,0.00
1194,S,1,5,4,0.6,-20.5,6,0,6,6,0,0.00
1215,S,1,4,5,0.5,-11.1,7,0,7,7,0,0.00
1333,S,1,41,48,0.4,-7.6,4,0,4,4,0,0.00
1380,S,1,8,9,0.0,-8.3,8,0,8,8,0,0.00
1395,S,1,11,9,-0.0,-8.6,4,0,4,4,0,0.00
1414,S,1,4,5,-0.1,-4.6,9,0,9,9,0,0.00
1532,S,1,67,61,-0.0,-2.9,3,0,3,3,0,0.00
1579,S,1,14,10,0.4,4.4,8,0,8,8,0,0.00
1594,S,1,5,5,0.6,23.8,60,-3,57,60,0,0.00
1614,S,1,7,5,0.6,10.3,24,0,24,24,0,0.00
1732,S,1,85,81,0.7,4.5,2,0,2,2,0,0.00
1779,S,1,16,16,0.9,5.3,9,0,9,9,0,0.00
1794,S,1,7,5,0.9,3.9,60,0,60,60,0,0.00
1814,S,1,9,8,0.9,-0.6,12,0,12,12,0,0.00
1932,S,1,105,101,0.9,-0.5,1,0,1,1,0,0.00
1979,S,1,20,19,1.3,5.4,9,0,9,9,0,0.00
1994,S,1,6,6,1.3,4.7,60,0,60,60,0,0.00
2014,S,1,9,8,1.3,1.5,13,0,13,13,0,0.00
2132,S,1,114,108,1.3,1.0,0,0,0,0,0,0.00
2179,S,1,21,20,1.7,5.1,9,0,9,9,0,0.00
2194,S,1,7,6,1.7,4.1,60,0,60,60,0,0.00
2214,S,1,10,8,1.7,1.7,13,0,13,13,0,0.00
2332,S,1,116,110,1.7,0.9,0,0,0,0,0,0.00
2379,S,1,23,22,2.1,5.1,9,-1,8,10,0,0.00
2394,S,1,22,20,2.1,6.7,0,0,0,0,0,0.00
2414,S,1,11,7,2.2,4.6,13,0,13,13,0,0.00
2532,S,1,118,111,2.2,3.0,0,0,0,0,0,0.00
2579,S,1,22,20,2.8,9.4,9,-1,8,10,0,0.00
2594,S,1,24,21,3.0,25.7,-1,0,-1,-1,0,0.00
2614,S,1,10,8,3.1,12.0,12,0,12,12,0,0.00
2732,S,1,111,102,3.1,7.8,0,0,0,0,0,0.00
2779,S,1,21,19,3.8,12.5,9,-1,8,10,0,0.00
2795,S,1,22,21,3.9,18.6,0,0,0,0,0,0.00
2814,S,1,10,8,4.0,10.8,12,0,12,12,0,0.00
2932,S,1,112,106,4.0,7.0,0,0,0,0,0,0.00
2980,S,1,21,18,4.6,9.4,9,-1,8,10,0,0.00
2995,S,1,22,22,4.7,17.7,-1,-1,-2,0,0,0.00
3014,S,1,9,9,4.7,8.6,12,-1,11,13,0,0.00
3132,S,1,102,105,4.7,5.5,1,-1,0,2,0,0.00
3180,S,1,19,21,4.6,0.5,9,0,9,9,0,0.00
3194,S,1,6,5,4.5,-2.9,60,0,60,60,0,0.00
3214,S,1,9,9,4.5,-2.6,29,0,29,29,0,0.00
3332,S,1,100,105,4.4,-1.5,1,-1,0,2,0,0.00
3379,S,1,18,20,4.2,-4.1,9,0,9,9,0,0.00
3395,S,1,22,19,4.1,-11.5,0,0,0,0,0,0.00
3414,S,1,10,9,4.0,-7.0,11,0,11,11,0,0.00
3532,S,1,101,94,3.8,-5.0,1,0,1,1,0,0.00
3579,S,1,20,17,4.3,3.9,9,-1,8,10,0,0.00
3595,S,1,22,19,4.5,17.6,0,-1,0,0,0,0.00
3615,S,1,9,7,4.5,8.8,12,-1,11,13,0,0.00
3732,S,1,101,100,4.5,5.7,1,-1,0,2,0,0.00
3779,S,1,18,19,4.8,6.5,9,-1,8,10,0,0.00
