t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
11,S,1,0,0,0.0,0.0,19,0,19,19,0,0.00
147,S,1,72,71,0.0,0.0,-12,0,-12,-12,0,0.00
187,S,1,35,33,0.0,0.0,28,0,28,28,0,0.00
203,S,1,16,13,0.2,1.5,13,0,13,13,0,0.00
333,S,1,75,73,0.1,0.2,-10,0,-10,-10,0,0.00
380,S,1,0,0,0.2,1.7,9,0,9,9,0,0.00
392,S,1,19,21,0.1,-0.9,-1,0,-1,-1,0,0.00
413,S,1,3,4,0.2,1.0,14,0,14,14,0,0.00
531,S,1,79,84,0.3,1.1,-12,0,-12,-12,0,0.00
578,S,1,9,9,0.1,-2.2,6,0,6,6,0,0.00
593,S,1,16,16,-0.0,-14.1,-11,0,-11,-11,0,0.00
613,S,1,-1,0,0.0,-4.6,14,0,14,14,0,0.00
732,S,1,75,72,0.1,-2.9,-10,0,-10,-10,0,0.00
779,S,1,7,7,0.1,-1.4,8,0,8,8,0,0.00
792,S,1,21,19,0.2,0.2,5,0,5,5,0,0.00
813,S,1,8,5,0.2,1.2,12,0,12,12,0,0.00
932,S,1,87,81,0.1,0.5,-10,0,-10,-10,0,0.00
979,S,1,8,7,0.5,5.8,10,0,10,10,0,0.00
991,S,1,22,21,0.6,3.0,3,0,3,3,0,0.00
1013,S,1,26,27,0.6,1.0,-9,0,-9,-9,0,0.00
1132,S,1,38,34,0.8,1.3,5,0,5,5,0,0.00
1179,S,1,-1,0,0.4,-2.1,6,0,6,6,0,0.00
1193,S,1,4,4,0.4,-2.6,60,0,60,60,0,0.00
1213,S,1,0,1,0.6,5.3,30,-1,29,31,0,0.00
1331,S,1,51,49,0.6,2.4,-1,0,-1,-1,0,0.00
1378,S,1,7,8,0.7,1.9,9,0,9,9,0,0.00
1393,S,1,6,5,0.7,-3.3,60,0,60,60,0,0.00
1413,S,1,4,5,0.7,-0.5,40,0,40,40,0,0.00
1532,S,1,83,81,0.7,-0.0,-7,0,-7,-7,0,0.00
1579,S,1,10,11,0.7,-1.3,11,0,11,11,0,0.00
1591,S,1,24,22,0.6,-1.4,5,0,5,5,0,0.00
1613,S,1,30,27,0.6,-0.1,-6,0,-6,-6,0,0.00
1732,S,1,66,53,0.6,-0.3,3,0,3,3,0,0.00
1779,S,1,1,0,0.5,-1.9,10,0,10,10,0,0.00
1791,S,1,18,15,0.4,-2.8,8,0,8,8,0,0.00
