HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=122,m=S,run=1,el=23,er=34,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=126,m=S,run=1,el=0,er=1,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=146,m=S,run=1,el=3,er=4,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=166,m=S,run=1,el=3,er=5,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=206,m=S,run=1,el=13,er=22,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=377,m=S,run=1,el=42,er=67,yaw=-1.8,yr=-5.8,pc=4,hd=0,OL=4,OR=4
HB:t=377,m=S,run=1,el=28,er=45,yaw=-1.8,yr=-5.8,pc=5,hd=0,OL=5,OR=5
HB:t=397,m=S,run=1,el=5,er=7,yaw=-1.8,yr=-5.8,pc=6,hd=0,OL=6,OR=6
HB:t=528,m=S,run=1,el=52,er=74,yaw=-3.8,yr=-9.2,pc=7,hd=0,OL=7,OR=7
HB:t=532,m=S,run=1,el=8,er=12,yaw=-3.8,yr=-9.2,pc=7,hd=1,OL=8,OR=6
HB:t=552,m=S,run=1,el=5,er=7,yaw=-3.8,yr=-9.2,pc=8,hd=1,OL=9,OR=7
HB:t=572,m=S,run=1,el=5,er=8,yaw=-3.8,yr=-9.2,pc=9,hd=1,OL=10,OR=8
HB:t=647,m=S,run=1,el=47,er=55,yaw=-6.4,yr=-24.0,pc=10,hd=1,OL=11,OR=9
HB:t=765,m=S,run=1,el=89,er=91,yaw=-7.3,yr=-18.6,pc=9,hd=2,OL=11,OR=7
HB:t=774,m=S,run=1,el=0,er=0,yaw=-7.3,yr=-18.6,pc=11,hd=2,OL=13,OR=9
HB:t=794,m=S,run=1,el=10,er=9,yaw=-7.3,yr=-18.6,pc=10,hd=2,OL=12,OR=8
HB:t=814,m=S,run=1,el=11,er=10,yaw=-7.3,yr=-18.6,pc=10,hd=2,OL=12,OR=8
HB:t=849,m=S,run=1,el=45,er=39,yaw=-7.4,yr=-12.9,pc=10,hd=2,OL=12,OR=8
HB:t=980,m=S,run=1,el=117,er=105,yaw=-7.8,yr=-9.5,pc=9,hd=2,OL=11,OR=7
HB:t=980,m=S,run=1,el=28,er=24,yaw=-7.8,yr=-9.5,pc=9,hd=2,OL=11,OR=7
HB:t=1000,m=S,run=1,el=11,er=9,yaw=-7.8,yr=-9.5,pc=9,hd=2,OL=11,OR=7
HB:t=1020,m=S,run=1,el=11,er=9,yaw=-7.8,yr=-9.5,pc=9,hd=2,OL=11,OR=7
HB:t=1069,m=S,run=1,el=46,er=41,yaw=-7.8,yr=-6.5,pc=9,hd=2,OL=11,OR=7
HB:t=1240,m=S,run=1,el=113,er=100,yaw=-6.3,yr=0.8,pc=8,hd=2,OL=10,OR=6
HB:t=1240,m=S,run=1,el=69,er=59,yaw=-6.3,yr=0.8,pc=9,hd=1,OL=10,OR=8
HB:t=1260,m=S,run=1,el=10,er=9,yaw=-6.3,yr=0.8,pc=9,hd=1,OL=10,OR=8
HB:t=1390,m=S,run=1,el=109,er=95,yaw=-5.1,yr=3.7,pc=8,hd=1,OL=9,OR=7
HB:t=1394,m=S,run=1,el=16,er=12,yaw=-5.1,yr=3.7,pc=9,hd=1,OL=10,OR=8
HB:t=1414,m=S,run=1,el=10,er=8,yaw=-5.1,yr=3.7,pc=9,hd=1,OL=10,OR=8
HB:t=1434,m=S,run=1,el=9,er=8,yaw=-5.1,yr=3.7,pc=10,hd=1,OL=11,OR=9
HB:t=1509,m=S,run=1,el=71,er=60,yaw=-3.3,yr=15.1,pc=9,hd=1,OL=10,OR=8
HB:t=1627,m=S,run=1,el=106,er=87,yaw=-2.3,yr=13.0,pc=9,hd=0,OL=9,OR=9
