t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
216,S,1,23,28,-0.3,0.0,2,0,2,2,0,0.00
216,S,1,34,44,-0.3,0.0,2,0,2,2,0,0.00
334,S,1,45,56,-0.6,-1.2,3,0,3,3,0,0.00
342,S,1,1,1,-0.6,-1.2,4,0,4,4,0,0.00
362,S,1,5,6,-0.6,-1.2,4,0,4,4,0,0.00
382,S,1,6,5,-0.6,-1.2,5,0,5,5,0,0.00
418,S,1,22,25,-0.8,-1.7,6,0,6,6,0,0.00
550,S,1,65,63,-1.5,-3.4,6,0,6,6,0,0.00
551,S,1,17,15,-1.5,-3.4,7,0,7,7,0,0.00
571,S,1,7,6,-1.5,-3.4,8,0,8,8,0,0.00
591,S,1,7,6,-1.5,-3.4,8,0,8,8,0,0.00
663,S,1,45,43,-1.6,-3.0,10,0,10,10,0,0.00
785,S,1,86,84,-1.4,-1.5,9,0,9,9,0,0.00
790,S,1,0,0,-1.4,-1.5,10,0,10,10,0,0.00
810,S,1,9,9,-1.4,-1.5,10,0,10,10,0,0.00
830,S,1,9,9,-1.4,-1.5,10,0,10,10,0,0.00
869,S,1,41,43,-1.4,-0.7,10,0,10,10,0,0.00
1036,S,1,108,108,-1.4,-0.4,9,0,9,9,0,0.00
1036,S,1,62,61,-1.4,-0.4,9,0,9,9,0,0.00
1056,S,1,11,11,-1.4,-0.4,10,0,10,10,0,0.00
1191,S,1,114,112,-1.4,-0.3,8,0,8,8,0,0.00
1194,S,1,17,17,-1.4,-0.3,9,0,9,9,0,0.00
1214,S,1,11,10,-1.4,-0.3,9,0,9,9,0,0.00
1234,S,1,10,10,-1.4,-0.3,9,0,9,9,0,0.00
1314,S,1,72,73,-1.4,-0.2,9,0,9,9,0,0.00
1432,S,1,92,93,-1.4,0.0,8,0,8,8,0,0.00
1441,S,1,3,4,-1.4,0.0,9,0,9,9,0,0.00
1461,S,1,8,9,-1.4,0.0,10,0,10,10,0,0.00
1481,S,1,8,9,-1.4,0.0,10,0,10,10,0,0.00
1516,S,1,36,34,-1.4,0.1,10,0,10,10,0,0.00
1648,S,1,103,98,-1.3,0.1,9,0,9,9,0,0.00
1649,S,1,24,23,-1.3,0.1,9,0,9,9,0,0.00
1669,S,1,10,9,-1.3,0.1,9,0,9,9,0,0.00
1689,S,1,10,9,-1.3,0.1,10,0,10,10,0,0.00
1736,S,1,40,35,-1.3,0.6,10,0,10,10,0,0.00
1869,S,1,111,100,-1.2,0.6,9,0,9,9,0,0.00
1869,S,1,27,24,-1.2,0.6,9,0,9,9,0,0.00
1889,S,1,10,9,-1.2,0.6,9,0,9,9,0,0.00
1909,S,1,10,9,-1.2,0.6,9,0,9,9,0,0.00
1957,S,1,40,36,-0.7,4.2,9,0,9,9,0,0.00
2089,S,1,107,98,0.3,5.8,9,0,9,9,0,0.00
2089,S,1,26,23,0.3,5.8,9,0,9,9,0,0.00
2109,S,1,10,9,0.3,5.8,9,0,9,9,0,0.00
2129,S,1,10,9,0.3,5.8,9,0,9,9,0,0.00
2202,S,1,65,59,1.4,11.2,9,0,9,9,0,0.00
2324,S,1,106,97,1.7,8.4,8,0,8,8,0,0.00
2329,S,1,2,1,1.7,8.4,10,0,10,10,0,0.00
2349,S,1,10,9,1.7,8.4,10,0,10,10,0,0.00
