t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
122,S,1,33,34,0.0,0.0,2,0,2,2,0,0.00
126,S,1,1,0,0.0,0.0,2,0,2,2,0,0.00
146,S,1,5,4,0.0,0.0,2,0,2,2,0,0.00
166,S,1,5,4,0.0,0.0,3,0,3,3,0,0.00
206,S,1,25,21,0.0,0.0,4,0,4,4,0,0.00
338,S,1,73,65,0.4,1.2,4,0,4,4,0,0.00
338,S,1,20,17,0.4,1.2,5,0,5,5,0,0.00
358,S,1,8,7,0.4,1.2,5,0,5,5,0,0.00
378,S,1,8,7,0.4,1.2,6,0,6,6,0,0.00
452,S,1,55,47,1.5,9.1,7,0,7,7,0,0.00
570,S,1,92,80,2.1,7.7,8,-1,7,9,0,0.00
578,S,1,4,3,2.1,7.7,9,-1,8,10,0,0.00
598,S,1,9,8,2.1,7.7,10,-1,9,11,0,0.00
618,S,1,9,8,2.1,7.7,10,-1,9,11,0,0.00
679,S,1,63,60,2.9,10.9,11,-1,10,12,0,0.00
801,S,1,118,114,3.3,8.2,9,-2,7,11,0,0.00
805,S,1,3,3,3.3,8.2,10,-1,9,11,0,0.00
825,S,1,11,12,3.3,8.2,10,-1,9,11,0,0.00
845,S,1,11,12,3.3,8.2,10,-1,9,11,0,0.00
885,S,1,45,47,3.4,6.0,10,-1,9,11,0,0.00
1056,S,1,118,124,3.4,3.9,9,-2,7,11,0,0.00
1057,S,1,69,75,3.4,3.9,9,-1,8,10,0,0.00
1077,S,1,11,12,3.4,3.9,10,-1,9,11,0,0.00
1207,S,1,115,119,2.8,1.0,9,-1,8,10,0,0.00
1211,S,1,18,18,2.8,1.0,9,-1,8,10,0,0.00
1231,S,1,11,11,2.8,1.0,10,-1,9,11,0,0.00
1251,S,1,11,11,2.8,1.0,10,-1,9,11,0,0.00
1321,S,1,69,73,2.1,-3.9,10,-1,9,11,0,0.00
1444,S,1,115,118,2.0,-3.0,9,0,9,9,0,0.00
1447,S,1,1,0,2.0,-3.0,10,-1,9,11,0,0.00
1467,S,1,11,11,2.0,-3.0,10,0,10,10,0,0.00
1487,S,1,10,11,2.0,-3.0,10,0,10,10,0,0.00
1553,S,1,77,78,1.4,-5.7,10,0,10,10,0,0.00
