HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=186,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=186,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=322,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=325,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=345,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=365,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=410,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=542,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=542,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=562,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=582,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=630,m=S,run=1,el=1,er=1,yaw=0.0,yr=0.0,pc=12,hd=0,OL=12,OR=12
HB:t=762,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=14,hd=0,OL=14,OR=14
HB:t=762,m=S,run=1,el=1,er=0,yaw=0.0,yr=0.0,pc=14,hd=0,OL=14,OR=14
HB:t=782,m=S,run=1,el=1,er=0,yaw=0.0,yr=0.0,pc=14,hd=0,OL=14,OR=14
HB:t=802,m=S,run=1,el=1,er=0,yaw=0.0,yr=0.0,pc=14,hd=0,OL=14,OR=14
HB:t=850,m=S,run=1,el=0,er=0,yaw=0.0,yr=-0.0,pc=14,hd=0,OL=14,OR=14
HB:t=982,m=S,run=1,el=0,er=0,yaw=0.1,yr=0.2,pc=14,hd=0,OL=14,OR=14
HB:t=982,m=S,run=1,el=0,er=0,yaw=0.1,yr=0.2,pc=14,hd=0,OL=14,OR=14
HB:t=1002,m=S,run=1,el=0,er=0,yaw=0.1,yr=0.2,pc=14,hd=0,OL=14,OR=14
