t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
185,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
186,S,1,24,24,0.0,0.0,2,0,2,2,0,0.00
322,S,1,66,56,0.0,0.0,3,0,3,3,0,0.00
325,S,1,2,1,0.0,0.0,3,0,3,3,0,0.00
345,S,1,7,7,0.0,0.0,4,0,4,4,0,0.00
365,S,1,8,6,0.0,0.0,4,0,4,4,0,0.00
411,S,1,35,30,0.1,0.3,5,0,5,5,0,0.00
582,S,1,84,71,1.3,4.2,6,0,6,6,0,0.00
583,S,1,54,48,1.3,4.2,7,0,7,7,0,0.00
603,S,1,8,7,1.3,4.2,8,0,8,8,0,0.00
733,S,1,98,85,2.2,5.1,8,0,8,8,0,0.00
736,S,1,2,1,2.2,5.1,10,0,10,10,0,0.00
756,S,1,9,8,2.2,5.1,10,0,10,10,0,0.00
776,S,1,10,9,2.2,5.1,10,0,10,10,0,0.00
852,S,1,82,73,3.5,12.8,9,-1,8,10,0,0.00
970,S,1,112,109,4.0,10.0,8,-1,7,9,0,0.00
978,S,1,4,4,4.0,10.0,9,-1,8,10,0,0.00
998,S,1,10,11,4.0,10.0,9,-1,8,10,0,0.00
1018,S,1,10,11,4.0,10.0,9,-1,8,10,0,0.00
1054,S,1,40,39,4.2,7.5,9,-1,8,10,0,0.00
1190,S,1,100,107,4.7,6.5,8,-1,7,9,0,0.00
1190,S,1,26,29,4.7,6.5,9,-1,8,10,0,0.00
1210,S,1,9,10,4.7,6.5,9,-1,8,10,0,0.00
1230,S,1,9,9,4.7,6.5,10,-1,9,11,0,0.00
1304,S,1,65,71,4.2,0.7,9,-1,8,10,0,0.00
1421,S,1,103,110,3.7,-1.0,8,-1,7,9,0,0.00
1430,S,1,3,2,3.7,-1.0,9,-1,8,10,0,0.00
1450,S,1,10,11,3.7,-1.0,9,-1,8,10,0,0.00
1470,S,1,10,11,3.7,-1.0,9,-1,8,10,0,0.00
1505,S,1,38,41,3.6,-1.4,9,-1,8,10,0,0.00
1676,S,1,100,108,2.6,-4.2,8,-1,7,9,0,0.00
1676,S,1,58,63,2.6,-4.2,9,0,9,9,0,0.00
1696,S,1,10,10,2.6,-4.2,9,0,9,9,0,0.00
1826,S,1,101,99,2.1,-4.2,8,0,8,8,0,0.00
