HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=107,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=126,m=S,run=1,el=1,er=1,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=146,m=S,run=1,el=2,er=5,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=166,m=S,run=1,el=1,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=393,m=S,run=1,el=97,er=97,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=517,m=S,run=1,el=73,er=72,yaw=-0.3,yr=-0.5,pc=1,hd=0,OL=1,OR=1
HB:t=525,m=S,run=1,el=8,er=9,yaw=-0.3,yr=-0.5,pc=2,hd=0,OL=2,OR=2
HB:t=545,m=S,run=1,el=7,er=7,yaw=-0.3,yr=-0.5,pc=2,hd=0,OL=2,OR=2
HB:t=565,m=S,run=1,el=8,er=7,yaw=-0.3,yr=-0.5,pc=3,hd=0,OL=3,OR=3
HB:t=585,m=S,run=1,el=7,er=7,yaw=-0.3,yr=-0.5,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=85,er=84,yaw=-0.3,yr=-0.5,pc=3,hd=0,OL=3,OR=3
HB:t=804,m=S,run=1,el=69,er=69,yaw=-0.4,yr=-0.4,pc=4,hd=0,OL=4,OR=4
HB:t=910,m=S,run=1,el=84,er=81,yaw=-0.4,yr=-0.4,pc=4,hd=0,OL=4,OR=4
HB:t=930,m=S,run=1,el=7,er=8,yaw=-0.4,yr=-0.4,pc=5,hd=0,OL=5,OR=5
HB:t=950,m=S,run=1,el=8,er=8,yaw=-0.4,yr=-0.4,pc=6,hd=0,OL=6,OR=6
HB:t=970,m=S,run=1,el=8,er=7,yaw=-0.4,yr=-0.4,pc=7,hd=0,OL=7,OR=7
HB:t=990,m=S,run=1,el=8,er=7,yaw=-0.4,yr=-0.4,pc=7,hd=0,OL=7,OR=7
HB:t=1121,m=S,run=1,el=95,er=88,yaw=-0.2,yr=-0.0,pc=7,hd=0,OL=7,OR=7
HB:t=1141,m=S,run=1,el=7,er=7,yaw=-0.2,yr=-0.0,pc=8,hd=0,OL=8,OR=8
HB:t=1161,m=S,run=1,el=8,er=7,yaw=-0.2,yr=-0.0,pc=8,hd=0,OL=8,OR=8
HB:t=1181,m=S,run=1,el=7,er=7,yaw=-0.2,yr=-0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1201,m=S,run=1,el=7,er=8,yaw=-0.2,yr=-0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1396,m=S,run=1,el=90,er=87,yaw=0.3,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=1397,m=S,run=1,el=76,er=74,yaw=0.3,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=1510,m=S,run=1,el=104,er=103,yaw=0.3,yr=0.6,pc=8,hd=0,OL=8,OR=8
HB:t=1530,m=S,run=1,el=9,er=9,yaw=0.3,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=1550,m=S,run=1,el=9,er=8,yaw=0.3,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=1570,m=S,run=1,el=9,er=9,yaw=0.3,yr=0.6,pc=10,hd=0,OL=10,OR=10
HB:t=1590,m=S,run=1,el=9,er=8,yaw=0.3,yr=0.6,pc=10,hd=0,OL=10,OR=10
HB:t=1665,m=S,run=1,el=75,er=74,yaw=1.0,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=1771,m=S,run=1,el=102,er=100,yaw=1.0,yr=1.6,pc=8,hd=0,OL=8,OR=8
HB:t=1791,m=S,run=1,el=9,er=9,yaw=1.0,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=1811,m=S,run=1,el=9,er=10,yaw=1.0,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=1831,m=S,run=1,el=9,er=9,yaw=1.0,yr=1.6,pc=10,hd=0,OL=10,OR=10
HB:t=1851,m=S,run=1,el=9,er=9,yaw=1.0,yr=1.6,pc=10,hd=0,OL=10,OR=10
HB:t=1992,m=S,run=1,el=142,er=140,yaw=1.1,yr=1.2,pc=8,hd=0,OL=8,OR=8
HB:t=2012,m=S,run=1,el=11,er=10,yaw=1.1,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=2032,m=S,run=1,el=10,er=10,yaw=1.1,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=2052,m=S,run=1,el=11,er=10,yaw=1.1,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=2228,m=S,run=1,el=112,er=108,yaw=1.1,yr=0.8,pc=8,hd=0,OL=8,OR=8
HB:t=2228,m=S,run=1,el=52,er=49,yaw=1.1,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=2248,m=S,run=1,el=8,er=8,yaw=1.1,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=2371,m=S,run=1,el=99,er=94,yaw=1.1,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=2390,m=S,run=1,el=9,er=8,yaw=1.1,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=2410,m=S,run=1,el=9,er=8,yaw=1.1,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=2515,m=S,run=1,el=86,er=82,yaw=1.8,yr=1.8,pc=9,hd=0,OL=9,OR=9
HB:t=2621,m=S,run=1,el=107,er=103,yaw=1.8,yr=1.8,pc=8,hd=0,OL=8,OR=8
HB:t=2641,m=S,run=1,el=9,er=9,yaw=1.8,yr=1.8,pc=9,hd=0,OL=9,OR=9
HB:t=2661,m=S,run=1,el=10,er=9,yaw=1.8,yr=1.8,pc=9,hd=0,OL=9,OR=9
HB:t=2681,m=S,run=1,el=10,er=9,yaw=1.8,yr=1.8,pc=10,hd=0,OL=10,OR=10
HB:t=2701,m=S,run=1,el=10,er=10,yaw=1.8,yr=1.8,pc=10,hd=0,OL=10,OR=10
HB:t=2842,m=S,run=1,el=138,er=134,yaw=2.5,yr=2.3,pc=8,hd=0,OL=8,OR=8
HB:t=2862,m=S,run=1,el=10,er=9,yaw=2.5,yr=2.3,pc=9,hd=0,OL=9,OR=9
HB:t=2882,m=S,run=1,el=11,er=10,yaw=2.5,yr=2.3,pc=9,hd=0,OL=9,OR=9
HB:t=2902,m=S,run=1,el=10,er=10,yaw=2.5,yr=2.3,pc=9,hd=0,OL=9,OR=9
HB:t=3107,m=S,run=1,el=113,er=109,yaw=2.8,yr=1.8,pc=8,hd=0,OL=8,OR=8
HB:t=3108,m=S,run=1,el=81,er=78,yaw=2.8,yr=1.8,pc=8,hd=0,OL=8,OR=8
HB:t=3221,m=S,run=1,el=97,er=97,yaw=2.8,yr=1.8,pc=8,hd=0,OL=8,OR=8
HB:t=3241,m=S,run=1,el=8,er=8,yaw=2.8,yr=1.8,pc=9,hd=0,OL=9,OR=9
HB:t=3261,m=S,run=1,el=8,er=8,yaw=2.8,yr=1.8,pc=9,hd=0,OL=9,OR=9
HB:t=3281,m=S,run=1,el=8,er=8,yaw=2.8,yr=1.8,pc=10,hd=0,OL=10,OR=10
HB:t=3301,m=S,run=1,el=9,er=8,yaw=2.8,yr=1.8,pc=10,hd=0,OL=10,OR=10
HB:t=3424,m=S,run=1,el=105,er=101,yaw=3.4,yr=2.2,pc=9,hd=0,OL=9,OR=9
HB:t=3444,m=S,run=1,el=11,er=10,yaw=3.4,yr=2.2,pc=9,hd=0,OL=9,OR=9
HB:t=3464,m=S,run=1,el=9,er=9,yaw=3.4,yr=2.2,pc=10,hd=0,OL=10,OR=10
HB:t=3484,m=S,run=1,el=11,er=10,yaw=3.4,yr=2.2,pc=10,hd=0,OL=10,OR=10
HB:t=3504,m=S,run=1,el=10,er=9,yaw=3.4,yr=2.2,pc=10,hd=0,OL=10,OR=10
HB:t=3711,m=S,run=1,el=202,er=195,yaw=3.6,yr=1.9,pc=7,hd=0,OL=7,OR=7
HB:t=3835,m=S,run=1,el=103,er=102,yaw=4.1,yr=1.9,pc=7,hd=0,OL=7,OR=7
HB:t=3843,m=S,run=1,el=1,er=1,yaw=4.1,yr=1.9,pc=9,hd=0,OL=9,OR=9
HB:t=3863,m=S,run=1,el=9,er=10,yaw=4.1,yr=1.9,pc=9,hd=0,OL=9,OR=9
HB:t=3883,m=S,run=1,el=9,er=9,yaw=4.1,yr=1.9,pc=10,hd=0,OL=10,OR=10
HB:t=3903,m=S,run=1,el=9,er=9,yaw=4.1,yr=1.9,pc=10,hd=0,OL=10,OR=10
HB:t=4024,m=S,run=1,el=108,er=104,yaw=4.1,yr=1.9,pc=9,hd=0,OL=9,OR=9
HB:t=4122,m=S,run=1,el=98,er=95,yaw=4.2,yr=1.6,pc=8,hd=0,OL=8,OR=8
HB:t=4229,m=S,run=1,el=100,er=97,yaw=4.2,yr=1.6,pc=8,hd=0,OL=8,OR=8
HB:t=4249,m=S,run=1,el=8,er=9,yaw=4.2,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=4269,m=S,run=1,el=10,er=9,yaw=4.2,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=4289,m=S,run=1,el=9,er=9,yaw=4.2,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=4309,m=S,run=1,el=10,er=9,yaw=4.2,yr=1.6,pc=10,hd=0,OL=10,OR=10
HB:t=4439,m=S,run=1,el=125,er=124,yaw=4.4,yr=1.3,pc=8,hd=0,OL=8,OR=8
HB:t=4459,m=S,run=1,el=10,er=10,yaw=4.4,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=4479,m=S,run=1,el=11,er=10,yaw=4.4,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=4499,m=S,run=1,el=10,er=10,yaw=4.4,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=4519,m=S,run=1,el=10,er=10,yaw=4.4,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=4715,m=S,run=1,el=105,er=101,yaw=4.7,yr=1.2,pc=8,hd=0,OL=8,OR=8
HB:t=4715,m=S,run=1,el=79,er=74,yaw=4.7,yr=1.2,pc=8,hd=0,OL=8,OR=8
HB:t=4828,m=S,run=1,el=98,er=96,yaw=4.7,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=4848,m=S,run=1,el=9,er=9,yaw=4.7,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=4868,m=S,run=1,el=9,er=9,yaw=4.7,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=4888,m=S,run=1,el=9,er=9,yaw=4.7,yr=1.2,pc=10,hd=0,OL=10,OR=10
HB:t=4908,m=S,run=1,el=10,er=9,yaw=4.7,yr=1.2,pc=10,hd=0,OL=10,OR=10
HB:t=4988,m=S,run=1,el=80,er=80,yaw=5.3,yr=1.7,pc=9,hd=0,OL=9,OR=9
HB:t=5095,m=S,run=1,el=106,er=105,yaw=5.3,yr=1.7,pc=8,hd=0,OL=8,OR=8
HB:t=5115,m=S,run=1,el=10,er=10,yaw=5.3,yr=1.7,pc=9,hd=0,OL=9,OR=9
HB:t=5135,m=S,run=1,el=10,er=10,yaw=5.3,yr=1.7,pc=9,hd=0,OL=9,OR=9
HB:t=5155,m=S,run=1,el=10,er=10,yaw=5.3,yr=1.7,pc=9,hd=0,OL=9,OR=9
HB:t=5175,m=S,run=1,el=10,er=9,yaw=5.3,yr=1.7,pc=10,hd=0,OL=10,OR=10
HB:t=5309,m=S,run=1,el=132,er=129,yaw=5.3,yr=1.2,pc=8,hd=0,OL=8,OR=8
HB:t=5329,m=S,run=1,el=10,er=10,yaw=5.3,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=5349,m=S,run=1,el=11,er=10,yaw=5.3,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=5369,m=S,run=1,el=11,er=10,yaw=5.3,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=5581,m=S,run=1,el=108,er=105,yaw=5.3,yr=0.8,pc=8,hd=0,OL=8,OR=8
HB:t=5582,m=S,run=1,el=82,er=79,yaw=5.3,yr=0.8,pc=8,hd=0,OL=8,OR=8
HB:t=5694,m=S,run=1,el=96,er=91,yaw=5.3,yr=0.8,pc=8,hd=0,OL=8,OR=8
HB:t=5714,m=S,run=1,el=9,er=8,yaw=5.3,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=5734,m=S,run=1,el=9,er=7,yaw=5.3,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=5754,m=S,run=1,el=9,er=9,yaw=5.3,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=5774,m=S,run=1,el=11,er=9,yaw=5.3,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=5898,m=S,run=1,el=115,er=104,yaw=6.0,yr=1.7,pc=9,hd=0,OL=9,OR=9
HB:t=5918,m=S,run=1,el=11,er=10,yaw=6.0,yr=1.7,pc=9,hd=0,OL=9,OR=9
HB:t=5938,m=S,run=1,el=10,er=10,yaw=6.0,yr=1.7,pc=9,hd=0,OL=9,OR=9
HB:t=5958,m=S,run=1,el=10,er=10,yaw=6.0,yr=1.7,pc=9,hd=0,OL=9,OR=9
HB:t=5978,m=S,run=1,el=10,er=10,yaw=6.0,yr=1.7,pc=9,hd=0,OL=9,OR=9
HB:t=6185,m=S,run=1,el=199,er=189,yaw=7.0,yr=2.9,pc=7,hd=0,OL=7,OR=7
HB:t=6396,m=S,run=1,el=107,er=98,yaw=9.0,yr=5.0,pc=8,hd=0,OL=8,OR=8
HB:t=6396,m=S,run=1,el=91,er=84,yaw=9.0,yr=5.0,pc=8,hd=-1,OL=7,OR=9
HB:t=6503,m=S,run=1,el=96,er=90,yaw=9.0,yr=5.0,pc=7,hd=-1,OL=6,OR=8
HB:t=6523,m=S,run=1,el=9,er=8,yaw=9.0,yr=5.0,pc=9,hd=-1,OL=8,OR=10
HB:t=6543,m=S,run=1,el=9,er=9,yaw=9.0,yr=5.0,pc=9,hd=-1,OL=8,OR=10
HB:t=6563,m=S,run=1,el=9,er=9,yaw=9.0,yr=5.0,pc=10,hd=-1,OL=9,OR=11
HB:t=6583,m=S,run=1,el=10,er=9,yaw=9.0,yr=5.0,pc=10,hd=-1,OL=9,OR=11
HB:t=6713,m=S,run=1,el=128,er=127,yaw=9.3,yr=3.8,pc=8,hd=-1,OL=7,OR=9
HB:t=6733,m=S,run=1,el=11,er=10,yaw=9.3,yr=3.8,pc=9,hd=-1,OL=8,OR=10
HB:t=6753,m=S,run=1,el=10,er=11,yaw=9.3,yr=3.8,pc=9,hd=-1,OL=8,OR=10
HB:t=6773,m=S,run=1,el=10,er=10,yaw=9.3,yr=3.8,pc=9,hd=-1,OL=8,OR=10
HB:t=6793,m=S,run=1,el=10,er=10,yaw=9.3,yr=3.8,pc=9,hd=-1,OL=8,OR=10
HB:t=6989,m=S,run=1,el=110,er=110,yaw=10.0,yr=3.3,pc=8,hd=-1,OL=7,OR=9
HB:t=6989,m=S,run=1,el=80,er=78,yaw=10.0,yr=3.3,pc=8,hd=-1,OL=7,OR=9
HB:t=7102,m=S,run=1,el=96,er=95,yaw=10.0,yr=3.3,pc=8,hd=-1,OL=7,OR=9
HB:t=7122,m=S,run=1,el=9,er=9,yaw=10.0,yr=3.3,pc=9,hd=-1,OL=8,OR=10
HB:t=7142,m=S,run=1,el=8,er=9,yaw=10.0,yr=3.3,pc=9,hd=-1,OL=8,OR=10
HB:t=7162,m=S,run=1,el=8,er=9,yaw=10.0,yr=3.3,pc=10,hd=-1,OL=9,OR=11
HB:t=7182,m=S,run=1,el=10,er=8,yaw=10.0,yr=3.3,pc=10,hd=-1,OL=9,OR=11
HB:t=7277,m=S,run=1,el=89,er=92,yaw=10.0,yr=2.1,pc=9,hd=-1,OL=8,OR=10
HB:t=7384,m=S,run=1,el=105,er=112,yaw=10.0,yr=2.1,pc=8,hd=-1,OL=7,OR=9
HB:t=7404,m=S,run=1,el=10,er=10,yaw=10.0,yr=2.1,pc=9,hd=-1,OL=8,OR=10
HB:t=7424,m=S,run=1,el=10,er=11,yaw=10.0,yr=2.1,pc=9,hd=-1,OL=8,OR=10
HB:t=7444,m=S,run=1,el=10,er=10,yaw=10.0,yr=2.1,pc=9,hd=-1,OL=8,OR=10
HB:t=7464,m=S,run=1,el=10,er=10,yaw=10.0,yr=2.1,pc=9,hd=-1,OL=8,OR=10
HB:t=7594,m=S,run=1,el=114,er=118,yaw=9.8,yr=1.1,pc=8,hd=-1,OL=7,OR=9
HB:t=7614,m=S,run=1,el=10,er=10,yaw=9.8,yr=1.1,pc=9,hd=-1,OL=8,OR=10
