HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=106,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=126,m=S,run=1,el=1,er=1,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=146,m=S,run=1,el=4,er=4,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=166,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=3,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=393,m=S,run=1,el=109,er=113,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=522,m=S,run=1,el=68,er=71,yaw=-0.1,yr=-0.1,pc=1,hd=0,OL=1,OR=1
HB:t=525,m=S,run=1,el=12,er=11,yaw=-0.1,yr=-0.1,pc=2,hd=0,OL=2,OR=2
HB:t=545,m=S,run=1,el=8,er=7,yaw=-0.1,yr=-0.1,pc=2,hd=0,OL=2,OR=2
HB:t=565,m=S,run=1,el=8,er=7,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=585,m=S,run=1,el=7,er=7,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=77,er=77,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=808,m=S,run=1,el=61,er=61,yaw=-0.5,yr=-0.8,pc=5,hd=0,OL=5,OR=5
HB:t=915,m=S,run=1,el=79,er=78,yaw=-0.5,yr=-0.8,pc=5,hd=0,OL=5,OR=5
HB:t=935,m=S,run=1,el=7,er=8,yaw=-0.5,yr=-0.8,pc=6,hd=0,OL=6,OR=6
HB:t=955,m=S,run=1,el=8,er=7,yaw=-0.5,yr=-0.8,pc=6,hd=0,OL=6,OR=6
HB:t=975,m=S,run=1,el=8,er=7,yaw=-0.5,yr=-0.8,pc=7,hd=0,OL=7,OR=7
HB:t=995,m=S,run=1,el=8,er=7,yaw=-0.5,yr=-0.8,pc=7,hd=0,OL=7,OR=7
HB:t=1125,m=S,run=1,el=96,er=92,yaw=-0.2,yr=-0.1,pc=7,hd=0,OL=7,OR=7
HB:t=1145,m=S,run=1,el=8,er=7,yaw=-0.2,yr=-0.1,pc=8,hd=0,OL=8,OR=8
HB:t=1165,m=S,run=1,el=8,er=8,yaw=-0.2,yr=-0.1,pc=8,hd=0,OL=8,OR=8
HB:t=1185,m=S,run=1,el=8,er=7,yaw=-0.2,yr=-0.1,pc=9,hd=0,OL=9,OR=9
HB:t=1205,m=S,run=1,el=8,er=7,yaw=-0.2,yr=-0.1,pc=9,hd=0,OL=9,OR=9
HB:t=1400,m=S,run=1,el=94,er=92,yaw=0.0,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=1401,m=S,run=1,el=76,er=73,yaw=0.0,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=1514,m=S,run=1,el=104,er=103,yaw=0.0,yr=0.2,pc=8,hd=0,OL=8,OR=8
HB:t=1534,m=S,run=1,el=9,er=9,yaw=0.0,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=1554,m=S,run=1,el=10,er=9,yaw=0.0,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=1574,m=S,run=1,el=10,er=10,yaw=0.0,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=1594,m=S,run=1,el=10,er=10,yaw=0.0,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=1669,m=S,run=1,el=70,er=68,yaw=0.4,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=1775,m=S,run=1,el=105,er=100,yaw=0.4,yr=0.8,pc=8,hd=0,OL=8,OR=8
