t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
107,S,1,23,25,0.0,0.0,4,0,4,4,0,0.00
127,S,1,3,4,0.0,0.0,6,0,6,6,0,0.00
147,S,1,3,4,0.0,0.0,6,0,6,6,0,0.00
167,S,1,3,5,0.0,0.0,6,0,6,6,0,0.00
187,S,1,3,5,0.0,0.0,6,0,6,6,0,0.00
306,S,1,48,51,0.0,0.0,5,0,5,5,0,0.00
325,S,1,5,4,0.0,0.0,9,0,9,9,0,0.00
345,S,1,6,5,0.0,0.0,9,0,9,9,0,0.00
365,S,1,6,5,0.0,0.0,8,0,8,8,0,0.00
385,S,1,6,4,0.0,0.0,8,0,8,8,0,0.00
506,S,1,81,52,0.0,0.0,7,0,7,7,0,0.00
525,S,1,8,5,0.0,0.0,11,0,11,11,0,0.00
545,S,1,9,5,0.0,0.0,11,0,11,11,0,0.00
565,S,1,9,6,0.0,0.0,10,0,10,10,0,0.00
585,S,1,9,6,0.0,0.0,10,0,10,10,0,0.00
706,S,1,122,77,0.0,0.0,8,0,8,8,0,0.00
725,S,1,11,7,0.0,0.0,14,0,14,14,0,0.00
745,S,1,12,8,0.0,0.0,14,0,14,14,0,0.00
765,S,1,13,9,0.0,0.0,13,0,13,13,0,0.00
785,S,1,14,9,0.0,0.0,12,0,12,12,0,0.00
906,S,1,161,107,0.0,0.0,9,0,9,9,0,0.00
925,S,1,14,10,0.0,0.0,17,0,17,17,0,0.00
945,S,1,16,10,0.0,0.0,17,0,17,17,0,0.00
965,S,1,17,11,0.0,0.0,16,0,16,16,0,0.00
985,S,1,17,12,0.0,0.0,15,0,15,15,0,0.00
1106,S,1,200,150,0.0,0.0,10,0,10,10,0,0.00
1125,S,1,18,14,0.0,0.0,22,0,22,22,0,0.00
1145,S,1,20,17,0.0,0.0,22,0,22,22,0,0.00
1165,S,1,21,18,0.0,0.0,20,0,20,20,0,0.00
1185,S,1,21,19,0.0,0.0,18,0,18,18,0,0.00
1306,S,1,255,215,0.0,0.0,11,0,11,11,0,0.00
1325,S,1,23,19,0.0,0.0,27,0,27,27,0,0.00
1345,S,1,26,22,0.0,0.0,27,0,27,27,0,0.00
1365,S,1,26,24,0.0,0.0,24,0,24,24,0,0.00
1385,S,1,27,25,0.0,0.0,21,0,21,21,0,0.00
1506,S,1,316,280,0.0,0.0,13,0,13,13,0,0.00
1525,S,1,28,24,0.0,0.0,33,0,33,33,0,0.00
1545,S,1,31,28,0.0,0.0,32,0,32,32,0,0.00
1565,S,1,32,28,0.0,0.0,29,0,29,29,0,0.00
1585,S,1,33,30,0.0,0.0,26,0,26,26,0,0.00
1706,S,1,380,345,0.0,0.0,15,0,15,15,0,0.00
1725,S,1,32,31,0.0,0.0,39,0,39,39,0,0.00
1745,S,1,37,36,0.0,0.0,38,0,38,38,0,0.00
1765,S,1,38,39,0.0,0.0,34,0,34,34,0,0.00
1785,S,1,40,38,0.0,0.0,30,0,30,30,0,0.00
1906,S,1,446,420,0.0,0.0,16,0,16,16,0,0.00
1925,S,1,40,37,0.0,0.0,45,0,45,45,0,0.00
1945,S,1,46,41,0.0,0.0,44,0,44,44,0,0.00
1965,S,1,46,44,0.0,0.0,39,0,39,39,0,0.00
1985,S,1,45,44,0.0,0.0,34,0,34,34,0,0.00
2106,S,1,515,495,0.0,0.0,18,0,18,18,0,0.00
2125,S,1,45,43,0.0,0.0,51,0,51,51,0,0.00
2145,S,1,50,48,0.0,0.0,50,0,50,50,0,0.00
2165,S,1,53,51,0.0,0.0,44,0,44,44,0,0.00
2185,S,1,52,51,0.0,0.0,37,0,37,37,0,0.00
2306,S,1,574,567,0.0,0.0,19,0,19,19,0,0.00
2325,S,1,49,48,0.0,0.0,53,0,53,53,0,0.00
2345,S,1,56,54,0.0,0.0,53,0,53,53,0,0.00
2365,S,1,56,56,0.0,0.0,46,0,46,46,0,0.00
2385,S,1,56,55,0.0,0.0,39,0,39,39,0,0.00
2506,S,1,617,616,0.0,0.0,19,0,19,19,0,0.00
2525,S,1,53,52,0.0,0.0,57,0,57,57,0,0.00
2545,S,1,59,58,0.0,0.0,56,0,56,56,0,0.00
2565,S,1,62,60,0.0,0.0,49,0,49,49,0,0.00
2585,S,1,59,58,0.0,0.0,42,0,42,42,0,0.00
2706,S,1,658,661,0.0,0.0,20,0,20,20,0,0.00
2725,S,1,55,55,0.0,0.0,60,0,60,60,0,0.00
2745,S,1,62,62,0.0,0.0,59,0,59,59,0,0.00
2765,S,1,64,66,0.0,0.0,51,0,51,51,0,0.00
2785,S,1,67,68,0.0,0.0,43,0,43,43,0,0.00
2906,S,1,665,689,0.0,0.0,20,0,20,20,0,0.00
2925,S,1,56,57,0.0,0.0,60,0,60,60,0,0.00
2945,S,1,65,67,0.0,0.0,60,0,60,60,0,0.00
2965,S,1,63,60,0.0,0.0,56,0,56,56,0,0.00
2985,S,1,63,64,0.0,0.0,47,0,47,47,0,0.00
3106,S,1,548,581,0.0,0.0,26,0,26,26,0,0.00
3125,S,1,40,44,0.0,0.0,60,0,60,60,0,0.00
3145,S,1,47,53,0.0,0.0,60,0,60,60,0,0.00
3165,S,1,51,58,0.0,0.0,53,0,53,53,0,0.00
3185,S,1,51,58,0.0,0.0,44,0,44,44,0,0.00
3306,S,1,463,522,0.0,0.0,25,0,25,25,0,0.00
3325,S,1,36,38,0.0,0.0,56,0,56,56,0,0.00
3345,S,1,41,44,0.0,0.0,53,0,53,53,0,0.00
3365,S,1,45,48,0.0,0.0,46,0,46,46,0,0.00
3385,S,1,44,49,0.0,0.0,39,0,39,39,0,0.00
3506,S,1,380,449,0.0,0.0,23,0,23,23,0,0.00
3525,S,1,29,33,0.0,0.0,49,0,49,49,0,0.00
3545,S,1,35,39,0.0,0.0,47,0,47,47,0,0.00
3565,S,1,39,40,0.0,0.0,41,0,41,41,0,0.00
3585,S,1,39,40,0.0,0.0,35,0,35,35,0,0.00
3706,S,1,322,377,0.0,0.0,22,0,22,22,0,0.00
