t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
106,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
126,S,1,1,1,0.0,0.0,1,0,1,1,0,0.00
146,S,1,1,4,0.0,0.0,1,0,1,1,0,0.00
166,S,1,2,3,0.0,0.0,1,0,1,1,0,0.00
186,S,1,2,3,0.0,0.0,2,0,2,2,0,0.00
393,S,1,101,101,0.0,0.0,1,0,1,1,0,0.00
517,S,1,80,75,-0.3,-0.5,1,0,1,1,0,0.00
525,S,1,4,3,-0.3,-0.5,2,0,2,2,0,0.00
545,S,1,7,7,-0.3,-0.5,2,0,2,2,0,0.00
565,S,1,7,7,-0.3,-0.5,3,0,3,3,0,0.00
585,S,1,8,7,-0.3,-0.5,3,0,3,3,0,0.00
706,S,1,89,82,-0.3,-0.5,3,0,3,3,0,0.00
778,S,1,52,49,-0.3,-0.3,4,0,4,4,0,0.00
798,S,1,8,8,-0.3,-0.3,5,0,5,5,0,0.00
906,S,1,89,82,-0.3,-0.3,5,0,5,5,0,0.00
926,S,1,8,7,-0.3,-0.3,5,0,5,5,0,0.00
946,S,1,8,8,-0.3,-0.3,6,0,6,6,0,0.00
966,S,1,8,6,-0.3,-0.3,7,0,7,7,0,0.00
1002,S,1,24,22,0.1,0.5,7,0,7,7,0,0.00
1109,S,1,85,77,0.1,0.5,7,0,7,7,0,0.00
1129,S,1,9,8,0.1,0.5,8,0,8,8,0,0.00
1149,S,1,8,8,0.1,0.5,8,0,8,8,0,0.00
1169,S,1,8,7,0.1,0.5,9,0,9,9,0,0.00
1189,S,1,8,7,0.1,0.5,9,0,9,9,0,0.00
1365,S,1,157,145,1.1,2.0,8,0,8,8,0,0.00
1385,S,1,9,9,1.1,2.0,9,0,9,9,0,0.00
1537,S,1,109,103,1.9,2.4,8,0,8,8,0,0.00
1537,S,1,27,26,1.9,2.4,9,0,9,9,0,0.00
1557,S,1,9,8,1.9,2.4,9,0,9,9,0,0.00
1577,S,1,9,9,1.9,2.4,10,0,10,10,0,0.00
1597,S,1,10,9,1.9,2.4,10,0,10,10,0,0.00
