HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=106,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=126,m=S,run=1,el=1,er=1,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=146,m=S,run=1,el=1,er=4,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=166,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=393,m=S,run=1,el=101,er=101,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=517,m=S,run=1,el=80,er=75,yaw=-0.3,yr=-0.5,pc=1,hd=0,OL=1,OR=1
HB:t=525,m=S,run=1,el=4,er=3,yaw=-0.3,yr=-0.5,pc=2,hd=0,OL=2,OR=2
HB:t=545,m=S,run=1,el=7,er=7,yaw=-0.3,yr=-0.5,pc=2,hd=0,OL=2,OR=2
HB:t=565,m=S,run=1,el=7,er=7,yaw=-0.3,yr=-0.5,pc=3,hd=0,OL=3,OR=3
HB:t=585,m=S,run=1,el=8,er=7,yaw=-0.3,yr=-0.5,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=89,er=82,yaw=-0.3,yr=-0.5,pc=3,hd=0,OL=3,OR=3
HB:t=778,m=S,run=1,el=52,er=49,yaw=-0.3,yr=-0.3,pc=4,hd=0,OL=4,OR=4
HB:t=798,m=S,run=1,el=8,er=8,yaw=-0.3,yr=-0.3,pc=5,hd=0,OL=5,OR=5
HB:t=906,m=S,run=1,el=89,er=82,yaw=-0.3,yr=-0.3,pc=5,hd=0,OL=5,OR=5
HB:t=926,m=S,run=1,el=8,er=7,yaw=-0.3,yr=-0.3,pc=5,hd=0,OL=5,OR=5
HB:t=946,m=S,run=1,el=8,er=8,yaw=-0.3,yr=-0.3,pc=6,hd=0,OL=6,OR=6
HB:t=966,m=S,run=1,el=8,er=6,yaw=-0.3,yr=-0.3,pc=7,hd=0,OL=7,OR=7
HB:t=1002,m=S,run=1,el=24,er=22,yaw=0.1,yr=0.5,pc=7,hd=0,OL=7,OR=7
HB:t=1109,m=S,run=1,el=85,er=77,yaw=0.1,yr=0.5,pc=7,hd=0,OL=7,OR=7
HB:t=1129,m=S,run=1,el=9,er=8,yaw=0.1,yr=0.5,pc=8,hd=0,OL=8,OR=8
HB:t=1149,m=S,run=1,el=8,er=8,yaw=0.1,yr=0.5,pc=8,hd=0,OL=8,OR=8
HB:t=1169,m=S,run=1,el=8,er=7,yaw=0.1,yr=0.5,pc=9,hd=0,OL=9,OR=9
HB:t=1189,m=S,run=1,el=8,er=7,yaw=0.1,yr=0.5,pc=9,hd=0,OL=9,OR=9
HB:t=1365,m=S,run=1,el=157,er=145,yaw=1.1,yr=2.0,pc=8,hd=0,OL=8,OR=8
HB:t=1385,m=S,run=1,el=9,er=9,yaw=1.1,yr=2.0,pc=9,hd=0,OL=9,OR=9
HB:t=1537,m=S,run=1,el=109,er=103,yaw=1.9,yr=2.4,pc=8,hd=0,OL=8,OR=8
HB:t=1537,m=S,run=1,el=27,er=26,yaw=1.9,yr=2.4,pc=9,hd=0,OL=9,OR=9
HB:t=1557,m=S,run=1,el=9,er=8,yaw=1.9,yr=2.4,pc=9,hd=0,OL=9,OR=9
HB:t=1577,m=S,run=1,el=9,er=9,yaw=1.9,yr=2.4,pc=10,hd=0,OL=10,OR=10
HB:t=1597,m=S,run=1,el=10,er=9,yaw=1.9,yr=2.4,pc=10,hd=0,OL=10,OR=10
HB:t=1708,m=S,run=1,el=116,er=110,yaw=1.9,yr=2.4,pc=8,hd=0,OL=8,OR=8
