t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
86,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
193,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
321,S,1,32,32,0.0,0.0,1,0,1,1,0,0.00
325,S,1,7,8,0.0,0.0,1,0,1,1,0,0.00
345,S,1,5,6,0.0,0.0,1,0,1,1,0,0.00
365,S,1,5,5,0.0,0.0,1,0,1,1,0,0.00
385,S,1,5,5,0.0,0.0,2,0,2,2,0,0.00
505,S,1,57,69,0.0,0.0,2,0,2,2,0,0.00
608,S,1,54,62,-0.1,-0.1,3,0,3,3,0,0.00
714,S,1,67,77,-0.1,-0.1,3,0,3,3,0,0.00
734,S,1,6,8,-0.1,-0.1,4,0,4,4,0,0.00
754,S,1,6,7,-0.1,-0.1,4,0,4,4,0,0.00
774,S,1,6,7,-0.1,-0.1,5,0,5,5,0,0.00
794,S,1,6,7,-0.1,-0.1,5,0,5,5,0,0.00
976,S,1,115,135,-1.7,-3.0,4,0,4,4,0,0.00
996,S,1,6,7,-1.7,-3.0,6,0,6,6,0,0.00
1221,S,1,81,93,-5.2,-7.0,6,0,6,6,0,0.00
1222,S,1,80,89,-5.2,-7.0,6,0,6,6,0,0.00
1328,S,1,74,84,-5.2,-7.0,7,0,7,7,0,0.00
1348,S,1,7,8,-5.2,-7.0,8,0,8,8,0,0.00
1368,S,1,6,7,-5.2,-7.0,9,0,9,9,0,0.00
1388,S,1,6,8,-5.2,-7.0,9,0,9,9,0,0.00
1408,S,1,7,8,-5.2,-7.0,9,0,9,9,0,0.00
1432,S,1,10,12,-5.7,-5.4,9,0,9,9,0,0.00
1539,S,1,80,94,-5.7,-5.4,8,0,8,8,0,0.00
1559,S,1,8,9,-5.7,-5.4,8,0,8,8,0,0.00
1579,S,1,8,9,-5.7,-5.4,9,0,9,9,0,0.00
1599,S,1,7,9,-5.7,-5.4,9,0,9,9,0,0.00
1619,S,1,8,9,-5.7,-5.4,9,0,9,9,0,0.00
1841,S,1,180,201,-7.1,-5.9,6,1,7,5,0,0.00
1964,S,1,86,92,-9.0,-6.9,6,1,7,5,0,0.00
1968,S,1,12,14,-9.0,-6.9,7,1,8,6,0,0.00
1988,S,1,7,7,-9.0,-6.9,8,1,9,7,0,0.00
2008,S,1,7,8,-9.0,-6.9,8,1,9,7,0,0.00
2028,S,1,7,8,-9.0,-6.9,9,1,10,8,0,0.00
2147,S,1,90,90,-9.0,-6.9,8,1,9,7,0,0.00
2251,S,1,82,80,-10.5,-7.1,8,1,9,7,0,0.00
2357,S,1,96,95,-10.5,-7.1,7,1,8,6,0,0.00
2377,S,1,9,8,-10.5,-7.1,8,1,9,7,0,0.00
2397,S,1,9,9,-10.5,-7.1,8,1,9,7,0,0.00
2417,S,1,9,8,-10.5,-7.1,8,1,9,7,0,0.00
2437,S,1,10,9,-10.5,-7.1,8,1,9,7,0,0.00
2568,S,1,104,104,-10.6,-4.9,7,1,8,6,0,0.00
2588,S,1,8,8,-10.6,-4.9,9,1,10,8,0,0.00
2608,S,1,9,8,-10.6,-4.9,9,1,10,8,0,0.00
2628,S,1,8,8,-10.6,-4.9,9,1,10,8,0,0.00
2648,S,1,9,8,-10.6,-4.9,9,1,10,8,0,0.00
2843,S,1,92,91,-10.7,-3.2,8,1,9,7,0,0.00
2844,S,1,75,73,-10.7,-3.2,8,1,9,7,0,0.00
