t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
106,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
126,S,1,1,2,0.0,0.0,1,0,1,1,0,0.00
146,S,1,1,4,0.0,0.0,1,0,1,1,0,0.00
166,S,1,2,1,0.0,0.0,1,0,1,1,0,0.00
186,S,1,2,3,0.0,0.0,2,0,2,2,0,0.00
317,S,1,51,51,0.0,0.0,2,0,2,2,0,0.00
337,S,1,4,4,0.0,0.0,2,0,2,2,0,0.00
357,S,1,5,6,0.0,0.0,2,0,2,2,0,0.00
377,S,1,5,5,0.0,0.0,3,0,3,3,0,0.00
397,S,1,5,6,0.0,0.0,3,0,3,3,0,0.00
593,S,1,64,70,0.1,0.2,3,0,3,3,0,0.00
593,S,1,54,59,0.1,0.2,3,0,3,3,0,0.00
706,S,1,73,83,0.1,0.2,3,0,3,3,0,0.00
726,S,1,7,8,0.1,0.2,4,0,4,4,0,0.00
746,S,1,7,8,0.1,0.2,5,0,5,5,0,0.00
766,S,1,7,8,0.1,0.2,5,0,5,5,0,0.00
786,S,1,7,8,0.1,0.2,5,0,5,5,0,0.00
856,S,1,48,53,-1.0,-1.9,6,0,6,6,0,0.00
963,S,1,81,86,-1.0,-1.9,6,0,6,6,0,0.00
983,S,1,7,8,-1.0,-1.9,7,0,7,7,0,0.00
1003,S,1,8,8,-1.0,-1.9,8,0,8,8,0,0.00
1023,S,1,8,8,-1.0,-1.9,8,0,8,8,0,0.00
1043,S,1,7,8,-1.0,-1.9,8,0,8,8,0,0.00
1256,S,1,171,179,-3.0,-4.8,6,0,6,6,0,0.00
1457,S,1,88,94,-3.8,-4.4,6,0,6,6,0,0.00
1458,S,1,72,77,-3.8,-4.4,6,0,6,6,0,0.00
1564,S,1,79,82,-3.8,-4.4,6,0,6,6,0,0.00
1584,S,1,8,7,-3.8,-4.4,8,0,8,8,0,0.00
1604,S,1,7,7,-3.8,-4.4,8,0,8,8,0,0.00
1624,S,1,7,7,-3.8,-4.4,9,0,9,9,0,0.00
