HB:t=57,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=163,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=183,m=S,run=1,el=3,er=1,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=412,m=S,run=1,el=41,er=46,yaw=-0.1,yr=-0.2,pc=1,hd=0,OL=1,OR=1
HB:t=413,m=S,run=1,el=73,er=68,yaw=-0.1,yr=-0.2,pc=1,hd=0,OL=1,OR=1
HB:t=519,m=S,run=1,el=84,er=80,yaw=-0.1,yr=-0.2,pc=1,hd=0,OL=1,OR=1
HB:t=539,m=S,run=1,el=9,er=7,yaw=-0.1,yr=-0.2,pc=2,hd=0,OL=2,OR=2
HB:t=559,m=S,run=1,el=8,er=8,yaw=-0.1,yr=-0.2,pc=2,hd=0,OL=2,OR=2
HB:t=579,m=S,run=1,el=9,er=8,yaw=-0.1,yr=-0.2,pc=2,hd=0,OL=2,OR=2
HB:t=599,m=S,run=1,el=8,er=8,yaw=-0.1,yr=-0.2,pc=3,hd=0,OL=3,OR=3
HB:t=681,m=S,run=1,el=59,er=57,yaw=0.1,yr=0.2,pc=3,hd=0,OL=3,OR=3
HB:t=788,m=S,run=1,el=87,er=84,yaw=0.1,yr=0.2,pc=3,hd=0,OL=3,OR=3
HB:t=807,m=S,run=1,el=8,er=8,yaw=0.1,yr=0.2,pc=4,hd=0,OL=4,OR=4
HB:t=827,m=S,run=1,el=8,er=8,yaw=0.1,yr=0.2,pc=5,hd=0,OL=5,OR=5
HB:t=847,m=S,run=1,el=9,er=8,yaw=0.1,yr=0.2,pc=5,hd=0,OL=5,OR=5
HB:t=867,m=S,run=1,el=8,er=8,yaw=0.1,yr=0.2,pc=6,hd=0,OL=6,OR=6
HB:t=1086,m=S,run=1,el=166,er=160,yaw=1.2,yr=2.2,pc=4,hd=0,OL=4,OR=4
HB:t=1204,m=S,run=1,el=84,er=79,yaw=1.4,yr=1.6,pc=5,hd=0,OL=5,OR=5
HB:t=1212,m=S,run=1,el=4,er=3,yaw=1.4,yr=1.6,pc=7,hd=0,OL=7,OR=7
HB:t=1232,m=S,run=1,el=8,er=7,yaw=1.4,yr=1.6,pc=8,hd=0,OL=8,OR=8
HB:t=1252,m=S,run=1,el=7,er=7,yaw=1.4,yr=1.6,pc=8,hd=0,OL=8,OR=8
HB:t=1272,m=S,run=1,el=7,er=7,yaw=1.4,yr=1.6,pc=9,hd=0,OL=9,OR=9
HB:t=1392,m=S,run=1,el=90,er=84,yaw=1.4,yr=1.6,pc=8,hd=0,OL=8,OR=8
HB:t=1491,m=S,run=1,el=69,er=66,yaw=2.0,yr=2.2,pc=8,hd=0,OL=8,OR=8
HB:t=1598,m=S,run=1,el=77,er=75,yaw=2.0,yr=2.2,pc=8,hd=0,OL=8,OR=8
HB:t=1618,m=S,run=1,el=7,er=7,yaw=2.0,yr=2.2,pc=9,hd=0,OL=9,OR=9
HB:t=1638,m=S,run=1,el=8,er=7,yaw=2.0,yr=2.2,pc=9,hd=0,OL=9,OR=9
HB:t=1658,m=S,run=1,el=8,er=7,yaw=2.0,yr=2.2,pc=9,hd=0,OL=9,OR=9
HB:t=1678,m=S,run=1,el=8,er=8,yaw=2.0,yr=2.2,pc=9,hd=0,OL=9,OR=9
HB:t=1866,m=S,run=1,el=157,er=156,yaw=2.6,yr=2.4,pc=7,hd=0,OL=7,OR=7
HB:t=1886,m=S,run=1,el=8,er=8,yaw=2.6,yr=2.4,pc=8,hd=0,OL=8,OR=8
HB:t=2017,m=S,run=1,el=83,er=79,yaw=2.8,yr=1.9,pc=8,hd=0,OL=8,OR=8
HB:t=2017,m=S,run=1,el=16,er=16,yaw=2.8,yr=1.9,pc=8,hd=0,OL=8,OR=8
HB:t=2037,m=S,run=1,el=8,er=8,yaw=2.8,yr=1.9,pc=9,hd=0,OL=9,OR=9
HB:t=2057,m=S,run=1,el=8,er=8,yaw=2.8,yr=1.9,pc=9,hd=0,OL=9,OR=9
HB:t=2077,m=S,run=1,el=7,er=8,yaw=2.8,yr=1.9,pc=9,hd=0,OL=9,OR=9
HB:t=2197,m=S,run=1,el=94,er=93,yaw=2.8,yr=1.9,pc=8,hd=0,OL=8,OR=8
HB:t=2216,m=S,run=1,el=8,er=9,yaw=2.8,yr=1.9,pc=9,hd=0,OL=9,OR=9
HB:t=2303,m=S,run=1,el=85,er=89,yaw=3.3,yr=2.1,pc=8,hd=0,OL=8,OR=8
HB:t=2410,m=S,run=1,el=89,er=91,yaw=3.3,yr=2.1,pc=7,hd=0,OL=7,OR=7
HB:t=2430,m=S,run=1,el=8,er=7,yaw=3.3,yr=2.1,pc=8,hd=0,OL=8,OR=8
HB:t=2450,m=S,run=1,el=8,er=8,yaw=3.3,yr=2.1,pc=8,hd=0,OL=8,OR=8
HB:t=2470,m=S,run=1,el=8,er=8,yaw=3.3,yr=2.1,pc=9,hd=0,OL=9,OR=9
HB:t=2490,m=S,run=1,el=8,er=8,yaw=3.3,yr=2.1,pc=9,hd=0,OL=9,OR=9
HB:t=2682,m=S,run=1,el=151,er=148,yaw=3.3,yr=1.4,pc=7,hd=0,OL=7,OR=7
HB:t=2702,m=S,run=1,el=8,er=7,yaw=3.3,yr=1.4,pc=8,hd=0,OL=8,OR=8
HB:t=2825,m=S,run=1,el=75,er=77,yaw=3.4,yr=1.0,pc=8,hd=0,OL=8,OR=8
HB:t=2829,m=S,run=1,el=2,er=2,yaw=3.4,yr=1.0,pc=9,hd=0,OL=9,OR=9
HB:t=2849,m=S,run=1,el=7,er=7,yaw=3.4,yr=1.0,pc=9,hd=0,OL=9,OR=9
HB:t=2869,m=S,run=1,el=7,er=8,yaw=3.4,yr=1.0,pc=9,hd=0,OL=9,OR=9
HB:t=2889,m=S,run=1,el=8,er=8,yaw=3.4,yr=1.0,pc=9,hd=0,OL=9,OR=9
