t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
107,S,1,27,29,0.0,0.0,4,0,4,4,0,0.00
127,S,1,3,3,0.0,0.0,14,0,14,14,0,0.00
147,S,1,4,4,0.0,0.0,11,0,11,11,0,0.00
167,S,1,5,5,0.0,0.0,10,0,10,10,0,0.00
187,S,1,6,5,0.0,0.0,8,0,8,8,0,0.00
306,S,1,59,49,0.0,0.0,6,0,6,6,0,0.00
325,S,1,6,5,0.0,0.0,14,0,14,14,0,0.00
345,S,1,8,7,0.0,0.0,13,0,13,13,0,0.00
365,S,1,9,7,0.0,0.0,12,0,12,12,0,0.00
385,S,1,9,7,0.0,0.0,10,0,10,10,0,0.00
506,S,1,103,69,0.0,0.0,7,0,7,7,0,0.00
525,S,1,11,8,0.0,0.0,20,0,20,20,0,0.00
545,S,1,13,9,0.0,0.0,18,0,18,18,0,0.00
565,S,1,14,11,0.0,0.0,16,0,16,16,0,0.00
585,S,1,15,12,0.0,0.0,13,0,13,13,0,0.00
706,S,1,162,126,0.0,0.0,7,0,7,7,0,0.00
725,S,1,17,13,0.0,0.0,29,0,29,29,0,0.00
745,S,1,22,17,0.0,0.0,26,0,26,26,0,0.00
765,S,1,22,18,0.0,0.0,22,0,22,22,0,0.00
785,S,1,23,19,0.0,0.0,18,0,18,18,0,0.00
906,S,1,233,201,0.0,0.0,8,0,8,8,0,0.00
925,S,1,23,20,0.0,0.0,41,0,41,41,0,0.00
945,S,1,32,27,0.0,0.0,36,0,36,36,0,0.00
965,S,1,33,29,0.0,0.0,29,0,29,29,0,0.00
985,S,1,30,27,0.0,0.0,24,0,24,24,0,0.00
1106,S,1,305,282,0.0,0.0,10,0,10,10,0,0.00
1125,S,1,32,28,0.0,0.0,55,0,55,55,0,0.00
1145,S,1,42,38,0.0,0.0,47,0,47,47,0,0.00
1165,S,1,45,40,0.0,0.0,37,0,37,37,0,0.00
1185,S,1,43,39,0.0,0.0,30,0,30,30,0,0.00
1306,S,1,394,382,0.0,0.0,12,0,12,12,0,0.00
1325,S,1,39,39,0.0,0.0,60,0,60,60,0,0.00
1345,S,1,52,50,0.0,0.0,60,0,60,60,0,0.00
1365,S,1,56,54,0.0,0.0,48,0,48,48,0,0.00
1385,S,1,55,53,0.0,0.0,38,0,38,38,0,0.00
1506,S,1,488,490,0.0,0.0,14,0,14,14,0,0.00
1525,S,1,47,48,0.0,0.0,60,0,60,60,0,0.00
1545,S,1,56,57,0.0,0.0,60,0,60,60,0,0.00
1565,S,1,59,61,0.0,0.0,54,0,54,54,0,0.00
1585,S,1,60,59,0.0,0.0,43,0,43,43,0,0.00
1706,S,1,561,572,0.0,0.0,15,0,15,15,0,0.00
1725,S,1,53,54,0.0,0.0,60,0,60,60,0,0.00
1745,S,1,59,61,0.0,0.0,60,0,60,60,0,0.00
1765,S,1,61,63,0.0,0.0,60,0,60,60,0,0.00
1785,S,1,64,67,0.0,0.0,49,0,49,49,0,0.00
1906,S,1,623,639,0.0,0.0,17,0,17,17,0,0.00
1925,S,1,58,60,0.0,0.0,60,0,60,60,0,0.00
1945,S,1,63,65,0.0,0.0,60,0,60,60,0,0.00
1965,S,1,65,69,0.0,0.0,60,0,60,60,0,0.00
1985,S,1,66,70,0.0,0.0,55,0,55,55,0,0.00
2106,S,1,684,704,0.0,0.0,19,0,19,19,0,0.00
2125,S,1,63,65,0.0,0.0,60,0,60,60,0,0.00
2145,S,1,67,69,0.0,0.0,60,0,60,60,0,0.00
2165,S,1,68,71,0.0,0.0,60,0,60,60,0,0.00
2185,S,1,70,73,0.0,0.0,60,0,60,60,0,0.00
2306,S,1,758,788,0.0,0.0,25,0,25,25,0,0.00
2325,S,1,70,73,0.0,0.0,60,0,60,60,0,0.00
2345,S,1,72,76,0.0,0.0,60,0,60,60,0,0.00
2365,S,1,74,77,0.0,0.0,60,0,60,60,0,0.00
2385,S,1,76,78,0.0,0.0,60,0,60,60,0,0.00
2506,S,1,797,829,0.0,0.0,23,0,23,23,0,0.00
2525,S,1,73,75,0.0,0.0,60,0,60,60,0,0.00
2545,S,1,75,79,0.0,0.0,60,0,60,60,0,0.00
2565,S,1,77,79,0.0,0.0,60,0,60,60,0,0.00
