t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
12,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
148,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
188,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
205,S,1,12,14,-0.0,-0.0,2,0,2,2,0,0.00
334,S,1,57,57,-0.0,0.1,3,0,3,3,0,0.00
380,S,1,20,19,0.1,1.0,3,0,3,3,0,0.00
392,S,1,8,8,0.1,0.9,3,0,3,3,0,0.00
412,S,1,9,8,0.1,1.2,2,0,2,2,0,0.00
531,S,1,76,74,0.1,0.8,3,0,3,3,0,0.00
578,S,1,22,23,0.3,2.2,3,0,3,3,0,0.00
590,S,1,9,9,0.3,1.2,3,0,3,3,0,0.00
612,S,1,14,14,0.4,1.4,15,0,15,15,0,0.00
731,S,1,149,146,0.4,1.0,13,0,13,13,0,0.00
778,S,1,50,49,0.5,1.9,8,0,8,8,0,0.00
790,S,1,17,17,0.5,0.8,6,0,6,6,0,0.00
812,S,1,30,30,0.5,0.2,23,0,23,23,0,0.00
931,S,1,261,260,0.5,0.2,19,0,19,19,0,0.00
978,S,1,81,79,0.7,3.3,12,0,12,12,0,0.00
990,S,1,29,28,0.8,2.8,8,0,8,8,0,0.00
1012,S,1,28,28,0.9,1.3,8,0,8,8,0,0.00
1131,S,1,182,181,0.9,0.9,8,0,8,8,0,0.00
1178,S,1,35,35,1.0,2.5,8,0,8,8,0,0.00
1190,S,1,13,13,1.1,2.4,9,0,9,9,0,0.00
1212,S,1,28,29,1.2,1.4,27,0,27,27,0,0.00
1331,S,1,262,269,1.2,1.0,22,0,22,22,0,0.00
1378,S,1,88,87,1.5,4.7,13,0,13,13,0,0.00
1390,S,1,32,32,1.5,2.1,8,0,8,8,0,0.00
1413,S,1,31,29,1.5,1.3,9,0,9,9,0,0.00
1531,S,1,204,201,1.5,0.7,8,0,8,8,0,0.00
1578,S,1,39,40,1.7,2.7,9,0,9,9,0,0.00
1590,S,1,15,15,1.7,1.5,9,0,9,9,0,0.00
1612,S,1,31,31,1.7,0.8,29,0,29,29,0,0.00
1731,S,1,284,283,1.8,0.6,24,0,24,24,0,0.00
1777,S,1,92,90,2.0,2.5,14,0,14,14,0,0.00
1790,S,1,34,34,2.1,2.8,9,0,9,9,0,0.00
1812,S,1,32,30,2.1,0.9,9,0,9,9,0,0.00
1931,S,1,212,214,2.1,0.5,8,0,8,8,0,0.00
1989,S,1,40,39,2.1,0.7,9,0,9,9,0,0.00
1989,S,1,34,34,2.1,0.5,9,0,9,9,0,0.00
2012,S,1,22,22,2.2,1.2,17,0,17,17,0,0.00
2131,S,1,180,176,2.2,1.0,14,0,14,14,0,0.00
2177,S,1,54,54,2.5,4.3,10,0,10,10,0,0.00
2190,S,1,20,20,2.5,2.3,8,0,8,8,0,0.00
2212,S,1,33,33,2.5,0.6,29,0,29,29,0,0.00
2331,S,1,317,309,2.5,0.3,24,0,24,24,0,0.00
2377,S,1,98,99,2.7,1.2,14,-1,13,15,0,0.00
2390,S,1,35,36,2.7,1.5,9,0,9,9,0,0.00
2412,S,1,51,51,2.7,-0.5,46,0,46,46,0,0.00
2531,S,1,492,514,2.7,-0.4,38,0,38,38,0,0.00
2577,S,1,155,155,3.2,5.8,21,-1,20,22,0,0.00
2590,S,1,55,56,3.2,2.1,14,0,14,14,0,0.00
2612,S,1,53,53,3.2,1.8,12,0,12,12,0,0.00
2731,S,1,348,353,3.1,0.8,10,0,10,10,0,0.00
2777,S,1,65,63,2.9,-2.9,12,0,12,12,0,0.00
2790,S,1,23,23,2.9,-1.0,13,0,13,13,0,0.00
2812,S,1,41,41,2.9,-0.0,44,0,44,44,0,0.00
2931,S,1,420,452,3.0,0.2,37,0,37,37,0,0.00
2977,S,1,139,134,4.7,23.9,21,-3,18,24,0,0.00
2989,S,1,50,52,5.1,15.9,12,-1,11,13,0,0.00
3012,S,1,61,62,5.3,8.4,60,-1,59,60,0,0.00
3131,S,1,651,658,5.3,5.4,51,-1,50,52,0,0.00
3177,S,1,198,204,4.8,-5.0,29,0,29,29,0,0.00
3189,S,1,74,76,4.5,-7.3,17,-1,16,18,0,0.00
3212,S,1,78,80,4.2,-7.5,60,-1,59,60,0,0.00
3331,S,1,757,789,3.9,-5.7,60,0,60,60,0,0.00
3377,S,1,227,235,2.5,-20.7,48,1,49,47,0,0.00
3389,S,1,89,93,1.8,-19.2,30,0,30,30,0,0.00
3412,S,1,90,93,1.4,-13.6,60,0,60,60,0,0.00
3531,S,1,833,869,1.0,-10.0,60,0,60,60,0,0.00
3577,S,1,240,250,-1.5,-35.7,60,3,60,57,0,0.00
3590,S,1,98,101,-2.4,-28.4,41,0,41,41,0,0.00
3612,S,1,94,97,-2.9,-17.9,60,0,60,60,0,0.00
3731,S,1,865,906,-3.4,-13.3,60,1,60,59,0,0.00
3777,S,1,244,259,-6.4,-43.6,60,5,60,55,0,0.00
3789,S,1,99,104,-7.4,-33.1,52,1,53,51,0,0.00
3812,S,1,96,99,-8.0,-23.6,60,1,60,59,0,0.00
3931,S,1,872,926,-8.5,-17.0,60,2,60,58,0,0.00
3977,S,1,247,260,-11.9,-50.3,60,7,60,53,0,0.00
3990,S,1,100,103,-13.1,-38.2,57,3,60,54,0,0.00
4012,S,1,93,98,-13.8,-27.4,60,3,60,57,0,0.00
4131,S,1,872,919,-14.5,-20.0,60,3,60,57,0,0.00
4177,S,1,241,252,-18.0,-53.1,60,9,60,51,0,0.00
4189,S,1,99,101,-19.2,-39.0,60,4,60,56,0,0.00
4212,S,1,93,96,-19.8,-24.9,60,4,60,56,0,0.00
4331,S,1,867,884,-20.3,-17.7,60,5,60,55,0,0.00
4377,S,1,244,247,-22.3,-33.7,60,8,60,52,0,0.00
4389,S,1,100,98,-22.7,-20.0,60,5,60,55,0,0.00
