t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
106,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
126,S,1,2,2,0.0,0.0,1,0,1,1,0,0.00
146,S,1,3,3,0.0,0.0,1,0,1,1,0,0.00
166,S,1,3,2,0.0,0.0,1,0,1,1,0,0.00
186,S,1,4,3,0.0,0.0,1,0,1,1,0,0.00
358,S,1,99,62,0.0,0.0,1,0,1,1,0,0.00
378,S,1,7,5,0.0,0.0,2,0,2,2,0,0.00
398,S,1,7,6,0.0,0.0,2,0,2,2,0,0.00
593,S,1,80,61,1.3,1.7,2,0,2,2,0,0.00
593,S,1,63,50,1.3,1.7,3,0,3,3,0,0.00
706,S,1,81,66,1.3,1.7,3,0,3,3,0,0.00
726,S,1,8,6,1.3,1.7,4,0,4,4,0,0.00
746,S,1,8,6,1.3,1.7,4,0,4,4,0,0.00
766,S,1,8,6,1.3,1.7,5,0,5,5,0,0.00
786,S,1,8,6,1.3,1.7,5,0,5,5,0,0.00
809,S,1,13,10,4.7,7.1,5,-1,4,6,0,0.00
915,S,1,85,70,4.7,7.1,6,-1,5,7,0,0.00
935,S,1,9,8,4.7,7.1,6,-1,5,7,0,0.00
955,S,1,9,7,4.7,7.1,7,-1,6,8,0,0.00
975,S,1,9,8,4.7,7.1,7,-1,6,8,0,0.00
995,S,1,9,7,4.7,7.1,7,-1,6,8,0,0.00
1202,S,1,171,147,6.7,8.2,5,-2,3,7,0,0.00
1331,S,1,97,84,8.8,8.7,6,-2,4,8,0,0.00
1334,S,1,1,1,8.8,8.7,7,-2,5,9,0,0.00
1354,S,1,9,8,8.8,8.7,7,-2,5,9,0,0.00
1374,S,1,8,7,8.8,8.7,7,-2,5,9,0,0.00
1394,S,1,8,8,8.8,8.7,7,-2,5,9,0,0.00
1515,S,1,94,83,8.8,8.7,7,-2,5,9,0,0.00
1618,S,1,79,70,10.9,9.3,6,-3,3,9,0,0.00
1724,S,1,86,80,10.9,9.3,6,-3,3,9,0,0.00
1744,S,1,8,7,10.9,9.3,7,-3,4,10,0,0.00
