t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
106,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
126,S,1,1,1,0.0,0.0,1,0,1,1,0,0.00
146,S,1,4,2,0.0,0.0,1,0,1,1,0,0.00
166,S,1,2,3,0.0,0.0,1,0,1,1,0,0.00
186,S,1,4,3,0.0,0.0,1,0,1,1,0,0.00
393,S,1,125,86,0.0,0.0,1,0,1,1,0,0.00
522,S,1,93,61,0.4,0.6,1,0,1,1,0,0.00
526,S,1,15,10,0.4,0.6,1,-1,0,2,0,0.00
546,S,1,7,6,0.4,0.6,2,0,2,2,0,0.00
566,S,1,9,6,0.4,0.6,3,0,3,3,0,0.00
586,S,1,9,7,0.4,0.6,3,0,3,3,0,0.00
706,S,1,96,70,0.4,0.6,3,0,3,3,0,0.00
783,S,1,59,43,0.8,1.1,5,0,5,5,0,0.00
906,S,1,99,73,0.8,1.1,5,0,5,5,0,0.00
926,S,1,9,7,0.8,1.1,6,0,6,6,0,0.00
946,S,1,9,6,0.8,1.1,6,0,6,6,0,0.00
966,S,1,10,6,0.8,1.1,7,0,7,7,0,0.00
1086,S,1,99,74,12.1,20.5,7,-14,0,21,0,0.00
1192,S,1,46,142,12.1,20.5,6,-3,3,9,0,0.00
1212,S,1,5,14,12.1,20.5,6,-3,3,9,0,0.00
1232,S,1,6,13,12.1,20.5,7,-3,4,10,0,0.00
1252,S,1,6,13,12.1,20.5,7,-3,4,10,0,0.00
1272,S,1,6,13,12.1,20.5,7,-3,4,10,0,0.00
1402,S,1,87,137,12.9,14.8,6,-4,2,10,0,0.00
1422,S,1,7,11,12.9,14.8,7,-3,4,10,0,0.00
1442,S,1,7,11,12.9,14.8,7,-3,4,10,0,0.00
1462,S,1,8,10,12.9,14.8,7,-3,4,10,0,0.00
1482,S,1,7,11,12.9,14.8,7,-3,4,10,0,0.00
1678,S,1,85,125,4.4,-0.5,6,-3,3,9,0,0.00
1678,S,1,69,97,4.4,-0.5,6,7,13,0,0,0.00
1791,S,1,87,112,4.4,-0.5,6,-1,5,7,0,0.00
