HB:t=87,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=194,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=321,m=S,run=1,el=37,er=39,yaw=-0.0,yr=-0.0,pc=1,hd=0,OL=1,OR=1
HB:t=324,m=S,run=1,el=1,er=1,yaw=-0.0,yr=-0.0,pc=1,hd=0,OL=1,OR=1
HB:t=344,m=S,run=1,el=6,er=6,yaw=-0.0,yr=-0.0,pc=1,hd=0,OL=1,OR=1
HB:t=364,m=S,run=1,el=6,er=5,yaw=-0.0,yr=-0.0,pc=1,hd=0,OL=1,OR=1
HB:t=384,m=S,run=1,el=6,er=6,yaw=-0.0,yr=-0.0,pc=1,hd=0,OL=1,OR=1
HB:t=505,m=S,run=1,el=75,er=76,yaw=-0.0,yr=-0.0,pc=1,hd=0,OL=1,OR=1
HB:t=608,m=S,run=1,el=67,er=68,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=714,m=S,run=1,el=75,er=76,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=734,m=S,run=1,el=8,er=7,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=754,m=S,run=1,el=7,er=7,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=774,m=S,run=1,el=8,er=7,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=794,m=S,run=1,el=7,er=7,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=1004,m=S,run=1,el=149,er=141,yaw=-0.0,yr=-0.1,pc=4,hd=0,OL=4,OR=4
HB:t=1125,m=S,run=1,el=89,er=86,yaw=0.0,yr=0.1,pc=4,hd=0,OL=4,OR=4
HB:t=1134,m=S,run=1,el=6,er=5,yaw=0.0,yr=0.1,pc=5,hd=0,OL=5,OR=5
HB:t=1154,m=S,run=1,el=8,er=8,yaw=0.0,yr=0.1,pc=6,hd=0,OL=6,OR=6
HB:t=1174,m=S,run=1,el=8,er=8,yaw=0.0,yr=0.1,pc=7,hd=0,OL=7,OR=7
HB:t=1194,m=S,run=1,el=8,er=8,yaw=0.0,yr=0.1,pc=7,hd=0,OL=7,OR=7
HB:t=1314,m=S,run=1,el=93,er=93,yaw=0.0,yr=0.1,pc=6,hd=0,OL=6,OR=6
HB:t=1412,m=S,run=1,el=75,er=75,yaw=0.4,yr=0.6,pc=6,hd=0,OL=6,OR=6
